I0715 13:12:20.546907 134570238584320 run.py:723] (val) algo articulation_points step 0: {'is_cut': 0.16923076923076924, 'score': 0.16923076923076924, 'examples_seen': 16, 'step': 0, 'algorithm': 'articulation_points'}
I0715 13:14:11.949963 134570238584320 run.py:723] (val) algo articulation_points step 50: {'is_cut': 0.0, 'score': 0.0, 'examples_seen': 799, 'step': 50, 'algorithm': 'articulation_points'}
I0715 13:14:13.602176 134570238584320 run.py:723] (val) algo articulation_points step 100: {'is_cut': 0.0, 'score': 0.0, 'examples_seen': 1592, 'step': 100, 'algorithm': 'articulation_points'}
I0715 13:14:15.259947 134570238584320 run.py:723] (val) algo articulation_points step 150: {'is_cut': 0.5467625899280575, 'score': 0.5467625899280575, 'examples_seen': 2372, 'step': 150, 'algorithm': 'articulation_points'}
I0715 13:14:16.873529 134570238584320 run.py:723] (val) algo articulation_points step 200: {'is_cut': 0.23204419889502764, 'score': 0.23204419889502764, 'examples_seen': 3158, 'step': 200, 'algorithm': 'articulation_points'}
I0715 13:14:18.619971 134570238584320 run.py:723] (val) algo articulation_points step 250: {'is_cut': 0.07821229050279328, 'score': 0.07821229050279328, 'examples_seen': 3938, 'step': 250, 'algorithm': 'articulation_points'}
I0715 13:14:20.611690 134570238584320 run.py:723] (val) algo articulation_points step 300: {'is_cut': 0.25352112676056343, 'score': 0.25352112676056343, 'examples_seen': 4758, 'step': 300, 'algorithm': 'articulation_points'}
I0715 13:14:22.245728 134570238584320 run.py:723] (val) algo articulation_points step 350: {'is_cut': 0.5660377358490566, 'score': 0.5660377358490566, 'examples_seen': 5564, 'step': 350, 'algorithm': 'articulation_points'}
I0715 13:14:23.844421 134570238584320 run.py:723] (val) algo articulation_points step 400: {'is_cut': 0.5, 'score': 0.5, 'examples_seen': 6361, 'step': 400, 'algorithm': 'articulation_points'}
I0715 13:14:25.464182 134570238584320 run.py:723] (val) algo articulation_points step 450: {'is_cut': 0.5735294117647058, 'score': 0.5735294117647058, 'examples_seen': 7144, 'step': 450, 'algorithm': 'articulation_points'}
I0715 13:14:27.082760 134570238584320 run.py:723] (val) algo articulation_points step 500: {'is_cut': 0.4533333333333333, 'score': 0.4533333333333333, 'examples_seen': 7922, 'step': 500, 'algorithm': 'articulation_points'}
I0715 13:14:28.728224 134570238584320 run.py:723] (val) algo articulation_points step 550: {'is_cut': 0.5986394557823129, 'score': 0.5986394557823129, 'examples_seen': 8709, 'step': 550, 'algorithm': 'articulation_points'}
I0715 13:14:30.432061 134570238584320 run.py:723] (val) algo articulation_points step 600: {'is_cut': 0.5830721003134797, 'score': 0.5830721003134797, 'examples_seen': 9489, 'step': 600, 'algorithm': 'articulation_points'}
I0715 13:14:32.023319 134570238584320 run.py:723] (val) algo articulation_points step 650: {'is_cut': 0.5214007782101168, 'score': 0.5214007782101168, 'examples_seen': 10303, 'step': 650, 'algorithm': 'articulation_points'}
I0715 13:14:33.689903 134570238584320 run.py:723] (val) algo articulation_points step 700: {'is_cut': 0.5639097744360902, 'score': 0.5639097744360902, 'examples_seen': 11121, 'step': 700, 'algorithm': 'articulation_points'}
I0715 13:14:35.285859 134570238584320 run.py:723] (val) algo articulation_points step 750: {'is_cut': 0.5829959514170041, 'score': 0.5829959514170041, 'examples_seen': 11916, 'step': 750, 'algorithm': 'articulation_points'}
I0715 13:14:36.893878 134570238584320 run.py:723] (val) algo articulation_points step 800: {'is_cut': 0.5647840531561462, 'score': 0.5647840531561462, 'examples_seen': 12693, 'step': 800, 'algorithm': 'articulation_points'}
I0715 13:14:38.502283 134570238584320 run.py:723] (val) algo articulation_points step 850: {'is_cut': 0.5972222222222222, 'score': 0.5972222222222222, 'examples_seen': 13478, 'step': 850, 'algorithm': 'articulation_points'}
I0715 13:14:40.205660 134570238584320 run.py:723] (val) algo articulation_points step 900: {'is_cut': 0.6341463414634146, 'score': 0.6341463414634146, 'examples_seen': 14261, 'step': 900, 'algorithm': 'articulation_points'}
I0715 13:14:41.857366 134570238584320 run.py:723] (val) algo articulation_points step 950: {'is_cut': 0.672566371681416, 'score': 0.672566371681416, 'examples_seen': 15044, 'step': 950, 'algorithm': 'articulation_points'}
I0715 13:14:43.572296 134570238584320 run.py:723] (val) algo articulation_points step 1000: {'is_cut': 0.7458563535911603, 'score': 0.7458563535911603, 'examples_seen': 15862, 'step': 1000, 'algorithm': 'articulation_points'}
I0715 13:14:45.229372 134570238584320 run.py:723] (val) algo articulation_points step 1050: {'is_cut': 0.5323193916349811, 'score': 0.5323193916349811, 'examples_seen': 16666, 'step': 1050, 'algorithm': 'articulation_points'}
I0715 13:14:46.852053 134570238584320 run.py:723] (val) algo articulation_points step 1100: {'is_cut': 0.7058823529411765, 'score': 0.7058823529411765, 'examples_seen': 17456, 'step': 1100, 'algorithm': 'articulation_points'}
I0715 13:14:48.455309 134570238584320 run.py:723] (val) algo articulation_points step 1150: {'is_cut': 0.35616438356164387, 'score': 0.35616438356164387, 'examples_seen': 18236, 'step': 1150, 'algorithm': 'articulation_points'}
I0715 13:14:50.068574 134570238584320 run.py:723] (val) algo articulation_points step 1200: {'is_cut': 0.6734006734006734, 'score': 0.6734006734006734, 'examples_seen': 19020, 'step': 1200, 'algorithm': 'articulation_points'}
I0715 13:14:51.711750 134570238584320 run.py:723] (val) algo articulation_points step 1250: {'is_cut': 0.736111111111111, 'score': 0.736111111111111, 'examples_seen': 19803, 'step': 1250, 'algorithm': 'articulation_points'}
I0715 13:14:53.314424 134570238584320 run.py:723] (val) algo articulation_points step 1300: {'is_cut': 0.7272727272727273, 'score': 0.7272727272727273, 'examples_seen': 20574, 'step': 1300, 'algorithm': 'articulation_points'}
I0715 13:14:54.932716 134570238584320 run.py:723] (val) algo articulation_points step 1350: {'is_cut': 0.6809651474530831, 'score': 0.6809651474530831, 'examples_seen': 21402, 'step': 1350, 'algorithm': 'articulation_points'}
I0715 13:14:56.530899 134570238584320 run.py:723] (val) algo articulation_points step 1400: {'is_cut': 0.673611111111111, 'score': 0.673611111111111, 'examples_seen': 22205, 'step': 1400, 'algorithm': 'articulation_points'}
I0715 13:14:58.093940 134570238584320 run.py:723] (val) algo articulation_points step 1450: {'is_cut': 0.6413793103448275, 'score': 0.6413793103448275, 'examples_seen': 22992, 'step': 1450, 'algorithm': 'articulation_points'}
I0715 13:14:59.771404 134570238584320 run.py:723] (val) algo articulation_points step 1500: {'is_cut': 0.6979472140762465, 'score': 0.6979472140762465, 'examples_seen': 23790, 'step': 1500, 'algorithm': 'articulation_points'}
I0715 13:15:01.422098 134570238584320 run.py:723] (val) algo articulation_points step 1550: {'is_cut': 0.6666666666666666, 'score': 0.6666666666666666, 'examples_seen': 24579, 'step': 1550, 'algorithm': 'articulation_points'}
I0715 13:15:03.046705 134570238584320 run.py:723] (val) algo articulation_points step 1600: {'is_cut': 0.7507507507507508, 'score': 0.7507507507507508, 'examples_seen': 25373, 'step': 1600, 'algorithm': 'articulation_points'}
I0715 13:15:04.715549 134570238584320 run.py:723] (val) algo articulation_points step 1650: {'is_cut': 0.6981132075471698, 'score': 0.6981132075471698, 'examples_seen': 26148, 'step': 1650, 'algorithm': 'articulation_points'}
I0715 13:15:06.333715 134570238584320 run.py:723] (val) algo articulation_points step 1700: {'is_cut': 0.5289256198347108, 'score': 0.5289256198347108, 'examples_seen': 26979, 'step': 1700, 'algorithm': 'articulation_points'}
I0715 13:15:07.935072 134570238584320 run.py:723] (val) algo articulation_points step 1750: {'is_cut': 0.6833333333333333, 'score': 0.6833333333333333, 'examples_seen': 27790, 'step': 1750, 'algorithm': 'articulation_points'}
I0715 13:15:09.541332 134570238584320 run.py:723] (val) algo articulation_points step 1800: {'is_cut': 0.624, 'score': 0.624, 'examples_seen': 28578, 'step': 1800, 'algorithm': 'articulation_points'}
I0715 13:15:11.103754 134570238584320 run.py:723] (val) algo articulation_points step 1850: {'is_cut': 0.7238095238095237, 'score': 0.7238095238095237, 'examples_seen': 29362, 'step': 1850, 'algorithm': 'articulation_points'}
I0715 13:15:12.758827 134570238584320 run.py:723] (val) algo articulation_points step 1900: {'is_cut': 0.6926070038910507, 'score': 0.6926070038910507, 'examples_seen': 30144, 'step': 1900, 'algorithm': 'articulation_points'}
I0715 13:15:14.391961 134570238584320 run.py:723] (val) algo articulation_points step 1950: {'is_cut': 0.6322188449848024, 'score': 0.6322188449848024, 'examples_seen': 30937, 'step': 1950, 'algorithm': 'articulation_points'}
I0715 13:15:16.006370 134570238584320 run.py:723] (val) algo articulation_points step 2000: {'is_cut': 0.6825938566552902, 'score': 0.6825938566552902, 'examples_seen': 31704, 'step': 2000, 'algorithm': 'articulation_points'}
I0715 13:15:17.649345 134570238584320 run.py:723] (val) algo articulation_points step 2050: {'is_cut': 0.7181008902077152, 'score': 0.7181008902077152, 'examples_seen': 32518, 'step': 2050, 'algorithm': 'articulation_points'}
