I0715 15:56:03.932285 133564176311808 run.py:723] (val) algo kmp_matcher step 0: {'match': 0.111328125, 'score': 0.111328125, 'examples_seen': 15, 'step': 0, 'algorithm': 'kmp_matcher'}
I0715 15:56:08.147853 133564176311808 run.py:723] (val) algo kmp_matcher step 50: {'match': 0.121826171875, 'score': 0.121826171875, 'examples_seen': 850, 'step': 50, 'algorithm': 'kmp_matcher'}
I0715 15:56:12.374005 133564176311808 run.py:723] (val) algo kmp_matcher step 100: {'match': 0.108154296875, 'score': 0.108154296875, 'examples_seen': 1677, 'step': 100, 'algorithm': 'kmp_matcher'}
I0715 15:56:16.579215 133564176311808 run.py:723] (val) algo kmp_matcher step 150: {'match': 0.119384765625, 'score': 0.119384765625, 'examples_seen': 2534, 'step': 150, 'algorithm': 'kmp_matcher'}
I0715 15:56:20.779729 133564176311808 run.py:723] (val) algo kmp_matcher step 200: {'match': 0.116943359375, 'score': 0.116943359375, 'examples_seen': 3395, 'step': 200, 'algorithm': 'kmp_matcher'}
I0715 15:56:24.987720 133564176311808 run.py:723] (val) algo kmp_matcher step 250: {'match': 0.145751953125, 'score': 0.145751953125, 'examples_seen': 4240, 'step': 250, 'algorithm': 'kmp_matcher'}
I0715 15:56:29.232606 133564176311808 run.py:723] (val) algo kmp_matcher step 300: {'match': 0.262451171875, 'score': 0.262451171875, 'examples_seen': 5090, 'step': 300, 'algorithm': 'kmp_matcher'}
I0715 15:56:33.470793 133564176311808 run.py:723] (val) algo kmp_matcher step 350: {'match': 0.4375, 'score': 0.4375, 'examples_seen': 5932, 'step': 350, 'algorithm': 'kmp_matcher'}
I0715 15:56:37.703952 133564176311808 run.py:723] (val) algo kmp_matcher step 400: {'match': 0.254638671875, 'score': 0.254638671875, 'examples_seen': 6763, 'step': 400, 'algorithm': 'kmp_matcher'}
I0715 15:56:41.921532 133564176311808 run.py:723] (val) algo kmp_matcher step 450: {'match': 0.2939453125, 'score': 0.2939453125, 'examples_seen': 7613, 'step': 450, 'algorithm': 'kmp_matcher'}
I0715 15:56:46.102900 133564176311808 run.py:723] (val) algo kmp_matcher step 500: {'match': 0.30908203125, 'score': 0.30908203125, 'examples_seen': 8457, 'step': 500, 'algorithm': 'kmp_matcher'}
I0715 15:56:50.278949 133564176311808 run.py:723] (val) algo kmp_matcher step 550: {'match': 0.39794921875, 'score': 0.39794921875, 'examples_seen': 9277, 'step': 550, 'algorithm': 'kmp_matcher'}
I0715 15:56:54.482301 133564176311808 run.py:723] (val) algo kmp_matcher step 600: {'match': 0.535888671875, 'score': 0.535888671875, 'examples_seen': 10135, 'step': 600, 'algorithm': 'kmp_matcher'}
I0715 15:56:58.686917 133564176311808 run.py:723] (val) algo kmp_matcher step 650: {'match': 0.46484375, 'score': 0.46484375, 'examples_seen': 10984, 'step': 650, 'algorithm': 'kmp_matcher'}
I0715 15:57:02.897643 133564176311808 run.py:723] (val) algo kmp_matcher step 700: {'match': 0.59521484375, 'score': 0.59521484375, 'examples_seen': 11832, 'step': 700, 'algorithm': 'kmp_matcher'}
I0715 15:57:07.111881 133564176311808 run.py:723] (val) algo kmp_matcher step 750: {'match': 0.63427734375, 'score': 0.63427734375, 'examples_seen': 12678, 'step': 750, 'algorithm': 'kmp_matcher'}
I0715 15:57:11.301160 133564176311808 run.py:723] (val) algo kmp_matcher step 800: {'match': 0.694091796875, 'score': 0.694091796875, 'examples_seen': 13522, 'step': 800, 'algorithm': 'kmp_matcher'}
I0715 15:57:15.506668 133564176311808 run.py:723] (val) algo kmp_matcher step 850: {'match': 0.8681640625, 'score': 0.8681640625, 'examples_seen': 14360, 'step': 850, 'algorithm': 'kmp_matcher'}
I0715 15:57:19.710022 133564176311808 run.py:723] (val) algo kmp_matcher step 900: {'match': 0.755126953125, 'score': 0.755126953125, 'examples_seen': 15200, 'step': 900, 'algorithm': 'kmp_matcher'}
I0715 15:57:23.913858 133564176311808 run.py:723] (val) algo kmp_matcher step 950: {'match': 0.76513671875, 'score': 0.76513671875, 'examples_seen': 16031, 'step': 950, 'algorithm': 'kmp_matcher'}
I0715 15:57:28.094935 133564176311808 run.py:723] (val) algo kmp_matcher step 1000: {'match': 0.75390625, 'score': 0.75390625, 'examples_seen': 16877, 'step': 1000, 'algorithm': 'kmp_matcher'}
I0715 15:57:32.300601 133564176311808 run.py:723] (val) algo kmp_matcher step 1050: {'match': 0.560546875, 'score': 0.560546875, 'examples_seen': 17719, 'step': 1050, 'algorithm': 'kmp_matcher'}
I0715 15:57:36.491459 133564176311808 run.py:723] (val) algo kmp_matcher step 1100: {'match': 0.85205078125, 'score': 0.85205078125, 'examples_seen': 18561, 'step': 1100, 'algorithm': 'kmp_matcher'}
I0715 15:57:40.702001 133564176311808 run.py:723] (val) algo kmp_matcher step 1150: {'match': 0.826171875, 'score': 0.826171875, 'examples_seen': 19420, 'step': 1150, 'algorithm': 'kmp_matcher'}
I0715 15:57:44.887594 133564176311808 run.py:723] (val) algo kmp_matcher step 1200: {'match': 0.90576171875, 'score': 0.90576171875, 'examples_seen': 20257, 'step': 1200, 'algorithm': 'kmp_matcher'}
I0715 15:57:49.114697 133564176311808 run.py:723] (val) algo kmp_matcher step 1250: {'match': 0.843994140625, 'score': 0.843994140625, 'examples_seen': 21105, 'step': 1250, 'algorithm': 'kmp_matcher'}
I0715 15:57:53.343920 133564176311808 run.py:723] (val) algo kmp_matcher step 1300: {'match': 0.886474609375, 'score': 0.886474609375, 'examples_seen': 21944, 'step': 1300, 'algorithm': 'kmp_matcher'}
I0715 15:57:57.676146 133564176311808 run.py:723] (val) algo kmp_matcher step 1350: {'match': 0.873291015625, 'score': 0.873291015625, 'examples_seen': 22800, 'step': 1350, 'algorithm': 'kmp_matcher'}
I0715 15:58:01.888710 133564176311808 run.py:723] (val) algo kmp_matcher step 1400: {'match': 0.88720703125, 'score': 0.88720703125, 'examples_seen': 23642, 'step': 1400, 'algorithm': 'kmp_matcher'}
I0715 15:58:06.065612 133564176311808 run.py:723] (val) algo kmp_matcher step 1450: {'match': 0.958740234375, 'score': 0.958740234375, 'examples_seen': 24494, 'step': 1450, 'algorithm': 'kmp_matcher'}
I0715 15:58:10.274494 133564176311808 run.py:723] (val) algo kmp_matcher step 1500: {'match': 0.915283203125, 'score': 0.915283203125, 'examples_seen': 25334, 'step': 1500, 'algorithm': 'kmp_matcher'}
I0715 15:58:14.464231 133564176311808 run.py:723] (val) algo kmp_matcher step 1550: {'match': 0.8974609375, 'score': 0.8974609375, 'examples_seen': 26173, 'step': 1550, 'algorithm': 'kmp_matcher'}
I0715 15:58:18.655727 133564176311808 run.py:723] (val) algo kmp_matcher step 1600: {'match': 0.9326171875, 'score': 0.9326171875, 'examples_seen': 27021, 'step': 1600, 'algorithm': 'kmp_matcher'}
I0715 15:58:22.868875 133564176311808 run.py:723] (val) algo kmp_matcher step 1650: {'match': 0.87353515625, 'score': 0.87353515625, 'examples_seen': 27864, 'step': 1650, 'algorithm': 'kmp_matcher'}
I0715 15:58:27.107812 133564176311808 run.py:723] (val) algo kmp_matcher step 1700: {'match': 0.880859375, 'score': 0.880859375, 'examples_seen': 28701, 'step': 1700, 'algorithm': 'kmp_matcher'}
I0715 15:58:31.318790 133564176311808 run.py:723] (val) algo kmp_matcher step 1750: {'match': 0.8955078125, 'score': 0.8955078125, 'examples_seen': 29542, 'step': 1750, 'algorithm': 'kmp_matcher'}
I0715 15:58:35.555202 133564176311808 run.py:723] (val) algo kmp_matcher step 1800: {'match': 0.96630859375, 'score': 0.96630859375, 'examples_seen': 30375, 'step': 1800, 'algorithm': 'kmp_matcher'}
I0715 15:58:39.785492 133564176311808 run.py:723] (val) algo kmp_matcher step 1850: {'match': 0.954345703125, 'score': 0.954345703125, 'examples_seen': 31226, 'step': 1850, 'algorithm': 'kmp_matcher'}
I0715 15:58:43.997972 133564176311808 run.py:723] (val) algo kmp_matcher step 1900: {'match': 0.948486328125, 'score': 0.948486328125, 'examples_seen': 32069, 'step': 1900, 'algorithm': 'kmp_matcher'}
I0715 15:58:48.192663 133564176311808 run.py:723] (val) algo kmp_matcher step 1950: {'match': 0.96044921875, 'score': 0.96044921875, 'examples_seen': 32914, 'step': 1950, 'algorithm': 'kmp_matcher'}
I0715 15:58:52.393142 133564176311808 run.py:723] (val) algo kmp_matcher step 2000: {'match': 0.937744140625, 'score': 0.937744140625, 'examples_seen': 33752, 'step': 2000, 'algorithm': 'kmp_matcher'}
I0715 15:58:56.618231 133564176311808 run.py:723] (val) algo kmp_matcher step 2050: {'match': 0.962890625, 'score': 0.962890625, 'examples_seen': 34598, 'step': 2050, 'algorithm': 'kmp_matcher'}
