I0715 17:04:35.046804 138595623839232 run.py:723] (val) algo mst_prim step 0: {'pi': 0.43359375, 'score': 0.43359375, 'examples_seen': 84, 'step': 0, 'algorithm': 'mst_prim'}
I0715 17:06:15.123393 138595623839232 run.py:723] (val) algo mst_prim step 50: {'pi': 0.7431640625, 'score': 0.7431640625, 'examples_seen': 2939, 'step': 50, 'algorithm': 'mst_prim'}
I0715 17:06:17.050008 138595623839232 run.py:723] (val) algo mst_prim step 100: {'pi': 0.8017578125, 'score': 0.8017578125, 'examples_seen': 5767, 'step': 100, 'algorithm': 'mst_prim'}
I0715 17:06:18.873013 138595623839232 run.py:723] (val) algo mst_prim step 150: {'pi': 0.74609375, 'score': 0.74609375, 'examples_seen': 8549, 'step': 150, 'algorithm': 'mst_prim'}
I0715 17:06:20.833097 138595623839232 run.py:723] (val) algo mst_prim step 200: {'pi': 0.83203125, 'score': 0.83203125, 'examples_seen': 11356, 'step': 200, 'algorithm': 'mst_prim'}
I0715 17:06:22.759071 138595623839232 run.py:723] (val) algo mst_prim step 250: {'pi': 0.8388671875, 'score': 0.8388671875, 'examples_seen': 14127, 'step': 250, 'algorithm': 'mst_prim'}
I0715 17:06:24.657911 138595623839232 run.py:723] (val) algo mst_prim step 300: {'pi': 0.7978515625, 'score': 0.7978515625, 'examples_seen': 17028, 'step': 300, 'algorithm': 'mst_prim'}
I0715 17:06:26.550743 138595623839232 run.py:723] (val) algo mst_prim step 350: {'pi': 0.85546875, 'score': 0.85546875, 'examples_seen': 19885, 'step': 350, 'algorithm': 'mst_prim'}
I0715 17:06:28.448754 138595623839232 run.py:723] (val) algo mst_prim step 400: {'pi': 0.8486328125, 'score': 0.8486328125, 'examples_seen': 22716, 'step': 400, 'algorithm': 'mst_prim'}
I0715 17:06:30.332164 138595623839232 run.py:723] (val) algo mst_prim step 450: {'pi': 0.8583984375, 'score': 0.8583984375, 'examples_seen': 25567, 'step': 450, 'algorithm': 'mst_prim'}
I0715 17:06:32.206565 138595623839232 run.py:723] (val) algo mst_prim step 500: {'pi': 0.873046875, 'score': 0.873046875, 'examples_seen': 28356, 'step': 500, 'algorithm': 'mst_prim'}
I0715 17:06:34.089574 138595623839232 run.py:723] (val) algo mst_prim step 550: {'pi': 0.8701171875, 'score': 0.8701171875, 'examples_seen': 31141, 'step': 550, 'algorithm': 'mst_prim'}
I0715 17:06:35.997047 138595623839232 run.py:723] (val) algo mst_prim step 600: {'pi': 0.90625, 'score': 0.90625, 'examples_seen': 33957, 'step': 600, 'algorithm': 'mst_prim'}
I0715 17:06:37.866652 138595623839232 run.py:723] (val) algo mst_prim step 650: {'pi': 0.888671875, 'score': 0.888671875, 'examples_seen': 36817, 'step': 650, 'algorithm': 'mst_prim'}
I0715 17:06:39.728944 138595623839232 run.py:723] (val) algo mst_prim step 700: {'pi': 0.9384765625, 'score': 0.9384765625, 'examples_seen': 39664, 'step': 700, 'algorithm': 'mst_prim'}
I0715 17:06:41.611047 138595623839232 run.py:723] (val) algo mst_prim step 750: {'pi': 0.8935546875, 'score': 0.8935546875, 'examples_seen': 42478, 'step': 750, 'algorithm': 'mst_prim'}
I0715 17:06:43.495558 138595623839232 run.py:723] (val) algo mst_prim step 800: {'pi': 0.8955078125, 'score': 0.8955078125, 'examples_seen': 45235, 'step': 800, 'algorithm': 'mst_prim'}
I0715 17:06:45.336551 138595623839232 run.py:723] (val) algo mst_prim step 850: {'pi': 0.9189453125, 'score': 0.9189453125, 'examples_seen': 48042, 'step': 850, 'algorithm': 'mst_prim'}
I0715 17:06:47.218245 138595623839232 run.py:723] (val) algo mst_prim step 900: {'pi': 0.8974609375, 'score': 0.8974609375, 'examples_seen': 50811, 'step': 900, 'algorithm': 'mst_prim'}
I0715 17:06:49.095027 138595623839232 run.py:723] (val) algo mst_prim step 950: {'pi': 0.9150390625, 'score': 0.9150390625, 'examples_seen': 53579, 'step': 950, 'algorithm': 'mst_prim'}
