I0715 17:13:42.059503 135280435951104 run.py:723] (val) algo naive_string_matcher step 0: {'match': 0.103759765625, 'score': 0.103759765625, 'examples_seen': 26, 'step': 0, 'algorithm': 'naive_string_matcher'}
I0715 17:13:44.029461 135280435951104 run.py:723] (val) algo naive_string_matcher step 50: {'match': 0.370361328125, 'score': 0.370361328125, 'examples_seen': 1160, 'step': 50, 'algorithm': 'naive_string_matcher'}
I0715 17:13:46.009470 135280435951104 run.py:723] (val) algo naive_string_matcher step 100: {'match': 0.452392578125, 'score': 0.452392578125, 'examples_seen': 2312, 'step': 100, 'algorithm': 'naive_string_matcher'}
I0715 17:13:47.978018 135280435951104 run.py:723] (val) algo naive_string_matcher step 150: {'match': 0.659912109375, 'score': 0.659912109375, 'examples_seen': 3487, 'step': 150, 'algorithm': 'naive_string_matcher'}
I0715 17:13:49.980570 135280435951104 run.py:723] (val) algo naive_string_matcher step 200: {'match': 0.525146484375, 'score': 0.525146484375, 'examples_seen': 4640, 'step': 200, 'algorithm': 'naive_string_matcher'}
I0715 17:13:51.903345 135280435951104 run.py:723] (val) algo naive_string_matcher step 250: {'match': 0.724365234375, 'score': 0.724365234375, 'examples_seen': 5786, 'step': 250, 'algorithm': 'naive_string_matcher'}
I0715 17:13:53.868217 135280435951104 run.py:723] (val) algo naive_string_matcher step 300: {'match': 0.65087890625, 'score': 0.65087890625, 'examples_seen': 6929, 'step': 300, 'algorithm': 'naive_string_matcher'}
I0715 17:13:55.823643 135280435951104 run.py:723] (val) algo naive_string_matcher step 350: {'match': 0.536376953125, 'score': 0.536376953125, 'examples_seen': 8076, 'step': 350, 'algorithm': 'naive_string_matcher'}
I0715 17:13:57.744285 135280435951104 run.py:723] (val) algo naive_string_matcher step 400: {'match': 0.71435546875, 'score': 0.71435546875, 'examples_seen': 9200, 'step': 400, 'algorithm': 'naive_string_matcher'}
I0715 17:13:59.725211 135280435951104 run.py:723] (val) algo naive_string_matcher step 450: {'match': 0.65673828125, 'score': 0.65673828125, 'examples_seen': 10369, 'step': 450, 'algorithm': 'naive_string_matcher'}
I0715 17:14:01.702836 135280435951104 run.py:723] (val) algo naive_string_matcher step 500: {'match': 0.69970703125, 'score': 0.69970703125, 'examples_seen': 11534, 'step': 500, 'algorithm': 'naive_string_matcher'}
I0715 17:14:03.661798 135280435951104 run.py:723] (val) algo naive_string_matcher step 550: {'match': 0.822509765625, 'score': 0.822509765625, 'examples_seen': 12683, 'step': 550, 'algorithm': 'naive_string_matcher'}
I0715 17:14:05.613086 135280435951104 run.py:723] (val) algo naive_string_matcher step 600: {'match': 0.823486328125, 'score': 0.823486328125, 'examples_seen': 13822, 'step': 600, 'algorithm': 'naive_string_matcher'}
I0715 17:14:07.535381 135280435951104 run.py:723] (val) algo naive_string_matcher step 650: {'match': 0.873046875, 'score': 0.873046875, 'examples_seen': 14973, 'step': 650, 'algorithm': 'naive_string_matcher'}
I0715 17:14:09.535371 135280435951104 run.py:723] (val) algo naive_string_matcher step 700: {'match': 0.76806640625, 'score': 0.76806640625, 'examples_seen': 16105, 'step': 700, 'algorithm': 'naive_string_matcher'}
I0715 17:14:11.513135 135280435951104 run.py:723] (val) algo naive_string_matcher step 750: {'match': 0.86181640625, 'score': 0.86181640625, 'examples_seen': 17243, 'step': 750, 'algorithm': 'naive_string_matcher'}
I0715 17:14:13.490721 135280435951104 run.py:723] (val) algo naive_string_matcher step 800: {'match': 0.9248046875, 'score': 0.9248046875, 'examples_seen': 18396, 'step': 800, 'algorithm': 'naive_string_matcher'}
I0715 17:14:15.504294 135280435951104 run.py:723] (val) algo naive_string_matcher step 850: {'match': 0.94189453125, 'score': 0.94189453125, 'examples_seen': 19560, 'step': 850, 'algorithm': 'naive_string_matcher'}
I0715 17:14:17.495343 135280435951104 run.py:723] (val) algo naive_string_matcher step 900: {'match': 0.949951171875, 'score': 0.949951171875, 'examples_seen': 20700, 'step': 900, 'algorithm': 'naive_string_matcher'}
I0715 17:14:19.452772 135280435951104 run.py:723] (val) algo naive_string_matcher step 950: {'match': 0.986328125, 'score': 0.986328125, 'examples_seen': 21853, 'step': 950, 'algorithm': 'naive_string_matcher'}
I0715 17:14:21.407726 135280435951104 run.py:723] (val) algo naive_string_matcher step 1000: {'match': 0.974609375, 'score': 0.974609375, 'examples_seen': 23016, 'step': 1000, 'algorithm': 'naive_string_matcher'}
I0715 17:14:23.377830 135280435951104 run.py:723] (val) algo naive_string_matcher step 1050: {'match': 0.95068359375, 'score': 0.95068359375, 'examples_seen': 24157, 'step': 1050, 'algorithm': 'naive_string_matcher'}
I0715 17:14:25.305402 135280435951104 run.py:723] (val) algo naive_string_matcher step 1100: {'match': 0.9873046875, 'score': 0.9873046875, 'examples_seen': 25307, 'step': 1100, 'algorithm': 'naive_string_matcher'}
I0715 17:14:27.280572 135280435951104 run.py:723] (val) algo naive_string_matcher step 1150: {'match': 0.9873046875, 'score': 0.9873046875, 'examples_seen': 26449, 'step': 1150, 'algorithm': 'naive_string_matcher'}
I0715 17:14:29.244537 135280435951104 run.py:723] (val) algo naive_string_matcher step 1200: {'match': 0.982177734375, 'score': 0.982177734375, 'examples_seen': 27616, 'step': 1200, 'algorithm': 'naive_string_matcher'}
I0715 17:14:31.181857 135280435951104 run.py:723] (val) algo naive_string_matcher step 1250: {'match': 0.985107421875, 'score': 0.985107421875, 'examples_seen': 28765, 'step': 1250, 'algorithm': 'naive_string_matcher'}
I0715 17:14:33.160735 135280435951104 run.py:723] (val) algo naive_string_matcher step 1300: {'match': 0.978515625, 'score': 0.978515625, 'examples_seen': 29892, 'step': 1300, 'algorithm': 'naive_string_matcher'}
I0715 17:14:35.089579 135280435951104 run.py:723] (val) algo naive_string_matcher step 1350: {'match': 0.98046875, 'score': 0.98046875, 'examples_seen': 31054, 'step': 1350, 'algorithm': 'naive_string_matcher'}
I0715 17:14:37.060560 135280435951104 run.py:723] (val) algo naive_string_matcher step 1400: {'match': 0.966796875, 'score': 0.966796875, 'examples_seen': 32189, 'step': 1400, 'algorithm': 'naive_string_matcher'}
I0715 17:14:39.023890 135280435951104 run.py:723] (val) algo naive_string_matcher step 1450: {'match': 0.97314453125, 'score': 0.97314453125, 'examples_seen': 33357, 'step': 1450, 'algorithm': 'naive_string_matcher'}
I0715 17:14:40.992906 135280435951104 run.py:723] (val) algo naive_string_matcher step 1500: {'match': 0.906005859375, 'score': 0.906005859375, 'examples_seen': 34484, 'step': 1500, 'algorithm': 'naive_string_matcher'}
I0715 17:14:42.930176 135280435951104 run.py:723] (val) algo naive_string_matcher step 1550: {'match': 0.970458984375, 'score': 0.970458984375, 'examples_seen': 35639, 'step': 1550, 'algorithm': 'naive_string_matcher'}
I0715 17:14:44.883431 135280435951104 run.py:723] (val) algo naive_string_matcher step 1600: {'match': 0.942138671875, 'score': 0.942138671875, 'examples_seen': 36789, 'step': 1600, 'algorithm': 'naive_string_matcher'}
I0715 17:14:46.824351 135280435951104 run.py:723] (val) algo naive_string_matcher step 1650: {'match': 0.965576171875, 'score': 0.965576171875, 'examples_seen': 37934, 'step': 1650, 'algorithm': 'naive_string_matcher'}
I0715 17:14:48.769349 135280435951104 run.py:723] (val) algo naive_string_matcher step 1700: {'match': 0.97119140625, 'score': 0.97119140625, 'examples_seen': 39077, 'step': 1700, 'algorithm': 'naive_string_matcher'}
I0715 17:14:50.746846 135280435951104 run.py:723] (val) algo naive_string_matcher step 1750: {'match': 0.97412109375, 'score': 0.97412109375, 'examples_seen': 40229, 'step': 1750, 'algorithm': 'naive_string_matcher'}
I0715 17:14:52.692545 135280435951104 run.py:723] (val) algo naive_string_matcher step 1800: {'match': 0.9794921875, 'score': 0.9794921875, 'examples_seen': 41362, 'step': 1800, 'algorithm': 'naive_string_matcher'}
I0715 17:14:54.712285 135280435951104 run.py:723] (val) algo naive_string_matcher step 1850: {'match': 0.944091796875, 'score': 0.944091796875, 'examples_seen': 42500, 'step': 1850, 'algorithm': 'naive_string_matcher'}
I0715 17:14:56.658918 135280435951104 run.py:723] (val) algo naive_string_matcher step 1900: {'match': 0.96826171875, 'score': 0.96826171875, 'examples_seen': 43646, 'step': 1900, 'algorithm': 'naive_string_matcher'}
