{'is_cut': 0.06829268292682926, 'score': 0.06829268292682926, 'examples_seen': 16, 'step': 0, 'algorithm': 'articulation_points'}
{'is_cut': 0.0, 'score': 0.0, 'examples_seen': 799, 'step': 50, 'algorithm': 'articulation_points'}
{'is_cut': 0.03007518796992481, 'score': 0.03007518796992481, 'examples_seen': 1592, 'step': 100, 'algorithm': 'articulation_points'}
{'is_cut': 0.147239263803681, 'score': 0.147239263803681, 'examples_seen': 2372, 'step': 150, 'algorithm': 'articulation_points'}
{'is_cut': 0.039735099337748346, 'score': 0.039735099337748346, 'examples_seen': 3158, 'step': 200, 'algorithm': 'articulation_points'}
{'is_cut': 0.5089605734767024, 'score': 0.5089605734767024, 'examples_seen': 3938, 'step': 250, 'algorithm': 'articulation_points'}
{'is_cut': 0.37545126353790614, 'score': 0.37545126353790614, 'examples_seen': 4758, 'step': 300, 'algorithm': 'articulation_points'}
{'is_cut': 0.4601769911504424, 'score': 0.4601769911504424, 'examples_seen': 5564, 'step': 350, 'algorithm': 'articulation_points'}
{'is_cut': 0.3508771929824561, 'score': 0.3508771929824561, 'examples_seen': 6361, 'step': 400, 'algorithm': 'articulation_points'}
{'is_cut': 0.5116279069767442, 'score': 0.5116279069767442, 'examples_seen': 7144, 'step': 450, 'algorithm': 'articulation_points'}
{'is_cut': 0.4166666666666667, 'score': 0.4166666666666667, 'examples_seen': 7922, 'step': 500, 'algorithm': 'articulation_points'}
{'is_cut': 0.7538461538461538, 'score': 0.7538461538461538, 'examples_seen': 8709, 'step': 550, 'algorithm': 'articulation_points'}
{'is_cut': 0.539568345323741, 'score': 0.539568345323741, 'examples_seen': 9489, 'step': 600, 'algorithm': 'articulation_points'}
{'is_cut': 0.5431034482758621, 'score': 0.5431034482758621, 'examples_seen': 10303, 'step': 650, 'algorithm': 'articulation_points'}
{'is_cut': 0.498220640569395, 'score': 0.498220640569395, 'examples_seen': 11121, 'step': 700, 'algorithm': 'articulation_points'}
{'is_cut': 0.42424242424242425, 'score': 0.42424242424242425, 'examples_seen': 11916, 'step': 750, 'algorithm': 'articulation_points'}
{'is_cut': 0.3686635944700461, 'score': 0.3686635944700461, 'examples_seen': 12693, 'step': 800, 'algorithm': 'articulation_points'}
{'is_cut': 0.5239852398523984, 'score': 0.5239852398523984, 'examples_seen': 13478, 'step': 850, 'algorithm': 'articulation_points'}
{'is_cut': 0.594059405940594, 'score': 0.594059405940594, 'examples_seen': 14261, 'step': 900, 'algorithm': 'articulation_points'}
{'is_cut': 0.6174496644295302, 'score': 0.6174496644295302, 'examples_seen': 15044, 'step': 950, 'algorithm': 'articulation_points'}
{'is_cut': 0.7, 'score': 0.7, 'examples_seen': 15862, 'step': 1000, 'algorithm': 'articulation_points'}
{'is_cut': 0.4588744588744589, 'score': 0.4588744588744589, 'examples_seen': 16666, 'step': 1050, 'algorithm': 'articulation_points'}
{'is_cut': 0.4814814814814815, 'score': 0.4814814814814815, 'examples_seen': 17456, 'step': 1100, 'algorithm': 'articulation_points'}
{'is_cut': 0.49612403100775193, 'score': 0.49612403100775193, 'examples_seen': 18236, 'step': 1150, 'algorithm': 'articulation_points'}
{'is_cut': 0.6666666666666666, 'score': 0.6666666666666666, 'examples_seen': 19020, 'step': 1200, 'algorithm': 'articulation_points'}
{'is_cut': 0.5094339622641508, 'score': 0.5094339622641508, 'examples_seen': 19803, 'step': 1250, 'algorithm': 'articulation_points'}
{'is_cut': 0.6180555555555555, 'score': 0.6180555555555555, 'examples_seen': 20574, 'step': 1300, 'algorithm': 'articulation_points'}
{'is_cut': 0.528735632183908, 'score': 0.528735632183908, 'examples_seen': 21402, 'step': 1350, 'algorithm': 'articulation_points'}
{'is_cut': 0.6713286713286714, 'score': 0.6713286713286714, 'examples_seen': 22205, 'step': 1400, 'algorithm': 'articulation_points'}
{'is_cut': 0.6590909090909091, 'score': 0.6590909090909091, 'examples_seen': 22992, 'step': 1450, 'algorithm': 'articulation_points'}
{'is_cut': 0.5099601593625498, 'score': 0.5099601593625498, 'examples_seen': 23790, 'step': 1500, 'algorithm': 'articulation_points'}
{'is_cut': 0.6008583690987125, 'score': 0.6008583690987125, 'examples_seen': 24579, 'step': 1550, 'algorithm': 'articulation_points'}
{'is_cut': 0.6579804560260587, 'score': 0.6579804560260587, 'examples_seen': 25373, 'step': 1600, 'algorithm': 'articulation_points'}
{'is_cut': 0.5447761194029851, 'score': 0.5447761194029851, 'examples_seen': 26148, 'step': 1650, 'algorithm': 'articulation_points'}
{'is_cut': 0.5498281786941581, 'score': 0.5498281786941581, 'examples_seen': 26979, 'step': 1700, 'algorithm': 'articulation_points'}
{'is_cut': 0.6024096385542169, 'score': 0.6024096385542169, 'examples_seen': 27790, 'step': 1750, 'algorithm': 'articulation_points'}
{'is_cut': 0.6585365853658537, 'score': 0.6585365853658537, 'examples_seen': 28578, 'step': 1800, 'algorithm': 'articulation_points'}
{'is_cut': 0.6307053941908713, 'score': 0.6307053941908713, 'examples_seen': 29362, 'step': 1850, 'algorithm': 'articulation_points'}
{'is_cut': 0.48999999999999994, 'score': 0.48999999999999994, 'examples_seen': 30144, 'step': 1900, 'algorithm': 'articulation_points'}
{'is_cut': 0.6111111111111112, 'score': 0.6111111111111112, 'examples_seen': 30937, 'step': 1950, 'algorithm': 'articulation_points'}
