I0716 12:51:35.359011 125797712770560 run.py:722] (val) algo bfs step 0: {'pi': 0.5791015625, 'score': 0.5791015625, 'examples_seen': 154, 'step': 0, 'algorithm': 'bfs'}
I0716 12:53:06.245830 125797712770560 run.py:722] (val) algo bfs step 50: {'pi': 0.9619140625, 'score': 0.9619140625, 'examples_seen': 6141, 'step': 50, 'algorithm': 'bfs'}
I0716 12:53:09.088218 125797712770560 run.py:722] (val) algo bfs step 100: {'pi': 0.95703125, 'score': 0.95703125, 'examples_seen': 12109, 'step': 100, 'algorithm': 'bfs'}
I0716 12:53:11.842437 125797712770560 run.py:722] (val) algo bfs step 150: {'pi': 0.9580078125, 'score': 0.9580078125, 'examples_seen': 17996, 'step': 150, 'algorithm': 'bfs'}
I0716 12:53:14.533891 125797712770560 run.py:722] (val) algo bfs step 200: {'pi': 0.9833984375, 'score': 0.9833984375, 'examples_seen': 23947, 'step': 200, 'algorithm': 'bfs'}
I0716 12:53:17.268443 125797712770560 run.py:722] (val) algo bfs step 250: {'pi': 0.9931640625, 'score': 0.9931640625, 'examples_seen': 29856, 'step': 250, 'algorithm': 'bfs'}
I0716 12:53:20.001600 125797712770560 run.py:722] (val) algo bfs step 300: {'pi': 0.990234375, 'score': 0.990234375, 'examples_seen': 35867, 'step': 300, 'algorithm': 'bfs'}
I0716 12:53:22.741662 125797712770560 run.py:722] (val) algo bfs step 350: {'pi': 0.994140625, 'score': 0.994140625, 'examples_seen': 41918, 'step': 350, 'algorithm': 'bfs'}
I0716 12:53:25.499351 125797712770560 run.py:722] (val) algo bfs step 400: {'pi': 0.99609375, 'score': 0.99609375, 'examples_seen': 47909, 'step': 400, 'algorithm': 'bfs'}
I0716 12:53:28.210764 125797712770560 run.py:722] (val) algo bfs step 450: {'pi': 0.9970703125, 'score': 0.9970703125, 'examples_seen': 53904, 'step': 450, 'algorithm': 'bfs'}
I0716 12:53:30.913029 125797712770560 run.py:722] (val) algo bfs step 500: {'pi': 0.986328125, 'score': 0.986328125, 'examples_seen': 59841, 'step': 500, 'algorithm': 'bfs'}
I0716 12:53:33.611438 125797712770560 run.py:722] (val) algo bfs step 550: {'pi': 0.9970703125, 'score': 0.9970703125, 'examples_seen': 65752, 'step': 550, 'algorithm': 'bfs'}
I0716 12:53:36.360085 125797712770560 run.py:722] (val) algo bfs step 600: {'pi': 0.9951171875, 'score': 0.9951171875, 'examples_seen': 71692, 'step': 600, 'algorithm': 'bfs'}
I0716 12:53:39.083894 125797712770560 run.py:722] (val) algo bfs step 650: {'pi': 0.99609375, 'score': 0.99609375, 'examples_seen': 77740, 'step': 650, 'algorithm': 'bfs'}
I0716 12:53:41.861235 125797712770560 run.py:722] (val) algo bfs step 700: {'pi': 0.99609375, 'score': 0.99609375, 'examples_seen': 83753, 'step': 700, 'algorithm': 'bfs'}
I0716 12:53:44.568920 125797712770560 run.py:722] (val) algo bfs step 750: {'pi': 0.990234375, 'score': 0.990234375, 'examples_seen': 89759, 'step': 750, 'algorithm': 'bfs'}
I0716 12:53:47.145725 125797712770560 run.py:722] (val) algo bfs step 800: {'pi': 0.9970703125, 'score': 0.9970703125, 'examples_seen': 95685, 'step': 800, 'algorithm': 'bfs'}
I0716 12:53:49.817693 125797712770560 run.py:722] (val) algo bfs step 850: {'pi': 0.99609375, 'score': 0.99609375, 'examples_seen': 101629, 'step': 850, 'algorithm': 'bfs'}
I0716 12:53:52.541146 125797712770560 run.py:722] (val) algo bfs step 900: {'pi': 0.9970703125, 'score': 0.9970703125, 'examples_seen': 107598, 'step': 900, 'algorithm': 'bfs'}
I0716 12:53:55.257807 125797712770560 run.py:722] (val) algo bfs step 950: {'pi': 0.9990234375, 'score': 0.9990234375, 'examples_seen': 113479, 'step': 950, 'algorithm': 'bfs'}
I0716 12:53:57.987605 125797712770560 run.py:722] (val) algo bfs step 1000: {'pi': 0.998046875, 'score': 0.998046875, 'examples_seen': 119518, 'step': 1000, 'algorithm': 'bfs'}
I0716 12:54:00.646554 125797712770560 run.py:722] (val) algo bfs step 1050: {'pi': 0.9951171875, 'score': 0.9951171875, 'examples_seen': 125463, 'step': 1050, 'algorithm': 'bfs'}
I0716 12:54:03.299800 125797712770560 run.py:722] (val) algo bfs step 1100: {'pi': 0.9931640625, 'score': 0.9931640625, 'examples_seen': 131446, 'step': 1100, 'algorithm': 'bfs'}
I0716 12:54:06.051864 125797712770560 run.py:722] (val) algo bfs step 1150: {'pi': 0.9951171875, 'score': 0.9951171875, 'examples_seen': 137380, 'step': 1150, 'algorithm': 'bfs'}
I0716 12:54:08.767171 125797712770560 run.py:722] (val) algo bfs step 1200: {'pi': 1.0, 'score': 1.0, 'examples_seen': 143332, 'step': 1200, 'algorithm': 'bfs'}
I0716 12:54:11.535043 125797712770560 run.py:722] (val) algo bfs step 1250: {'pi': 0.99609375, 'score': 0.99609375, 'examples_seen': 149311, 'step': 1250, 'algorithm': 'bfs'}
I0716 12:54:14.197624 125797712770560 run.py:722] (val) algo bfs step 1300: {'pi': 0.9990234375, 'score': 0.9990234375, 'examples_seen': 155183, 'step': 1300, 'algorithm': 'bfs'}
I0716 12:54:16.920007 125797712770560 run.py:722] (val) algo bfs step 1350: {'pi': 0.99609375, 'score': 0.99609375, 'examples_seen': 161256, 'step': 1350, 'algorithm': 'bfs'}
I0716 12:54:19.603443 125797712770560 run.py:722] (val) algo bfs step 1400: {'pi': 0.9970703125, 'score': 0.9970703125, 'examples_seen': 167269, 'step': 1400, 'algorithm': 'bfs'}
I0716 12:54:22.316639 125797712770560 run.py:722] (val) algo bfs step 1450: {'pi': 0.9990234375, 'score': 0.9990234375, 'examples_seen': 173263, 'step': 1450, 'algorithm': 'bfs'}
I0716 12:54:24.946577 125797712770560 run.py:722] (val) algo bfs step 1500: {'pi': 0.994140625, 'score': 0.994140625, 'examples_seen': 179266, 'step': 1500, 'algorithm': 'bfs'}
I0716 12:54:27.622811 125797712770560 run.py:722] (val) algo bfs step 1550: {'pi': 0.9970703125, 'score': 0.9970703125, 'examples_seen': 185182, 'step': 1550, 'algorithm': 'bfs'}
I0716 12:54:30.398401 125797712770560 run.py:722] (val) algo bfs step 1600: {'pi': 0.994140625, 'score': 0.994140625, 'examples_seen': 191117, 'step': 1600, 'algorithm': 'bfs'}
I0716 12:54:33.038752 125797712770560 run.py:722] (val) algo bfs step 1650: {'pi': 0.99609375, 'score': 0.99609375, 'examples_seen': 197064, 'step': 1650, 'algorithm': 'bfs'}
