I0716 18:25:27.908975 137040288290304 run.py:722] (val) algo articulation_points step 0: {'is_cut': 0.16923076923076924, 'score': 0.16923076923076924, 'examples_seen': 16, 'step': 0, 'algorithm': 'articulation_points'}
I0716 18:27:19.714027 137040288290304 run.py:722] (val) algo articulation_points step 50: {'is_cut': 0.0, 'score': 0.0, 'examples_seen': 799, 'step': 50, 'algorithm': 'articulation_points'}
I0716 18:27:21.367865 137040288290304 run.py:722] (val) algo articulation_points step 100: {'is_cut': 0.0, 'score': 0.0, 'examples_seen': 1592, 'step': 100, 'algorithm': 'articulation_points'}
I0716 18:27:23.034664 137040288290304 run.py:722] (val) algo articulation_points step 150: {'is_cut': 0.5467625899280575, 'score': 0.5467625899280575, 'examples_seen': 2372, 'step': 150, 'algorithm': 'articulation_points'}
I0716 18:27:24.661824 137040288290304 run.py:722] (val) algo articulation_points step 200: {'is_cut': 0.23204419889502764, 'score': 0.23204419889502764, 'examples_seen': 3158, 'step': 200, 'algorithm': 'articulation_points'}
I0716 18:27:26.379275 137040288290304 run.py:722] (val) algo articulation_points step 250: {'is_cut': 0.07821229050279328, 'score': 0.07821229050279328, 'examples_seen': 3938, 'step': 250, 'algorithm': 'articulation_points'}
I0716 18:27:28.386168 137040288290304 run.py:722] (val) algo articulation_points step 300: {'is_cut': 0.25352112676056343, 'score': 0.25352112676056343, 'examples_seen': 4758, 'step': 300, 'algorithm': 'articulation_points'}
I0716 18:27:30.040682 137040288290304 run.py:722] (val) algo articulation_points step 350: {'is_cut': 0.5660377358490566, 'score': 0.5660377358490566, 'examples_seen': 5564, 'step': 350, 'algorithm': 'articulation_points'}
I0716 18:27:31.666366 137040288290304 run.py:722] (val) algo articulation_points step 400: {'is_cut': 0.5, 'score': 0.5, 'examples_seen': 6361, 'step': 400, 'algorithm': 'articulation_points'}
I0716 18:27:33.300894 137040288290304 run.py:722] (val) algo articulation_points step 450: {'is_cut': 0.5735294117647058, 'score': 0.5735294117647058, 'examples_seen': 7144, 'step': 450, 'algorithm': 'articulation_points'}
I0716 18:27:34.943938 137040288290304 run.py:722] (val) algo articulation_points step 500: {'is_cut': 0.4533333333333333, 'score': 0.4533333333333333, 'examples_seen': 7922, 'step': 500, 'algorithm': 'articulation_points'}
I0716 18:27:36.599711 137040288290304 run.py:722] (val) algo articulation_points step 550: {'is_cut': 0.5986394557823129, 'score': 0.5986394557823129, 'examples_seen': 8709, 'step': 550, 'algorithm': 'articulation_points'}
I0716 18:27:38.312262 137040288290304 run.py:722] (val) algo articulation_points step 600: {'is_cut': 0.5830721003134797, 'score': 0.5830721003134797, 'examples_seen': 9489, 'step': 600, 'algorithm': 'articulation_points'}
I0716 18:27:39.911259 137040288290304 run.py:722] (val) algo articulation_points step 650: {'is_cut': 0.5214007782101168, 'score': 0.5214007782101168, 'examples_seen': 10303, 'step': 650, 'algorithm': 'articulation_points'}
I0716 18:27:41.593365 137040288290304 run.py:722] (val) algo articulation_points step 700: {'is_cut': 0.5639097744360902, 'score': 0.5639097744360902, 'examples_seen': 11121, 'step': 700, 'algorithm': 'articulation_points'}
I0716 18:27:43.202554 137040288290304 run.py:722] (val) algo articulation_points step 750: {'is_cut': 0.5829959514170041, 'score': 0.5829959514170041, 'examples_seen': 11916, 'step': 750, 'algorithm': 'articulation_points'}
I0716 18:27:44.818723 137040288290304 run.py:722] (val) algo articulation_points step 800: {'is_cut': 0.5647840531561462, 'score': 0.5647840531561462, 'examples_seen': 12693, 'step': 800, 'algorithm': 'articulation_points'}
I0716 18:27:46.393089 137040288290304 run.py:722] (val) algo articulation_points step 850: {'is_cut': 0.5972222222222222, 'score': 0.5972222222222222, 'examples_seen': 13478, 'step': 850, 'algorithm': 'articulation_points'}
I0716 18:27:48.070128 137040288290304 run.py:722] (val) algo articulation_points step 900: {'is_cut': 0.6341463414634146, 'score': 0.6341463414634146, 'examples_seen': 14261, 'step': 900, 'algorithm': 'articulation_points'}
I0716 18:27:49.689562 137040288290304 run.py:722] (val) algo articulation_points step 950: {'is_cut': 0.672566371681416, 'score': 0.672566371681416, 'examples_seen': 15044, 'step': 950, 'algorithm': 'articulation_points'}
I0716 18:27:51.415034 137040288290304 run.py:722] (val) algo articulation_points step 1000: {'is_cut': 0.7458563535911603, 'score': 0.7458563535911603, 'examples_seen': 15862, 'step': 1000, 'algorithm': 'articulation_points'}
I0716 18:27:53.077812 137040288290304 run.py:722] (val) algo articulation_points step 1050: {'is_cut': 0.5323193916349811, 'score': 0.5323193916349811, 'examples_seen': 16666, 'step': 1050, 'algorithm': 'articulation_points'}
I0716 18:27:54.694252 137040288290304 run.py:722] (val) algo articulation_points step 1100: {'is_cut': 0.7058823529411765, 'score': 0.7058823529411765, 'examples_seen': 17456, 'step': 1100, 'algorithm': 'articulation_points'}
I0716 18:27:56.308664 137040288290304 run.py:722] (val) algo articulation_points step 1150: {'is_cut': 0.35616438356164387, 'score': 0.35616438356164387, 'examples_seen': 18236, 'step': 1150, 'algorithm': 'articulation_points'}
I0716 18:27:57.924442 137040288290304 run.py:722] (val) algo articulation_points step 1200: {'is_cut': 0.6734006734006734, 'score': 0.6734006734006734, 'examples_seen': 19020, 'step': 1200, 'algorithm': 'articulation_points'}
I0716 18:27:59.565098 137040288290304 run.py:722] (val) algo articulation_points step 1250: {'is_cut': 0.736111111111111, 'score': 0.736111111111111, 'examples_seen': 19803, 'step': 1250, 'algorithm': 'articulation_points'}
I0716 18:28:01.194960 137040288290304 run.py:722] (val) algo articulation_points step 1300: {'is_cut': 0.7272727272727273, 'score': 0.7272727272727273, 'examples_seen': 20574, 'step': 1300, 'algorithm': 'articulation_points'}
I0716 18:28:02.809885 137040288290304 run.py:722] (val) algo articulation_points step 1350: {'is_cut': 0.6809651474530831, 'score': 0.6809651474530831, 'examples_seen': 21402, 'step': 1350, 'algorithm': 'articulation_points'}
I0716 18:28:04.427537 137040288290304 run.py:722] (val) algo articulation_points step 1400: {'is_cut': 0.673611111111111, 'score': 0.673611111111111, 'examples_seen': 22205, 'step': 1400, 'algorithm': 'articulation_points'}
I0716 18:28:06.025360 137040288290304 run.py:722] (val) algo articulation_points step 1450: {'is_cut': 0.6413793103448275, 'score': 0.6413793103448275, 'examples_seen': 22992, 'step': 1450, 'algorithm': 'articulation_points'}
I0716 18:28:07.719084 137040288290304 run.py:722] (val) algo articulation_points step 1500: {'is_cut': 0.6979472140762465, 'score': 0.6979472140762465, 'examples_seen': 23790, 'step': 1500, 'algorithm': 'articulation_points'}
I0716 18:28:09.373818 137040288290304 run.py:722] (val) algo articulation_points step 1550: {'is_cut': 0.6666666666666666, 'score': 0.6666666666666666, 'examples_seen': 24579, 'step': 1550, 'algorithm': 'articulation_points'}
I0716 18:28:10.996552 137040288290304 run.py:722] (val) algo articulation_points step 1600: {'is_cut': 0.7507507507507508, 'score': 0.7507507507507508, 'examples_seen': 25373, 'step': 1600, 'algorithm': 'articulation_points'}
I0716 18:28:12.686931 137040288290304 run.py:722] (val) algo articulation_points step 1650: {'is_cut': 0.6981132075471698, 'score': 0.6981132075471698, 'examples_seen': 26148, 'step': 1650, 'algorithm': 'articulation_points'}
I0716 18:28:14.317054 137040288290304 run.py:722] (val) algo articulation_points step 1700: {'is_cut': 0.5289256198347108, 'score': 0.5289256198347108, 'examples_seen': 26979, 'step': 1700, 'algorithm': 'articulation_points'}
I0716 18:28:15.939565 137040288290304 run.py:722] (val) algo articulation_points step 1750: {'is_cut': 0.6833333333333333, 'score': 0.6833333333333333, 'examples_seen': 27790, 'step': 1750, 'algorithm': 'articulation_points'}
I0716 18:28:17.587168 137040288290304 run.py:722] (val) algo articulation_points step 1800: {'is_cut': 0.624, 'score': 0.624, 'examples_seen': 28578, 'step': 1800, 'algorithm': 'articulation_points'}
I0716 18:28:19.157541 137040288290304 run.py:722] (val) algo articulation_points step 1850: {'is_cut': 0.7238095238095237, 'score': 0.7238095238095237, 'examples_seen': 29362, 'step': 1850, 'algorithm': 'articulation_points'}
I0716 18:28:20.821659 137040288290304 run.py:722] (val) algo articulation_points step 1900: {'is_cut': 0.6926070038910507, 'score': 0.6926070038910507, 'examples_seen': 30144, 'step': 1900, 'algorithm': 'articulation_points'}
I0716 18:28:22.464038 137040288290304 run.py:722] (val) algo articulation_points step 1950: {'is_cut': 0.6322188449848024, 'score': 0.6322188449848024, 'examples_seen': 30937, 'step': 1950, 'algorithm': 'articulation_points'}
I0716 18:28:24.092550 137040288290304 run.py:722] (val) algo articulation_points step 2000: {'is_cut': 0.6825938566552902, 'score': 0.6825938566552902, 'examples_seen': 31704, 'step': 2000, 'algorithm': 'articulation_points'}
I0716 18:28:25.744657 137040288290304 run.py:722] (val) algo articulation_points step 2050: {'is_cut': 0.7181008902077152, 'score': 0.7181008902077152, 'examples_seen': 32518, 'step': 2050, 'algorithm': 'articulation_points'}
I0716 18:28:27.414006 137040288290304 run.py:722] (val) algo articulation_points step 2100: {'is_cut': 0.7220447284345048, 'score': 0.7220447284345048, 'examples_seen': 33326, 'step': 2100, 'algorithm': 'articulation_points'}
I0716 18:28:29.089632 137040288290304 run.py:722] (val) algo articulation_points step 2150: {'is_cut': 0.44976076555023925, 'score': 0.44976076555023925, 'examples_seen': 34120, 'step': 2150, 'algorithm': 'articulation_points'}
I0716 18:28:30.725776 137040288290304 run.py:722] (val) algo articulation_points step 2200: {'is_cut': 0.4744525547445256, 'score': 0.4744525547445256, 'examples_seen': 34907, 'step': 2200, 'algorithm': 'articulation_points'}
I0716 18:28:32.277760 137040288290304 run.py:722] (val) algo articulation_points step 2250: {'is_cut': 0.6748971193415638, 'score': 0.6748971193415638, 'examples_seen': 35693, 'step': 2250, 'algorithm': 'articulation_points'}
I0716 18:28:33.903893 137040288290304 run.py:722] (val) algo articulation_points step 2300: {'is_cut': 0.6241610738255033, 'score': 0.6241610738255033, 'examples_seen': 36463, 'step': 2300, 'algorithm': 'articulation_points'}
I0716 18:28:35.546964 137040288290304 run.py:722] (val) algo articulation_points step 2350: {'is_cut': 0.6666666666666667, 'score': 0.6666666666666667, 'examples_seen': 37253, 'step': 2350, 'algorithm': 'articulation_points'}
I0716 18:28:37.155402 137040288290304 run.py:722] (val) algo articulation_points step 2400: {'is_cut': 0.6715867158671587, 'score': 0.6715867158671587, 'examples_seen': 38065, 'step': 2400, 'algorithm': 'articulation_points'}
I0716 18:28:38.801346 137040288290304 run.py:722] (val) algo articulation_points step 2450: {'is_cut': 0.6938775510204083, 'score': 0.6938775510204083, 'examples_seen': 38870, 'step': 2450, 'algorithm': 'articulation_points'}
I0716 18:28:40.380545 137040288290304 run.py:722] (val) algo articulation_points step 2500: {'is_cut': 0.7094594594594594, 'score': 0.7094594594594594, 'examples_seen': 39671, 'step': 2500, 'algorithm': 'articulation_points'}
I0716 18:28:41.944287 137040288290304 run.py:722] (val) algo articulation_points step 2550: {'is_cut': 0.7401129943502825, 'score': 0.7401129943502825, 'examples_seen': 40461, 'step': 2550, 'algorithm': 'articulation_points'}
I0716 18:28:43.556462 137040288290304 run.py:722] (val) algo articulation_points step 2600: {'is_cut': 0.6851851851851852, 'score': 0.6851851851851852, 'examples_seen': 41238, 'step': 2600, 'algorithm': 'articulation_points'}
I0716 18:28:45.232006 137040288290304 run.py:722] (val) algo articulation_points step 2650: {'is_cut': 0.6349206349206349, 'score': 0.6349206349206349, 'examples_seen': 42028, 'step': 2650, 'algorithm': 'articulation_points'}
I0716 18:28:46.908506 137040288290304 run.py:722] (val) algo articulation_points step 2700: {'is_cut': 0.743362831858407, 'score': 0.743362831858407, 'examples_seen': 42801, 'step': 2700, 'algorithm': 'articulation_points'}
I0716 18:28:48.586324 137040288290304 run.py:722] (val) algo articulation_points step 2750: {'is_cut': 0.5523012552301255, 'score': 0.5523012552301255, 'examples_seen': 43618, 'step': 2750, 'algorithm': 'articulation_points'}
