{'Pi': 0.0855712890625, 'score': 0.0855712890625, 'examples_seen': 80, 'step': 0, 'algorithm': 'floyd_warshall'}
{'Pi': 0.2899169921875, 'score': 0.2899169921875, 'examples_seen': 2640, 'step': 50, 'algorithm': 'floyd_warshall'}
{'Pi': 0.24169921875, 'score': 0.24169921875, 'examples_seen': 5200, 'step': 100, 'algorithm': 'floyd_warshall'}
{'Pi': 0.2890625, 'score': 0.2890625, 'examples_seen': 7744, 'step': 150, 'algorithm': 'floyd_warshall'}
{'Pi': 0.36260986328125, 'score': 0.36260986328125, 'examples_seen': 10288, 'step': 200, 'algorithm': 'floyd_warshall'}
{'Pi': 0.443359375, 'score': 0.443359375, 'examples_seen': 12816, 'step': 250, 'algorithm': 'floyd_warshall'}
{'Pi': 0.45526123046875, 'score': 0.45526123046875, 'examples_seen': 15472, 'step': 300, 'algorithm': 'floyd_warshall'}
{'Pi': 0.4483642578125, 'score': 0.4483642578125, 'examples_seen': 18080, 'step': 350, 'algorithm': 'floyd_warshall'}
{'Pi': 0.35772705078125, 'score': 0.35772705078125, 'examples_seen': 20640, 'step': 400, 'algorithm': 'floyd_warshall'}
{'Pi': 0.54718017578125, 'score': 0.54718017578125, 'examples_seen': 23216, 'step': 450, 'algorithm': 'floyd_warshall'}
{'Pi': 0.4447021484375, 'score': 0.4447021484375, 'examples_seen': 25744, 'step': 500, 'algorithm': 'floyd_warshall'}
{'Pi': 0.56201171875, 'score': 0.56201171875, 'examples_seen': 28288, 'step': 550, 'algorithm': 'floyd_warshall'}
{'Pi': 0.53582763671875, 'score': 0.53582763671875, 'examples_seen': 30832, 'step': 600, 'algorithm': 'floyd_warshall'}
{'Pi': 0.4869384765625, 'score': 0.4869384765625, 'examples_seen': 33456, 'step': 650, 'algorithm': 'floyd_warshall'}
{'Pi': 0.573974609375, 'score': 0.573974609375, 'examples_seen': 36080, 'step': 700, 'algorithm': 'floyd_warshall'}
{'Pi': 0.61126708984375, 'score': 0.61126708984375, 'examples_seen': 38640, 'step': 750, 'algorithm': 'floyd_warshall'}
{'Pi': 0.5584716796875, 'score': 0.5584716796875, 'examples_seen': 41216, 'step': 800, 'algorithm': 'floyd_warshall'}
