I0716 21:20:40.767222 137202607490560 run.py:722] (val) algo lcs_length step 0: {'b': 0.549072265625, 'score': 0.549072265625, 'examples_seen': 256, 'step': 0, 'algorithm': 'lcs_length'}
I0716 21:21:52.809412 137202607490560 run.py:722] (val) algo lcs_length step 50: {'b': 0.64794921875, 'score': 0.64794921875, 'examples_seen': 6225, 'step': 50, 'algorithm': 'lcs_length'}
I0716 21:21:56.007136 137202607490560 run.py:722] (val) algo lcs_length step 100: {'b': 0.672607421875, 'score': 0.672607421875, 'examples_seen': 12119, 'step': 100, 'algorithm': 'lcs_length'}
I0716 21:21:59.200609 137202607490560 run.py:722] (val) algo lcs_length step 150: {'b': 0.776611328125, 'score': 0.776611328125, 'examples_seen': 17980, 'step': 150, 'algorithm': 'lcs_length'}
I0716 21:22:02.449243 137202607490560 run.py:722] (val) algo lcs_length step 200: {'b': 0.9111328125, 'score': 0.9111328125, 'examples_seen': 23849, 'step': 200, 'algorithm': 'lcs_length'}
I0716 21:22:05.722765 137202607490560 run.py:722] (val) algo lcs_length step 250: {'b': 0.907958984375, 'score': 0.907958984375, 'examples_seen': 29687, 'step': 250, 'algorithm': 'lcs_length'}
I0716 21:22:08.884730 137202607490560 run.py:722] (val) algo lcs_length step 300: {'b': 0.903564453125, 'score': 0.903564453125, 'examples_seen': 35746, 'step': 300, 'algorithm': 'lcs_length'}
I0716 21:22:12.131638 137202607490560 run.py:722] (val) algo lcs_length step 350: {'b': 0.912109375, 'score': 0.912109375, 'examples_seen': 41799, 'step': 350, 'algorithm': 'lcs_length'}
I0716 21:22:15.375058 137202607490560 run.py:722] (val) algo lcs_length step 400: {'b': 0.89892578125, 'score': 0.89892578125, 'examples_seen': 47745, 'step': 400, 'algorithm': 'lcs_length'}
I0716 21:22:18.555466 137202607490560 run.py:722] (val) algo lcs_length step 450: {'b': 0.91015625, 'score': 0.91015625, 'examples_seen': 53638, 'step': 450, 'algorithm': 'lcs_length'}
I0716 21:22:21.767050 137202607490560 run.py:722] (val) algo lcs_length step 500: {'b': 0.893310546875, 'score': 0.893310546875, 'examples_seen': 59512, 'step': 500, 'algorithm': 'lcs_length'}
I0716 21:22:24.970441 137202607490560 run.py:722] (val) algo lcs_length step 550: {'b': 0.902587890625, 'score': 0.902587890625, 'examples_seen': 65364, 'step': 550, 'algorithm': 'lcs_length'}
I0716 21:22:28.172295 137202607490560 run.py:722] (val) algo lcs_length step 600: {'b': 0.8974609375, 'score': 0.8974609375, 'examples_seen': 71216, 'step': 600, 'algorithm': 'lcs_length'}
I0716 21:22:31.354208 137202607490560 run.py:722] (val) algo lcs_length step 650: {'b': 0.89697265625, 'score': 0.89697265625, 'examples_seen': 77288, 'step': 650, 'algorithm': 'lcs_length'}
I0716 21:22:34.589611 137202607490560 run.py:722] (val) algo lcs_length step 700: {'b': 0.870849609375, 'score': 0.870849609375, 'examples_seen': 83340, 'step': 700, 'algorithm': 'lcs_length'}
I0716 21:22:37.757295 137202607490560 run.py:722] (val) algo lcs_length step 750: {'b': 0.865966796875, 'score': 0.865966796875, 'examples_seen': 89291, 'step': 750, 'algorithm': 'lcs_length'}
I0716 21:22:40.953896 137202607490560 run.py:722] (val) algo lcs_length step 800: {'b': 0.906982421875, 'score': 0.906982421875, 'examples_seen': 95180, 'step': 800, 'algorithm': 'lcs_length'}
I0716 21:22:44.083949 137202607490560 run.py:722] (val) algo lcs_length step 850: {'b': 0.885986328125, 'score': 0.885986328125, 'examples_seen': 101060, 'step': 850, 'algorithm': 'lcs_length'}
I0716 21:22:47.229034 137202607490560 run.py:722] (val) algo lcs_length step 900: {'b': 0.922119140625, 'score': 0.922119140625, 'examples_seen': 106912, 'step': 900, 'algorithm': 'lcs_length'}
I0716 21:22:50.442286 137202607490560 run.py:722] (val) algo lcs_length step 950: {'b': 0.927490234375, 'score': 0.927490234375, 'examples_seen': 112772, 'step': 950, 'algorithm': 'lcs_length'}
I0716 21:22:53.607936 137202607490560 run.py:722] (val) algo lcs_length step 1000: {'b': 0.90380859375, 'score': 0.90380859375, 'examples_seen': 118833, 'step': 1000, 'algorithm': 'lcs_length'}
I0716 21:22:56.791383 137202607490560 run.py:722] (val) algo lcs_length step 1050: {'b': 0.9111328125, 'score': 0.9111328125, 'examples_seen': 124894, 'step': 1050, 'algorithm': 'lcs_length'}
I0716 21:22:59.926126 137202607490560 run.py:722] (val) algo lcs_length step 1100: {'b': 0.92236328125, 'score': 0.92236328125, 'examples_seen': 130841, 'step': 1100, 'algorithm': 'lcs_length'}
I0716 21:23:03.134247 137202607490560 run.py:722] (val) algo lcs_length step 1150: {'b': 0.933349609375, 'score': 0.933349609375, 'examples_seen': 136753, 'step': 1150, 'algorithm': 'lcs_length'}
