{'root': 0.5055147058823529, 'score': 0.5055147058823529, 'examples_seen': 64, 'step': 0, 'algorithm': 'optimal_bst'}
{'root': 0.6066176470588235, 'score': 0.6066176470588235, 'examples_seen': 2080, 'step': 50, 'algorithm': 'optimal_bst'}
{'root': 0.6773356401384083, 'score': 0.6773356401384083, 'examples_seen': 4064, 'step': 100, 'algorithm': 'optimal_bst'}
{'root': 0.7880082179930796, 'score': 0.7880082179930796, 'examples_seen': 6016, 'step': 150, 'algorithm': 'optimal_bst'}
{'root': 0.7787089100346021, 'score': 0.7787089100346021, 'examples_seen': 8016, 'step': 200, 'algorithm': 'optimal_bst'}
{'root': 0.7827638408304498, 'score': 0.7827638408304498, 'examples_seen': 9952, 'step': 250, 'algorithm': 'optimal_bst'}
{'root': 0.7648140138408305, 'score': 0.7648140138408305, 'examples_seen': 12000, 'step': 300, 'algorithm': 'optimal_bst'}
{'root': 0.8754865916955017, 'score': 0.8754865916955017, 'examples_seen': 14032, 'step': 350, 'algorithm': 'optimal_bst'}
{'root': 0.8841911764705882, 'score': 0.8841911764705882, 'examples_seen': 16000, 'step': 400, 'algorithm': 'optimal_bst'}
{'root': 0.8872188581314879, 'score': 0.8872188581314879, 'examples_seen': 18000, 'step': 450, 'algorithm': 'optimal_bst'}
{'root': 0.9039251730103807, 'score': 0.9039251730103807, 'examples_seen': 19952, 'step': 500, 'algorithm': 'optimal_bst'}
{'root': 0.8878135813148789, 'score': 0.8878135813148789, 'examples_seen': 21920, 'step': 550, 'algorithm': 'optimal_bst'}
{'root': 0.9052768166089965, 'score': 0.9052768166089965, 'examples_seen': 23904, 'step': 600, 'algorithm': 'optimal_bst'}
{'root': 0.8726751730103807, 'score': 0.8726751730103807, 'examples_seen': 25920, 'step': 650, 'algorithm': 'optimal_bst'}
{'root': 0.8713235294117647, 'score': 0.8713235294117647, 'examples_seen': 27952, 'step': 700, 'algorithm': 'optimal_bst'}
{'root': 0.9021410034602076, 'score': 0.9021410034602076, 'examples_seen': 29936, 'step': 750, 'algorithm': 'optimal_bst'}
{'root': 0.929768598615917, 'score': 0.929768598615917, 'examples_seen': 31920, 'step': 800, 'algorithm': 'optimal_bst'}
{'root': 0.8921929065743944, 'score': 0.8921929065743944, 'examples_seen': 33904, 'step': 850, 'algorithm': 'optimal_bst'}
{'root': 0.920685553633218, 'score': 0.920685553633218, 'examples_seen': 35856, 'step': 900, 'algorithm': 'optimal_bst'}
{'root': 0.9297145328719724, 'score': 0.9297145328719724, 'examples_seen': 37808, 'step': 950, 'algorithm': 'optimal_bst'}
{'root': 0.8847318339100346, 'score': 0.8847318339100346, 'examples_seen': 39872, 'step': 1000, 'algorithm': 'optimal_bst'}
{'root': 0.9154411764705882, 'score': 0.9154411764705882, 'examples_seen': 41872, 'step': 1050, 'algorithm': 'optimal_bst'}
{'root': 0.889273356401384, 'score': 0.889273356401384, 'examples_seen': 43872, 'step': 1100, 'algorithm': 'optimal_bst'}
{'root': 0.8650519031141869, 'score': 0.8650519031141869, 'examples_seen': 45856, 'step': 1150, 'algorithm': 'optimal_bst'}
{'root': 0.9255514705882353, 'score': 0.9255514705882353, 'examples_seen': 47808, 'step': 1200, 'algorithm': 'optimal_bst'}
{'root': 0.9157115051903114, 'score': 0.9157115051903114, 'examples_seen': 49808, 'step': 1250, 'algorithm': 'optimal_bst'}
{'root': 0.9297145328719724, 'score': 0.9297145328719724, 'examples_seen': 51760, 'step': 1300, 'algorithm': 'optimal_bst'}
{'root': 0.9322556228373703, 'score': 0.9322556228373703, 'examples_seen': 53792, 'step': 1350, 'algorithm': 'optimal_bst'}
{'root': 0.9045739619377162, 'score': 0.9045739619377162, 'examples_seen': 55824, 'step': 1400, 'algorithm': 'optimal_bst'}
{'root': 0.933336937716263, 'score': 0.933336937716263, 'examples_seen': 57792, 'step': 1450, 'algorithm': 'optimal_bst'}
{'root': 0.9023572664359861, 'score': 0.9023572664359861, 'examples_seen': 59792, 'step': 1500, 'algorithm': 'optimal_bst'}
{'root': 0.9313365051903114, 'score': 0.9313365051903114, 'examples_seen': 61744, 'step': 1550, 'algorithm': 'optimal_bst'}
{'root': 0.9374459342560554, 'score': 0.9374459342560554, 'examples_seen': 63712, 'step': 1600, 'algorithm': 'optimal_bst'}
{'root': 0.9416089965397924, 'score': 0.9416089965397924, 'examples_seen': 65712, 'step': 1650, 'algorithm': 'optimal_bst'}
{'root': 0.9359320934256056, 'score': 0.9359320934256056, 'examples_seen': 67712, 'step': 1700, 'algorithm': 'optimal_bst'}
{'root': 0.9160358996539792, 'score': 0.9160358996539792, 'examples_seen': 69744, 'step': 1750, 'algorithm': 'optimal_bst'}
{'root': 0.9154411764705882, 'score': 0.9154411764705882, 'examples_seen': 71728, 'step': 1800, 'algorithm': 'optimal_bst'}
{'root': 0.9083585640138409, 'score': 0.9083585640138409, 'examples_seen': 73712, 'step': 1850, 'algorithm': 'optimal_bst'}
