I0716 20:16:40.009438 128459458754048 run.py:722] (val) algo graham_scan step 0: {'in_hull': 0.43545279383429675, 'score': 0.43545279383429675, 'examples_seen': 48, 'step': 0, 'algorithm': 'graham_scan'}
I0716 20:18:14.380847 128459458754048 run.py:722] (val) algo graham_scan step 50: {'in_hull': 0.7360406091370559, 'score': 0.7360406091370559, 'examples_seen': 1549, 'step': 50, 'algorithm': 'graham_scan'}
I0716 20:18:15.618788 128459458754048 run.py:722] (val) algo graham_scan step 100: {'in_hull': 0.7733333333333332, 'score': 0.7733333333333332, 'examples_seen': 3035, 'step': 100, 'algorithm': 'graham_scan'}
I0716 20:18:16.858654 128459458754048 run.py:722] (val) algo graham_scan step 150: {'in_hull': 0.8589473684210527, 'score': 0.8589473684210527, 'examples_seen': 4498, 'step': 150, 'algorithm': 'graham_scan'}
I0716 20:18:18.097992 128459458754048 run.py:722] (val) algo graham_scan step 200: {'in_hull': 0.8612021857923498, 'score': 0.8612021857923498, 'examples_seen': 5976, 'step': 200, 'algorithm': 'graham_scan'}
I0716 20:18:19.367069 128459458754048 run.py:722] (val) algo graham_scan step 250: {'in_hull': 0.8840262582056894, 'score': 0.8840262582056894, 'examples_seen': 7443, 'step': 250, 'algorithm': 'graham_scan'}
I0716 20:18:20.644729 128459458754048 run.py:722] (val) algo graham_scan step 300: {'in_hull': 0.9126819126819127, 'score': 0.9126819126819127, 'examples_seen': 8960, 'step': 300, 'algorithm': 'graham_scan'}
I0716 20:18:21.874469 128459458754048 run.py:722] (val) algo graham_scan step 350: {'in_hull': 0.9023255813953488, 'score': 0.9023255813953488, 'examples_seen': 10476, 'step': 350, 'algorithm': 'graham_scan'}
I0716 20:18:23.073864 128459458754048 run.py:722] (val) algo graham_scan step 400: {'in_hull': 0.9279475982532751, 'score': 0.9279475982532751, 'examples_seen': 11956, 'step': 400, 'algorithm': 'graham_scan'}
I0716 20:18:24.297602 128459458754048 run.py:722] (val) algo graham_scan step 450: {'in_hull': 0.9386056191467221, 'score': 0.9386056191467221, 'examples_seen': 13446, 'step': 450, 'algorithm': 'graham_scan'}
I0716 20:18:25.528365 128459458754048 run.py:722] (val) algo graham_scan step 500: {'in_hull': 0.9220917822838848, 'score': 0.9220917822838848, 'examples_seen': 14906, 'step': 500, 'algorithm': 'graham_scan'}
I0716 20:18:26.755113 128459458754048 run.py:722] (val) algo graham_scan step 550: {'in_hull': 0.9211045364891519, 'score': 0.9211045364891519, 'examples_seen': 16387, 'step': 550, 'algorithm': 'graham_scan'}
I0716 20:18:28.006253 128459458754048 run.py:722] (val) algo graham_scan step 600: {'in_hull': 0.9479392624728851, 'score': 0.9479392624728851, 'examples_seen': 17849, 'step': 600, 'algorithm': 'graham_scan'}
I0716 20:18:29.243341 128459458754048 run.py:722] (val) algo graham_scan step 650: {'in_hull': 0.9439153439153439, 'score': 0.9439153439153439, 'examples_seen': 19364, 'step': 650, 'algorithm': 'graham_scan'}
I0716 20:18:30.451561 128459458754048 run.py:722] (val) algo graham_scan step 700: {'in_hull': 0.9224318658280923, 'score': 0.9224318658280923, 'examples_seen': 20869, 'step': 700, 'algorithm': 'graham_scan'}
I0716 20:18:31.665614 128459458754048 run.py:722] (val) algo graham_scan step 750: {'in_hull': 0.9221183800623053, 'score': 0.9221183800623053, 'examples_seen': 22357, 'step': 750, 'algorithm': 'graham_scan'}
I0716 20:18:32.879497 128459458754048 run.py:722] (val) algo graham_scan step 800: {'in_hull': 0.9329004329004328, 'score': 0.9329004329004328, 'examples_seen': 23848, 'step': 800, 'algorithm': 'graham_scan'}
I0716 20:18:34.077986 128459458754048 run.py:722] (val) algo graham_scan step 850: {'in_hull': 0.9363920750782065, 'score': 0.9363920750782065, 'examples_seen': 25315, 'step': 850, 'algorithm': 'graham_scan'}
I0716 20:18:35.294039 128459458754048 run.py:722] (val) algo graham_scan step 900: {'in_hull': 0.9411764705882353, 'score': 0.9411764705882353, 'examples_seen': 26795, 'step': 900, 'algorithm': 'graham_scan'}
I0716 20:18:36.537791 128459458754048 run.py:722] (val) algo graham_scan step 950: {'in_hull': 0.9412955465587045, 'score': 0.9412955465587045, 'examples_seen': 28253, 'step': 950, 'algorithm': 'graham_scan'}
I0716 20:18:37.777748 128459458754048 run.py:722] (val) algo graham_scan step 1000: {'in_hull': 0.9520697167755992, 'score': 0.9520697167755992, 'examples_seen': 29767, 'step': 1000, 'algorithm': 'graham_scan'}
I0716 20:18:39.029112 128459458754048 run.py:722] (val) algo graham_scan step 1050: {'in_hull': 0.928721174004193, 'score': 0.928721174004193, 'examples_seen': 31278, 'step': 1050, 'algorithm': 'graham_scan'}
I0716 20:18:40.245676 128459458754048 run.py:722] (val) algo graham_scan step 1100: {'in_hull': 0.9427609427609428, 'score': 0.9427609427609428, 'examples_seen': 32763, 'step': 1100, 'algorithm': 'graham_scan'}
I0716 20:18:41.461932 128459458754048 run.py:722] (val) algo graham_scan step 1150: {'in_hull': 0.9556962025316456, 'score': 0.9556962025316456, 'examples_seen': 34257, 'step': 1150, 'algorithm': 'graham_scan'}
I0716 20:18:42.698332 128459458754048 run.py:722] (val) algo graham_scan step 1200: {'in_hull': 0.9285714285714285, 'score': 0.9285714285714285, 'examples_seen': 35720, 'step': 1200, 'algorithm': 'graham_scan'}
I0716 20:18:43.918749 128459458754048 run.py:722] (val) algo graham_scan step 1250: {'in_hull': 0.9592850049652433, 'score': 0.9592850049652433, 'examples_seen': 37198, 'step': 1250, 'algorithm': 'graham_scan'}
I0716 20:18:45.205287 128459458754048 run.py:722] (val) algo graham_scan step 1300: {'in_hull': 0.935323383084577, 'score': 0.935323383084577, 'examples_seen': 38661, 'step': 1300, 'algorithm': 'graham_scan'}
I0716 20:18:46.455824 128459458754048 run.py:722] (val) algo graham_scan step 1350: {'in_hull': 0.9446808510638297, 'score': 0.9446808510638297, 'examples_seen': 40169, 'step': 1350, 'algorithm': 'graham_scan'}
I0716 20:18:47.690639 128459458754048 run.py:722] (val) algo graham_scan step 1400: {'in_hull': 0.9400000000000001, 'score': 0.9400000000000001, 'examples_seen': 41685, 'step': 1400, 'algorithm': 'graham_scan'}
I0716 20:18:48.907566 128459458754048 run.py:722] (val) algo graham_scan step 1450: {'in_hull': 0.9544008483563096, 'score': 0.9544008483563096, 'examples_seen': 43173, 'step': 1450, 'algorithm': 'graham_scan'}
I0716 20:18:50.127870 128459458754048 run.py:722] (val) algo graham_scan step 1500: {'in_hull': 0.9543568464730291, 'score': 0.9543568464730291, 'examples_seen': 44660, 'step': 1500, 'algorithm': 'graham_scan'}
