I0716 18:19:15.383601 124088241030656 run.py:722] (val) algo activity_selector step 0: {'selected': 0.18060200668896323, 'score': 0.18060200668896323, 'examples_seen': 64, 'step': 0, 'algorithm': 'activity_selector'}
I0716 18:20:22.039808 124088241030656 run.py:722] (val) algo activity_selector step 50: {'selected': 0.7269303201506592, 'score': 0.7269303201506592, 'examples_seen': 2080, 'step': 50, 'algorithm': 'activity_selector'}
I0716 18:20:23.075610 124088241030656 run.py:722] (val) algo activity_selector step 100: {'selected': 0.5938144329896906, 'score': 0.5938144329896906, 'examples_seen': 4064, 'step': 100, 'algorithm': 'activity_selector'}
I0716 18:20:24.090921 124088241030656 run.py:722] (val) algo activity_selector step 150: {'selected': 0.6666666666666666, 'score': 0.6666666666666666, 'examples_seen': 6016, 'step': 150, 'algorithm': 'activity_selector'}
I0716 18:20:25.124093 124088241030656 run.py:722] (val) algo activity_selector step 200: {'selected': 0.7282415630550622, 'score': 0.7282415630550622, 'examples_seen': 8016, 'step': 200, 'algorithm': 'activity_selector'}
I0716 18:20:26.162445 124088241030656 run.py:722] (val) algo activity_selector step 250: {'selected': 0.625615763546798, 'score': 0.625615763546798, 'examples_seen': 9952, 'step': 250, 'algorithm': 'activity_selector'}
I0716 18:20:27.194408 124088241030656 run.py:722] (val) algo activity_selector step 300: {'selected': 0.7179487179487181, 'score': 0.7179487179487181, 'examples_seen': 12000, 'step': 300, 'algorithm': 'activity_selector'}
I0716 18:20:28.206792 124088241030656 run.py:722] (val) algo activity_selector step 350: {'selected': 0.6339285714285714, 'score': 0.6339285714285714, 'examples_seen': 14032, 'step': 350, 'algorithm': 'activity_selector'}
I0716 18:20:29.235802 124088241030656 run.py:722] (val) algo activity_selector step 400: {'selected': 0.738362760834671, 'score': 0.738362760834671, 'examples_seen': 16000, 'step': 400, 'algorithm': 'activity_selector'}
I0716 18:20:30.277336 124088241030656 run.py:722] (val) algo activity_selector step 450: {'selected': 0.8122743682310469, 'score': 0.8122743682310469, 'examples_seen': 18000, 'step': 450, 'algorithm': 'activity_selector'}
I0716 18:20:31.318236 124088241030656 run.py:722] (val) algo activity_selector step 500: {'selected': 0.792763157894737, 'score': 0.792763157894737, 'examples_seen': 19952, 'step': 500, 'algorithm': 'activity_selector'}
I0716 18:20:32.351616 124088241030656 run.py:722] (val) algo activity_selector step 550: {'selected': 0.771875, 'score': 0.771875, 'examples_seen': 21920, 'step': 550, 'algorithm': 'activity_selector'}
I0716 18:20:33.365471 124088241030656 run.py:722] (val) algo activity_selector step 600: {'selected': 0.7811934900542494, 'score': 0.7811934900542494, 'examples_seen': 23904, 'step': 600, 'algorithm': 'activity_selector'}
I0716 18:20:34.406377 124088241030656 run.py:722] (val) algo activity_selector step 650: {'selected': 0.8407871198568874, 'score': 0.8407871198568874, 'examples_seen': 25920, 'step': 650, 'algorithm': 'activity_selector'}
I0716 18:20:35.461118 124088241030656 run.py:722] (val) algo activity_selector step 700: {'selected': 0.8386023294509151, 'score': 0.8386023294509151, 'examples_seen': 27952, 'step': 700, 'algorithm': 'activity_selector'}
I0716 18:20:36.473751 124088241030656 run.py:722] (val) algo activity_selector step 750: {'selected': 0.8132231404958677, 'score': 0.8132231404958677, 'examples_seen': 29936, 'step': 750, 'algorithm': 'activity_selector'}
I0716 18:20:37.502281 124088241030656 run.py:722] (val) algo activity_selector step 800: {'selected': 0.8443649373881933, 'score': 0.8443649373881933, 'examples_seen': 31920, 'step': 800, 'algorithm': 'activity_selector'}
I0716 18:20:38.525557 124088241030656 run.py:722] (val) algo activity_selector step 850: {'selected': 0.8604651162790697, 'score': 0.8604651162790697, 'examples_seen': 33904, 'step': 850, 'algorithm': 'activity_selector'}
I0716 18:20:39.575223 124088241030656 run.py:722] (val) algo activity_selector step 900: {'selected': 0.8695652173913043, 'score': 0.8695652173913043, 'examples_seen': 35856, 'step': 900, 'algorithm': 'activity_selector'}
I0716 18:20:40.614553 124088241030656 run.py:722] (val) algo activity_selector step 950: {'selected': 0.8909774436090225, 'score': 0.8909774436090225, 'examples_seen': 37808, 'step': 950, 'algorithm': 'activity_selector'}
I0716 18:20:41.665487 124088241030656 run.py:722] (val) algo activity_selector step 1000: {'selected': 0.898876404494382, 'score': 0.898876404494382, 'examples_seen': 39872, 'step': 1000, 'algorithm': 'activity_selector'}
I0716 18:20:42.722570 124088241030656 run.py:722] (val) algo activity_selector step 1050: {'selected': 0.926829268292683, 'score': 0.926829268292683, 'examples_seen': 41872, 'step': 1050, 'algorithm': 'activity_selector'}
I0716 18:20:43.757625 124088241030656 run.py:722] (val) algo activity_selector step 1100: {'selected': 0.8914285714285713, 'score': 0.8914285714285713, 'examples_seen': 43872, 'step': 1100, 'algorithm': 'activity_selector'}
I0716 18:20:44.790212 124088241030656 run.py:722] (val) algo activity_selector step 1150: {'selected': 0.8512820512820513, 'score': 0.8512820512820513, 'examples_seen': 45856, 'step': 1150, 'algorithm': 'activity_selector'}
I0716 18:20:45.822122 124088241030656 run.py:722] (val) algo activity_selector step 1200: {'selected': 0.9050279329608939, 'score': 0.9050279329608939, 'examples_seen': 47808, 'step': 1200, 'algorithm': 'activity_selector'}
I0716 18:20:46.847064 124088241030656 run.py:722] (val) algo activity_selector step 1250: {'selected': 0.865064695009242, 'score': 0.865064695009242, 'examples_seen': 49808, 'step': 1250, 'algorithm': 'activity_selector'}
I0716 18:20:47.889791 124088241030656 run.py:722] (val) algo activity_selector step 1300: {'selected': 0.8992248062015505, 'score': 0.8992248062015505, 'examples_seen': 51760, 'step': 1300, 'algorithm': 'activity_selector'}
I0716 18:20:48.931650 124088241030656 run.py:722] (val) algo activity_selector step 1350: {'selected': 0.9119373776908023, 'score': 0.9119373776908023, 'examples_seen': 53792, 'step': 1350, 'algorithm': 'activity_selector'}
I0716 18:20:49.961427 124088241030656 run.py:722] (val) algo activity_selector step 1400: {'selected': 0.942271880819367, 'score': 0.942271880819367, 'examples_seen': 55824, 'step': 1400, 'algorithm': 'activity_selector'}
I0716 18:20:51.009683 124088241030656 run.py:722] (val) algo activity_selector step 1450: {'selected': 0.9477756286266924, 'score': 0.9477756286266924, 'examples_seen': 57792, 'step': 1450, 'algorithm': 'activity_selector'}
I0716 18:20:52.050009 124088241030656 run.py:722] (val) algo activity_selector step 1500: {'selected': 0.9041591320072333, 'score': 0.9041591320072333, 'examples_seen': 59792, 'step': 1500, 'algorithm': 'activity_selector'}
I0716 18:20:53.073686 124088241030656 run.py:722] (val) algo activity_selector step 1550: {'selected': 0.9233870967741935, 'score': 0.9233870967741935, 'examples_seen': 61744, 'step': 1550, 'algorithm': 'activity_selector'}
I0716 18:20:54.106745 124088241030656 run.py:722] (val) algo activity_selector step 1600: {'selected': 0.9130434782608695, 'score': 0.9130434782608695, 'examples_seen': 63712, 'step': 1600, 'algorithm': 'activity_selector'}
I0716 18:20:55.135322 124088241030656 run.py:722] (val) algo activity_selector step 1650: {'selected': 0.9273743016759777, 'score': 0.9273743016759777, 'examples_seen': 65712, 'step': 1650, 'algorithm': 'activity_selector'}
I0716 18:20:56.212468 124088241030656 run.py:722] (val) algo activity_selector step 1700: {'selected': 0.9132075471698113, 'score': 0.9132075471698113, 'examples_seen': 67712, 'step': 1700, 'algorithm': 'activity_selector'}
I0716 18:20:57.234452 124088241030656 run.py:722] (val) algo activity_selector step 1750: {'selected': 0.9664179104477612, 'score': 0.9664179104477612, 'examples_seen': 69744, 'step': 1750, 'algorithm': 'activity_selector'}
I0716 18:20:58.255758 124088241030656 run.py:722] (val) algo activity_selector step 1800: {'selected': 0.906764168190128, 'score': 0.906764168190128, 'examples_seen': 71728, 'step': 1800, 'algorithm': 'activity_selector'}
I0716 18:20:59.272656 124088241030656 run.py:722] (val) algo activity_selector step 1850: {'selected': 0.9325396825396824, 'score': 0.9325396825396824, 'examples_seen': 73712, 'step': 1850, 'algorithm': 'activity_selector'}
I0716 18:21:00.267843 124088241030656 run.py:722] (val) algo activity_selector step 1900: {'selected': 0.940952380952381, 'score': 0.940952380952381, 'examples_seen': 75712, 'step': 1900, 'algorithm': 'activity_selector'}
I0716 18:21:01.330201 124088241030656 run.py:722] (val) algo activity_selector step 1950: {'selected': 0.9320754716981132, 'score': 0.9320754716981132, 'examples_seen': 77664, 'step': 1950, 'algorithm': 'activity_selector'}
I0716 18:21:02.371366 124088241030656 run.py:722] (val) algo activity_selector step 2000: {'selected': 0.8991596638655462, 'score': 0.8991596638655462, 'examples_seen': 79632, 'step': 2000, 'algorithm': 'activity_selector'}
I0716 18:21:03.408524 124088241030656 run.py:722] (val) algo activity_selector step 2050: {'selected': 0.9271028037383177, 'score': 0.9271028037383177, 'examples_seen': 81680, 'step': 2050, 'algorithm': 'activity_selector'}
I0716 18:21:04.454640 124088241030656 run.py:722] (val) algo activity_selector step 2100: {'selected': 0.9322709163346614, 'score': 0.9322709163346614, 'examples_seen': 83680, 'step': 2100, 'algorithm': 'activity_selector'}
I0716 18:21:05.476124 124088241030656 run.py:722] (val) algo activity_selector step 2150: {'selected': 0.8628158844765342, 'score': 0.8628158844765342, 'examples_seen': 85680, 'step': 2150, 'algorithm': 'activity_selector'}
I0716 18:21:06.530758 124088241030656 run.py:722] (val) algo activity_selector step 2200: {'selected': 0.9565217391304347, 'score': 0.9565217391304347, 'examples_seen': 87664, 'step': 2200, 'algorithm': 'activity_selector'}
I0716 18:21:07.569366 124088241030656 run.py:722] (val) algo activity_selector step 2250: {'selected': 0.9194499017681729, 'score': 0.9194499017681729, 'examples_seen': 89632, 'step': 2250, 'algorithm': 'activity_selector'}
I0716 18:21:08.594054 124088241030656 run.py:722] (val) algo activity_selector step 2300: {'selected': 0.9495327102803739, 'score': 0.9495327102803739, 'examples_seen': 91616, 'step': 2300, 'algorithm': 'activity_selector'}
I0716 18:21:09.635954 124088241030656 run.py:722] (val) algo activity_selector step 2350: {'selected': 0.9271758436944938, 'score': 0.9271758436944938, 'examples_seen': 93568, 'step': 2350, 'algorithm': 'activity_selector'}
I0716 18:21:10.678116 124088241030656 run.py:722] (val) algo activity_selector step 2400: {'selected': 0.9508840864440079, 'score': 0.9508840864440079, 'examples_seen': 95600, 'step': 2400, 'algorithm': 'activity_selector'}
I0716 18:21:11.744796 124088241030656 run.py:722] (val) algo activity_selector step 2450: {'selected': 0.9402061855670103, 'score': 0.9402061855670103, 'examples_seen': 97632, 'step': 2450, 'algorithm': 'activity_selector'}
I0716 18:21:12.776196 124088241030656 run.py:722] (val) algo activity_selector step 2500: {'selected': 0.9539078156312626, 'score': 0.9539078156312626, 'examples_seen': 99600, 'step': 2500, 'algorithm': 'activity_selector'}
I0716 18:21:13.805677 124088241030656 run.py:722] (val) algo activity_selector step 2550: {'selected': 0.944337811900192, 'score': 0.944337811900192, 'examples_seen': 101600, 'step': 2550, 'algorithm': 'activity_selector'}
I0716 18:21:14.845304 124088241030656 run.py:722] (val) algo activity_selector step 2600: {'selected': 0.9575289575289575, 'score': 0.9575289575289575, 'examples_seen': 103568, 'step': 2600, 'algorithm': 'activity_selector'}
I0716 18:21:15.865463 124088241030656 run.py:722] (val) algo activity_selector step 2650: {'selected': 0.9618874773139745, 'score': 0.9618874773139745, 'examples_seen': 105520, 'step': 2650, 'algorithm': 'activity_selector'}
I0716 18:21:16.925540 124088241030656 run.py:722] (val) algo activity_selector step 2700: {'selected': 0.8937007874015748, 'score': 0.8937007874015748, 'examples_seen': 107520, 'step': 2700, 'algorithm': 'activity_selector'}
I0716 18:21:17.953397 124088241030656 run.py:722] (val) algo activity_selector step 2750: {'selected': 0.9748549323017409, 'score': 0.9748549323017409, 'examples_seen': 109520, 'step': 2750, 'algorithm': 'activity_selector'}
I0716 18:21:18.994380 124088241030656 run.py:722] (val) algo activity_selector step 2800: {'selected': 0.9584905660377359, 'score': 0.9584905660377359, 'examples_seen': 111552, 'step': 2800, 'algorithm': 'activity_selector'}
I0716 18:21:20.007236 124088241030656 run.py:722] (val) algo activity_selector step 2850: {'selected': 0.9453860640301318, 'score': 0.9453860640301318, 'examples_seen': 113552, 'step': 2850, 'algorithm': 'activity_selector'}
I0716 18:21:21.030577 124088241030656 run.py:722] (val) algo activity_selector step 2900: {'selected': 0.9061371841155236, 'score': 0.9061371841155236, 'examples_seen': 115520, 'step': 2900, 'algorithm': 'activity_selector'}
I0716 18:21:22.057875 124088241030656 run.py:722] (val) algo activity_selector step 2950: {'selected': 0.9254901960784314, 'score': 0.9254901960784314, 'examples_seen': 117520, 'step': 2950, 'algorithm': 'activity_selector'}
I0716 18:21:23.077686 124088241030656 run.py:722] (val) algo activity_selector step 3000: {'selected': 0.8796992481203009, 'score': 0.8796992481203009, 'examples_seen': 119456, 'step': 3000, 'algorithm': 'activity_selector'}
I0716 18:21:24.106067 124088241030656 run.py:722] (val) algo activity_selector step 3050: {'selected': 0.9541984732824428, 'score': 0.9541984732824428, 'examples_seen': 121424, 'step': 3050, 'algorithm': 'activity_selector'}
I0716 18:21:25.122741 124088241030656 run.py:722] (val) algo activity_selector step 3100: {'selected': 0.9343629343629344, 'score': 0.9343629343629344, 'examples_seen': 123472, 'step': 3100, 'algorithm': 'activity_selector'}
I0716 18:21:26.157405 124088241030656 run.py:722] (val) algo activity_selector step 3150: {'selected': 0.9576923076923076, 'score': 0.9576923076923076, 'examples_seen': 125472, 'step': 3150, 'algorithm': 'activity_selector'}
I0716 18:21:27.190839 124088241030656 run.py:722] (val) algo activity_selector step 3200: {'selected': 0.9511278195488722, 'score': 0.9511278195488722, 'examples_seen': 127488, 'step': 3200, 'algorithm': 'activity_selector'}
I0716 18:21:28.214805 124088241030656 run.py:722] (val) algo activity_selector step 3250: {'selected': 0.8950276243093923, 'score': 0.8950276243093923, 'examples_seen': 129456, 'step': 3250, 'algorithm': 'activity_selector'}
I0716 18:21:29.247113 124088241030656 run.py:722] (val) algo activity_selector step 3300: {'selected': 0.946360153256705, 'score': 0.946360153256705, 'examples_seen': 131424, 'step': 3300, 'algorithm': 'activity_selector'}
I0716 18:21:30.249080 124088241030656 run.py:722] (val) algo activity_selector step 3350: {'selected': 0.9411764705882354, 'score': 0.9411764705882354, 'examples_seen': 133408, 'step': 3350, 'algorithm': 'activity_selector'}
I0716 18:21:31.292985 124088241030656 run.py:722] (val) algo activity_selector step 3400: {'selected': 0.9516441005802708, 'score': 0.9516441005802708, 'examples_seen': 135360, 'step': 3400, 'algorithm': 'activity_selector'}
I0716 18:21:32.329786 124088241030656 run.py:722] (val) algo activity_selector step 3450: {'selected': 0.968342644320298, 'score': 0.968342644320298, 'examples_seen': 137392, 'step': 3450, 'algorithm': 'activity_selector'}
