I0716 20:24:09.673210 140086191965696 run.py:722] (val) algo heapsort step 0: {'pred': 0.072265625, 'score': 0.072265625, 'examples_seen': 16, 'step': 0, 'algorithm': 'heapsort'}
I0716 20:26:03.048339 140086191965696 run.py:722] (val) algo heapsort step 50: {'pred': 0.3193359375, 'score': 0.3193359375, 'examples_seen': 784, 'step': 50, 'algorithm': 'heapsort'}
I0716 20:26:06.434278 140086191965696 run.py:722] (val) algo heapsort step 100: {'pred': 0.1767578125, 'score': 0.1767578125, 'examples_seen': 1548, 'step': 100, 'algorithm': 'heapsort'}
I0716 20:26:09.789108 140086191965696 run.py:722] (val) algo heapsort step 150: {'pred': 0.1982421875, 'score': 0.1982421875, 'examples_seen': 2335, 'step': 150, 'algorithm': 'heapsort'}
I0716 20:26:13.082860 140086191965696 run.py:722] (val) algo heapsort step 200: {'pred': 0.181640625, 'score': 0.181640625, 'examples_seen': 3091, 'step': 200, 'algorithm': 'heapsort'}
I0716 20:26:16.465672 140086191965696 run.py:722] (val) algo heapsort step 250: {'pred': 0.1669921875, 'score': 0.1669921875, 'examples_seen': 3867, 'step': 250, 'algorithm': 'heapsort'}
I0716 20:26:19.813667 140086191965696 run.py:722] (val) algo heapsort step 300: {'pred': 0.2255859375, 'score': 0.2255859375, 'examples_seen': 4661, 'step': 300, 'algorithm': 'heapsort'}
I0716 20:26:23.129757 140086191965696 run.py:722] (val) algo heapsort step 350: {'pred': 0.3046875, 'score': 0.3046875, 'examples_seen': 5440, 'step': 350, 'algorithm': 'heapsort'}
I0716 20:26:26.454747 140086191965696 run.py:722] (val) algo heapsort step 400: {'pred': 0.2138671875, 'score': 0.2138671875, 'examples_seen': 6224, 'step': 400, 'algorithm': 'heapsort'}
I0716 20:26:29.817404 140086191965696 run.py:722] (val) algo heapsort step 450: {'pred': 0.2890625, 'score': 0.2890625, 'examples_seen': 6995, 'step': 450, 'algorithm': 'heapsort'}
I0716 20:26:33.126858 140086191965696 run.py:722] (val) algo heapsort step 500: {'pred': 0.2080078125, 'score': 0.2080078125, 'examples_seen': 7754, 'step': 500, 'algorithm': 'heapsort'}
