I0716 18:34:18.267283 130711122957824 run.py:722] (val) algo bellman_ford step 0: {'pi': 0.5986328125, 'score': 0.5986328125, 'examples_seen': 159, 'step': 0, 'algorithm': 'bellman_ford'}
I0716 18:35:54.055815 130711122957824 run.py:722] (val) algo bellman_ford step 50: {'pi': 0.7734375, 'score': 0.7734375, 'examples_seen': 5709, 'step': 50, 'algorithm': 'bellman_ford'}
I0716 18:35:57.074565 130711122957824 run.py:722] (val) algo bellman_ford step 100: {'pi': 0.8544921875, 'score': 0.8544921875, 'examples_seen': 11237, 'step': 100, 'algorithm': 'bellman_ford'}
I0716 18:36:00.139381 130711122957824 run.py:722] (val) algo bellman_ford step 150: {'pi': 0.8505859375, 'score': 0.8505859375, 'examples_seen': 16757, 'step': 150, 'algorithm': 'bellman_ford'}
I0716 18:36:03.082971 130711122957824 run.py:722] (val) algo bellman_ford step 200: {'pi': 0.8427734375, 'score': 0.8427734375, 'examples_seen': 22307, 'step': 200, 'algorithm': 'bellman_ford'}
I0716 18:36:06.040952 130711122957824 run.py:722] (val) algo bellman_ford step 250: {'pi': 0.84375, 'score': 0.84375, 'examples_seen': 27783, 'step': 250, 'algorithm': 'bellman_ford'}
I0716 18:36:08.944204 130711122957824 run.py:722] (val) algo bellman_ford step 300: {'pi': 0.8818359375, 'score': 0.8818359375, 'examples_seen': 33428, 'step': 300, 'algorithm': 'bellman_ford'}
I0716 18:36:11.946929 130711122957824 run.py:722] (val) algo bellman_ford step 350: {'pi': 0.890625, 'score': 0.890625, 'examples_seen': 39018, 'step': 350, 'algorithm': 'bellman_ford'}
I0716 18:36:14.915857 130711122957824 run.py:722] (val) algo bellman_ford step 400: {'pi': 0.62890625, 'score': 0.62890625, 'examples_seen': 44533, 'step': 400, 'algorithm': 'bellman_ford'}
I0716 18:36:17.826192 130711122957824 run.py:722] (val) algo bellman_ford step 450: {'pi': 0.94921875, 'score': 0.94921875, 'examples_seen': 49952, 'step': 450, 'algorithm': 'bellman_ford'}
I0716 18:36:20.699398 130711122957824 run.py:722] (val) algo bellman_ford step 500: {'pi': 0.7783203125, 'score': 0.7783203125, 'examples_seen': 55377, 'step': 500, 'algorithm': 'bellman_ford'}
I0716 18:36:23.600307 130711122957824 run.py:722] (val) algo bellman_ford step 550: {'pi': 0.9287109375, 'score': 0.9287109375, 'examples_seen': 60807, 'step': 550, 'algorithm': 'bellman_ford'}
I0716 18:36:26.604960 130711122957824 run.py:722] (val) algo bellman_ford step 600: {'pi': 0.6748046875, 'score': 0.6748046875, 'examples_seen': 66310, 'step': 600, 'algorithm': 'bellman_ford'}
I0716 18:36:29.520430 130711122957824 run.py:722] (val) algo bellman_ford step 650: {'pi': 0.9345703125, 'score': 0.9345703125, 'examples_seen': 71917, 'step': 650, 'algorithm': 'bellman_ford'}
I0716 18:36:32.453124 130711122957824 run.py:722] (val) algo bellman_ford step 700: {'pi': 0.9345703125, 'score': 0.9345703125, 'examples_seen': 77495, 'step': 700, 'algorithm': 'bellman_ford'}
I0716 18:36:35.362013 130711122957824 run.py:722] (val) algo bellman_ford step 750: {'pi': 0.8759765625, 'score': 0.8759765625, 'examples_seen': 83095, 'step': 750, 'algorithm': 'bellman_ford'}
I0716 18:36:38.198309 130711122957824 run.py:722] (val) algo bellman_ford step 800: {'pi': 0.8056640625, 'score': 0.8056640625, 'examples_seen': 88565, 'step': 800, 'algorithm': 'bellman_ford'}
I0716 18:36:41.061783 130711122957824 run.py:722] (val) algo bellman_ford step 850: {'pi': 0.9326171875, 'score': 0.9326171875, 'examples_seen': 94046, 'step': 850, 'algorithm': 'bellman_ford'}
I0716 18:36:43.987843 130711122957824 run.py:722] (val) algo bellman_ford step 900: {'pi': 0.703125, 'score': 0.703125, 'examples_seen': 99550, 'step': 900, 'algorithm': 'bellman_ford'}
I0716 18:36:46.944837 130711122957824 run.py:722] (val) algo bellman_ford step 950: {'pi': 0.9033203125, 'score': 0.9033203125, 'examples_seen': 105079, 'step': 950, 'algorithm': 'bellman_ford'}
I0716 18:36:49.780452 130711122957824 run.py:722] (val) algo bellman_ford step 1000: {'pi': 0.9287109375, 'score': 0.9287109375, 'examples_seen': 110658, 'step': 1000, 'algorithm': 'bellman_ford'}
I0716 18:36:52.673975 130711122957824 run.py:722] (val) algo bellman_ford step 1050: {'pi': 0.9443359375, 'score': 0.9443359375, 'examples_seen': 116243, 'step': 1050, 'algorithm': 'bellman_ford'}
I0716 18:36:55.566563 130711122957824 run.py:722] (val) algo bellman_ford step 1100: {'pi': 0.9296875, 'score': 0.9296875, 'examples_seen': 121826, 'step': 1100, 'algorithm': 'bellman_ford'}
I0716 18:36:58.497557 130711122957824 run.py:722] (val) algo bellman_ford step 1150: {'pi': 0.9453125, 'score': 0.9453125, 'examples_seen': 127423, 'step': 1150, 'algorithm': 'bellman_ford'}
I0716 18:37:01.459999 130711122957824 run.py:722] (val) algo bellman_ford step 1200: {'pi': 0.9365234375, 'score': 0.9365234375, 'examples_seen': 132913, 'step': 1200, 'algorithm': 'bellman_ford'}
I0716 18:37:04.364449 130711122957824 run.py:722] (val) algo bellman_ford step 1250: {'pi': 0.9033203125, 'score': 0.9033203125, 'examples_seen': 138408, 'step': 1250, 'algorithm': 'bellman_ford'}
I0716 18:37:07.271959 130711122957824 run.py:722] (val) algo bellman_ford step 1300: {'pi': 0.9462890625, 'score': 0.9462890625, 'examples_seen': 143905, 'step': 1300, 'algorithm': 'bellman_ford'}
I0716 18:37:10.162653 130711122957824 run.py:722] (val) algo bellman_ford step 1350: {'pi': 0.8212890625, 'score': 0.8212890625, 'examples_seen': 149507, 'step': 1350, 'algorithm': 'bellman_ford'}
I0716 18:37:13.079190 130711122957824 run.py:722] (val) algo bellman_ford step 1400: {'pi': 0.9169921875, 'score': 0.9169921875, 'examples_seen': 155075, 'step': 1400, 'algorithm': 'bellman_ford'}
I0716 18:37:15.966237 130711122957824 run.py:722] (val) algo bellman_ford step 1450: {'pi': 0.93359375, 'score': 0.93359375, 'examples_seen': 160654, 'step': 1450, 'algorithm': 'bellman_ford'}
I0716 18:37:18.907269 130711122957824 run.py:722] (val) algo bellman_ford step 1500: {'pi': 0.8095703125, 'score': 0.8095703125, 'examples_seen': 166176, 'step': 1500, 'algorithm': 'bellman_ford'}
I0716 18:37:21.732682 130711122957824 run.py:722] (val) algo bellman_ford step 1550: {'pi': 0.744140625, 'score': 0.744140625, 'examples_seen': 171700, 'step': 1550, 'algorithm': 'bellman_ford'}
I0716 18:37:24.668514 130711122957824 run.py:722] (val) algo bellman_ford step 1600: {'pi': 0.921875, 'score': 0.921875, 'examples_seen': 177167, 'step': 1600, 'algorithm': 'bellman_ford'}
I0716 18:37:27.670503 130711122957824 run.py:722] (val) algo bellman_ford step 1650: {'pi': 0.931640625, 'score': 0.931640625, 'examples_seen': 182675, 'step': 1650, 'algorithm': 'bellman_ford'}
I0716 18:37:30.552511 130711122957824 run.py:722] (val) algo bellman_ford step 1700: {'pi': 0.8515625, 'score': 0.8515625, 'examples_seen': 188316, 'step': 1700, 'algorithm': 'bellman_ford'}
I0716 18:37:33.516327 130711122957824 run.py:722] (val) algo bellman_ford step 1750: {'pi': 0.962890625, 'score': 0.962890625, 'examples_seen': 193924, 'step': 1750, 'algorithm': 'bellman_ford'}
I0716 18:37:36.499512 130711122957824 run.py:722] (val) algo bellman_ford step 1800: {'pi': 0.6357421875, 'score': 0.6357421875, 'examples_seen': 199489, 'step': 1800, 'algorithm': 'bellman_ford'}
I0716 18:37:39.415242 130711122957824 run.py:722] (val) algo bellman_ford step 1850: {'pi': 0.9619140625, 'score': 0.9619140625, 'examples_seen': 205007, 'step': 1850, 'algorithm': 'bellman_ford'}
I0716 18:37:42.296765 130711122957824 run.py:722] (val) algo bellman_ford step 1900: {'pi': 0.8076171875, 'score': 0.8076171875, 'examples_seen': 210510, 'step': 1900, 'algorithm': 'bellman_ford'}
