I0715 09:07:03.964244 133333116487168 run.py:723] (val) algo find_maximum_subarray_kadane step 0: {'start': 0.0, 'end': 0.087890625, 'score': 0.0439453125, 'examples_seen': 80, 'step': 0, 'algorithm': 'find_maximum_subarray_kadane'}
I0715 09:08:21.326406 133333116487168 run.py:723] (val) algo find_maximum_subarray_kadane step 50: {'start': 0.43994140625, 'end': 0.49853515625, 'score': 0.46923828125, 'examples_seen': 2640, 'step': 50, 'algorithm': 'find_maximum_subarray_kadane'}
I0715 09:08:23.396889 133333116487168 run.py:723] (val) algo find_maximum_subarray_kadane step 100: {'start': 0.57177734375, 'end': 0.48974609375, 'score': 0.53076171875, 'examples_seen': 5200, 'step': 100, 'algorithm': 'find_maximum_subarray_kadane'}
I0715 09:08:25.454754 133333116487168 run.py:723] (val) algo find_maximum_subarray_kadane step 150: {'start': 0.6328125, 'end': 0.5478515625, 'score': 0.59033203125, 'examples_seen': 7744, 'step': 150, 'algorithm': 'find_maximum_subarray_kadane'}
I0715 09:08:27.505759 133333116487168 run.py:723] (val) algo find_maximum_subarray_kadane step 200: {'start': 0.7119140625, 'end': 0.52880859375, 'score': 0.620361328125, 'examples_seen': 10288, 'step': 200, 'algorithm': 'find_maximum_subarray_kadane'}
I0715 09:08:29.576574 133333116487168 run.py:723] (val) algo find_maximum_subarray_kadane step 250: {'start': 0.7626953125, 'end': 0.60400390625, 'score': 0.683349609375, 'examples_seen': 12816, 'step': 250, 'algorithm': 'find_maximum_subarray_kadane'}
I0715 09:08:31.663825 133333116487168 run.py:723] (val) algo find_maximum_subarray_kadane step 300: {'start': 0.75048828125, 'end': 0.55419921875, 'score': 0.65234375, 'examples_seen': 15472, 'step': 300, 'algorithm': 'find_maximum_subarray_kadane'}
I0715 09:08:33.724957 133333116487168 run.py:723] (val) algo find_maximum_subarray_kadane step 350: {'start': 0.70263671875, 'end': 0.56787109375, 'score': 0.63525390625, 'examples_seen': 18080, 'step': 350, 'algorithm': 'find_maximum_subarray_kadane'}
I0715 09:08:35.785598 133333116487168 run.py:723] (val) algo find_maximum_subarray_kadane step 400: {'start': 0.8095703125, 'end': 0.69482421875, 'score': 0.752197265625, 'examples_seen': 20640, 'step': 400, 'algorithm': 'find_maximum_subarray_kadane'}
I0715 09:08:37.831030 133333116487168 run.py:723] (val) algo find_maximum_subarray_kadane step 450: {'start': 0.7939453125, 'end': 0.5830078125, 'score': 0.6884765625, 'examples_seen': 23216, 'step': 450, 'algorithm': 'find_maximum_subarray_kadane'}
I0715 09:08:39.898660 133333116487168 run.py:723] (val) algo find_maximum_subarray_kadane step 500: {'start': 0.81201171875, 'end': 0.70654296875, 'score': 0.75927734375, 'examples_seen': 25744, 'step': 500, 'algorithm': 'find_maximum_subarray_kadane'}
I0715 09:08:41.947204 133333116487168 run.py:723] (val) algo find_maximum_subarray_kadane step 550: {'start': 0.77001953125, 'end': 0.5712890625, 'score': 0.670654296875, 'examples_seen': 28288, 'step': 550, 'algorithm': 'find_maximum_subarray_kadane'}
I0715 09:08:44.001054 133333116487168 run.py:723] (val) algo find_maximum_subarray_kadane step 600: {'start': 0.78955078125, 'end': 0.74462890625, 'score': 0.76708984375, 'examples_seen': 30832, 'step': 600, 'algorithm': 'find_maximum_subarray_kadane'}
I0715 09:08:46.092158 133333116487168 run.py:723] (val) algo find_maximum_subarray_kadane step 650: {'start': 0.76806640625, 'end': 0.765625, 'score': 0.766845703125, 'examples_seen': 33456, 'step': 650, 'algorithm': 'find_maximum_subarray_kadane'}
I0715 09:08:48.163084 133333116487168 run.py:723] (val) algo find_maximum_subarray_kadane step 700: {'start': 0.791015625, 'end': 0.79541015625, 'score': 0.793212890625, 'examples_seen': 36080, 'step': 700, 'algorithm': 'find_maximum_subarray_kadane'}
