I0715 08:40:02.526952 132153658676736 run.py:723] (val) algo dag_shortest_paths step 0: {'pi': 0.708984375, 'score': 0.708984375, 'examples_seen': 41, 'step': 0, 'algorithm': 'dag_shortest_paths'}
I0715 08:41:56.141138 132153658676736 run.py:723] (val) algo dag_shortest_paths step 50: {'pi': 0.8466796875, 'score': 0.8466796875, 'examples_seen': 1530, 'step': 50, 'algorithm': 'dag_shortest_paths'}
I0715 08:41:58.173588 132153658676736 run.py:723] (val) algo dag_shortest_paths step 100: {'pi': 0.9150390625, 'score': 0.9150390625, 'examples_seen': 2997, 'step': 100, 'algorithm': 'dag_shortest_paths'}
I0715 08:42:00.205270 132153658676736 run.py:723] (val) algo dag_shortest_paths step 150: {'pi': 0.908203125, 'score': 0.908203125, 'examples_seen': 4450, 'step': 150, 'algorithm': 'dag_shortest_paths'}
I0715 08:42:02.258709 132153658676736 run.py:723] (val) algo dag_shortest_paths step 200: {'pi': 0.900390625, 'score': 0.900390625, 'examples_seen': 5904, 'step': 200, 'algorithm': 'dag_shortest_paths'}
I0715 08:42:04.183855 132153658676736 run.py:723] (val) algo dag_shortest_paths step 250: {'pi': 0.8701171875, 'score': 0.8701171875, 'examples_seen': 7402, 'step': 250, 'algorithm': 'dag_shortest_paths'}
I0715 08:42:06.084658 132153658676736 run.py:723] (val) algo dag_shortest_paths step 300: {'pi': 0.9013671875, 'score': 0.9013671875, 'examples_seen': 8928, 'step': 300, 'algorithm': 'dag_shortest_paths'}
I0715 08:42:08.156208 132153658676736 run.py:723] (val) algo dag_shortest_paths step 350: {'pi': 0.9287109375, 'score': 0.9287109375, 'examples_seen': 10426, 'step': 350, 'algorithm': 'dag_shortest_paths'}
I0715 08:42:10.141028 132153658676736 run.py:723] (val) algo dag_shortest_paths step 400: {'pi': 0.8916015625, 'score': 0.8916015625, 'examples_seen': 11895, 'step': 400, 'algorithm': 'dag_shortest_paths'}
I0715 08:42:12.168471 132153658676736 run.py:723] (val) algo dag_shortest_paths step 450: {'pi': 0.9140625, 'score': 0.9140625, 'examples_seen': 13359, 'step': 450, 'algorithm': 'dag_shortest_paths'}
I0715 08:42:14.082525 132153658676736 run.py:723] (val) algo dag_shortest_paths step 500: {'pi': 0.8779296875, 'score': 0.8779296875, 'examples_seen': 14816, 'step': 500, 'algorithm': 'dag_shortest_paths'}
I0715 08:42:16.084682 132153658676736 run.py:723] (val) algo dag_shortest_paths step 550: {'pi': 0.9306640625, 'score': 0.9306640625, 'examples_seen': 16276, 'step': 550, 'algorithm': 'dag_shortest_paths'}
I0715 08:42:18.169794 132153658676736 run.py:723] (val) algo dag_shortest_paths step 600: {'pi': 0.955078125, 'score': 0.955078125, 'examples_seen': 17743, 'step': 600, 'algorithm': 'dag_shortest_paths'}
