I0715 10:57:17.031151 130291845821952 run.py:723] (val) algo minimum step 0: {'min': 0.123046875, 'score': 0.123046875, 'examples_seen': 80, 'step': 0, 'algorithm': 'minimum'}
I0715 10:58:21.129853 130291845821952 run.py:723] (val) algo minimum step 50: {'min': 0.824462890625, 'score': 0.824462890625, 'examples_seen': 2640, 'step': 50, 'algorithm': 'minimum'}
I0715 10:58:22.877319 130291845821952 run.py:723] (val) algo minimum step 100: {'min': 0.756103515625, 'score': 0.756103515625, 'examples_seen': 5200, 'step': 100, 'algorithm': 'minimum'}
I0715 10:58:24.597321 130291845821952 run.py:723] (val) algo minimum step 150: {'min': 0.794189453125, 'score': 0.794189453125, 'examples_seen': 7744, 'step': 150, 'algorithm': 'minimum'}
I0715 10:58:26.316360 130291845821952 run.py:723] (val) algo minimum step 200: {'min': 0.8232421875, 'score': 0.8232421875, 'examples_seen': 10288, 'step': 200, 'algorithm': 'minimum'}
I0715 10:58:28.054136 130291845821952 run.py:723] (val) algo minimum step 250: {'min': 0.8671875, 'score': 0.8671875, 'examples_seen': 12816, 'step': 250, 'algorithm': 'minimum'}
I0715 10:58:29.805377 130291845821952 run.py:723] (val) algo minimum step 300: {'min': 0.89599609375, 'score': 0.89599609375, 'examples_seen': 15472, 'step': 300, 'algorithm': 'minimum'}
I0715 10:58:31.568618 130291845821952 run.py:723] (val) algo minimum step 350: {'min': 0.6787109375, 'score': 0.6787109375, 'examples_seen': 18080, 'step': 350, 'algorithm': 'minimum'}
I0715 10:58:33.322895 130291845821952 run.py:723] (val) algo minimum step 400: {'min': 0.90576171875, 'score': 0.90576171875, 'examples_seen': 20640, 'step': 400, 'algorithm': 'minimum'}
I0715 10:58:35.066249 130291845821952 run.py:723] (val) algo minimum step 450: {'min': 0.919189453125, 'score': 0.919189453125, 'examples_seen': 23216, 'step': 450, 'algorithm': 'minimum'}
I0715 10:58:36.809905 130291845821952 run.py:723] (val) algo minimum step 500: {'min': 0.948974609375, 'score': 0.948974609375, 'examples_seen': 25744, 'step': 500, 'algorithm': 'minimum'}
I0715 10:58:38.552571 130291845821952 run.py:723] (val) algo minimum step 550: {'min': 0.90283203125, 'score': 0.90283203125, 'examples_seen': 28288, 'step': 550, 'algorithm': 'minimum'}
I0715 10:58:40.296994 130291845821952 run.py:723] (val) algo minimum step 600: {'min': 0.847900390625, 'score': 0.847900390625, 'examples_seen': 30832, 'step': 600, 'algorithm': 'minimum'}
I0715 10:58:42.039152 130291845821952 run.py:723] (val) algo minimum step 650: {'min': 0.935302734375, 'score': 0.935302734375, 'examples_seen': 33456, 'step': 650, 'algorithm': 'minimum'}
I0715 10:58:43.766536 130291845821952 run.py:723] (val) algo minimum step 700: {'min': 0.916015625, 'score': 0.916015625, 'examples_seen': 36080, 'step': 700, 'algorithm': 'minimum'}
I0715 10:58:45.495359 130291845821952 run.py:723] (val) algo minimum step 750: {'min': 0.8623046875, 'score': 0.8623046875, 'examples_seen': 38640, 'step': 750, 'algorithm': 'minimum'}
I0715 10:58:47.239806 130291845821952 run.py:723] (val) algo minimum step 800: {'min': 0.892578125, 'score': 0.892578125, 'examples_seen': 41216, 'step': 800, 'algorithm': 'minimum'}
