I0715 10:28:29.489971 126542653699584 run.py:723] (val) algo lcs_length step 0: {'b': 0.162353515625, 'score': 0.162353515625, 'examples_seen': 256, 'step': 0, 'algorithm': 'lcs_length'}
I0715 10:29:39.443844 126542653699584 run.py:723] (val) algo lcs_length step 50: {'b': 0.63330078125, 'score': 0.63330078125, 'examples_seen': 6225, 'step': 50, 'algorithm': 'lcs_length'}
I0715 10:29:42.625381 126542653699584 run.py:723] (val) algo lcs_length step 100: {'b': 0.675537109375, 'score': 0.675537109375, 'examples_seen': 12119, 'step': 100, 'algorithm': 'lcs_length'}
I0715 10:29:45.785838 126542653699584 run.py:723] (val) algo lcs_length step 150: {'b': 0.681884765625, 'score': 0.681884765625, 'examples_seen': 17980, 'step': 150, 'algorithm': 'lcs_length'}
I0715 10:29:48.997475 126542653699584 run.py:723] (val) algo lcs_length step 200: {'b': 0.676025390625, 'score': 0.676025390625, 'examples_seen': 23849, 'step': 200, 'algorithm': 'lcs_length'}
I0715 10:29:52.229989 126542653699584 run.py:723] (val) algo lcs_length step 250: {'b': 0.6806640625, 'score': 0.6806640625, 'examples_seen': 29687, 'step': 250, 'algorithm': 'lcs_length'}
I0715 10:29:55.360326 126542653699584 run.py:723] (val) algo lcs_length step 300: {'b': 0.6806640625, 'score': 0.6806640625, 'examples_seen': 35746, 'step': 300, 'algorithm': 'lcs_length'}
I0715 10:29:58.546202 126542653699584 run.py:723] (val) algo lcs_length step 350: {'b': 0.692138671875, 'score': 0.692138671875, 'examples_seen': 41799, 'step': 350, 'algorithm': 'lcs_length'}
I0715 10:30:01.690889 126542653699584 run.py:723] (val) algo lcs_length step 400: {'b': 0.68896484375, 'score': 0.68896484375, 'examples_seen': 47745, 'step': 400, 'algorithm': 'lcs_length'}
I0715 10:30:04.820322 126542653699584 run.py:723] (val) algo lcs_length step 450: {'b': 0.70263671875, 'score': 0.70263671875, 'examples_seen': 53638, 'step': 450, 'algorithm': 'lcs_length'}
I0715 10:30:08.016757 126542653699584 run.py:723] (val) algo lcs_length step 500: {'b': 0.709716796875, 'score': 0.709716796875, 'examples_seen': 59512, 'step': 500, 'algorithm': 'lcs_length'}
I0715 10:30:11.212769 126542653699584 run.py:723] (val) algo lcs_length step 550: {'b': 0.73486328125, 'score': 0.73486328125, 'examples_seen': 65364, 'step': 550, 'algorithm': 'lcs_length'}
I0715 10:30:14.408676 126542653699584 run.py:723] (val) algo lcs_length step 600: {'b': 0.69140625, 'score': 0.69140625, 'examples_seen': 71216, 'step': 600, 'algorithm': 'lcs_length'}
I0715 10:30:17.584435 126542653699584 run.py:723] (val) algo lcs_length step 650: {'b': 0.805908203125, 'score': 0.805908203125, 'examples_seen': 77288, 'step': 650, 'algorithm': 'lcs_length'}
I0715 10:30:20.827416 126542653699584 run.py:723] (val) algo lcs_length step 700: {'b': 0.838623046875, 'score': 0.838623046875, 'examples_seen': 83340, 'step': 700, 'algorithm': 'lcs_length'}
I0715 10:30:24.003217 126542653699584 run.py:723] (val) algo lcs_length step 750: {'b': 0.898681640625, 'score': 0.898681640625, 'examples_seen': 89291, 'step': 750, 'algorithm': 'lcs_length'}
I0715 10:30:27.200188 126542653699584 run.py:723] (val) algo lcs_length step 800: {'b': 0.895751953125, 'score': 0.895751953125, 'examples_seen': 95180, 'step': 800, 'algorithm': 'lcs_length'}
I0715 10:30:30.319139 126542653699584 run.py:723] (val) algo lcs_length step 850: {'b': 0.9111328125, 'score': 0.9111328125, 'examples_seen': 101060, 'step': 850, 'algorithm': 'lcs_length'}
I0715 10:30:33.495450 126542653699584 run.py:723] (val) algo lcs_length step 900: {'b': 0.89208984375, 'score': 0.89208984375, 'examples_seen': 106912, 'step': 900, 'algorithm': 'lcs_length'}
I0715 10:30:36.701963 126542653699584 run.py:723] (val) algo lcs_length step 950: {'b': 0.918212890625, 'score': 0.918212890625, 'examples_seen': 112772, 'step': 950, 'algorithm': 'lcs_length'}
I0715 10:30:39.881141 126542653699584 run.py:723] (val) algo lcs_length step 1000: {'b': 0.915283203125, 'score': 0.915283203125, 'examples_seen': 118833, 'step': 1000, 'algorithm': 'lcs_length'}
I0715 10:30:43.080203 126542653699584 run.py:723] (val) algo lcs_length step 1050: {'b': 0.886962890625, 'score': 0.886962890625, 'examples_seen': 124894, 'step': 1050, 'algorithm': 'lcs_length'}
I0715 10:30:46.222569 126542653699584 run.py:723] (val) algo lcs_length step 1100: {'b': 0.911376953125, 'score': 0.911376953125, 'examples_seen': 130841, 'step': 1100, 'algorithm': 'lcs_length'}
I0715 10:30:49.348216 126542653699584 run.py:723] (val) algo lcs_length step 1150: {'b': 0.90234375, 'score': 0.90234375, 'examples_seen': 136753, 'step': 1150, 'algorithm': 'lcs_length'}
I0715 10:30:52.447624 126542653699584 run.py:723] (val) algo lcs_length step 1200: {'b': 0.926025390625, 'score': 0.926025390625, 'examples_seen': 142605, 'step': 1200, 'algorithm': 'lcs_length'}
