I0715 11:50:49.052280 140347114280448 run.py:723] (val) algo quickselect step 0: {'median': 0.025146484375, 'score': 0.025146484375, 'examples_seen': 46, 'step': 0, 'algorithm': 'quickselect'}
I0715 11:52:27.847934 140347114280448 run.py:723] (val) algo quickselect step 50: {'median': 0.115478515625, 'score': 0.115478515625, 'examples_seen': 1653, 'step': 50, 'algorithm': 'quickselect'}
I0715 11:52:36.851186 140347114280448 run.py:723] (val) algo quickselect step 100: {'median': 0.0869140625, 'score': 0.0869140625, 'examples_seen': 3277, 'step': 100, 'algorithm': 'quickselect'}
I0715 11:52:45.749093 140347114280448 run.py:723] (val) algo quickselect step 150: {'median': 0.104736328125, 'score': 0.104736328125, 'examples_seen': 4881, 'step': 150, 'algorithm': 'quickselect'}
I0715 11:52:54.608411 140347114280448 run.py:723] (val) algo quickselect step 200: {'median': 0.18701171875, 'score': 0.18701171875, 'examples_seen': 6472, 'step': 200, 'algorithm': 'quickselect'}
I0715 11:53:03.546961 140347114280448 run.py:723] (val) algo quickselect step 250: {'median': 0.150390625, 'score': 0.150390625, 'examples_seen': 8061, 'step': 250, 'algorithm': 'quickselect'}
I0715 11:53:12.459501 140347114280448 run.py:723] (val) algo quickselect step 300: {'median': 0.186767578125, 'score': 0.186767578125, 'examples_seen': 9734, 'step': 300, 'algorithm': 'quickselect'}
I0715 11:53:21.399533 140347114280448 run.py:723] (val) algo quickselect step 350: {'median': 0.081787109375, 'score': 0.081787109375, 'examples_seen': 11367, 'step': 350, 'algorithm': 'quickselect'}
I0715 11:53:30.272139 140347114280448 run.py:723] (val) algo quickselect step 400: {'median': 0.189208984375, 'score': 0.189208984375, 'examples_seen': 12963, 'step': 400, 'algorithm': 'quickselect'}
I0715 11:53:39.104102 140347114280448 run.py:723] (val) algo quickselect step 450: {'median': 0.1845703125, 'score': 0.1845703125, 'examples_seen': 14543, 'step': 450, 'algorithm': 'quickselect'}
I0715 11:53:48.010798 140347114280448 run.py:723] (val) algo quickselect step 500: {'median': 0.190673828125, 'score': 0.190673828125, 'examples_seen': 16145, 'step': 500, 'algorithm': 'quickselect'}
I0715 11:53:56.904943 140347114280448 run.py:723] (val) algo quickselect step 550: {'median': 0.177490234375, 'score': 0.177490234375, 'examples_seen': 17728, 'step': 550, 'algorithm': 'quickselect'}
I0715 11:54:05.825448 140347114280448 run.py:723] (val) algo quickselect step 600: {'median': 0.2080078125, 'score': 0.2080078125, 'examples_seen': 19323, 'step': 600, 'algorithm': 'quickselect'}
I0715 11:54:14.697096 140347114280448 run.py:723] (val) algo quickselect step 650: {'median': 0.135498046875, 'score': 0.135498046875, 'examples_seen': 21004, 'step': 650, 'algorithm': 'quickselect'}
I0715 11:54:23.875174 140347114280448 run.py:723] (val) algo quickselect step 700: {'median': 0.16015625, 'score': 0.16015625, 'examples_seen': 22632, 'step': 700, 'algorithm': 'quickselect'}
I0715 11:54:32.734893 140347114280448 run.py:723] (val) algo quickselect step 750: {'median': 0.17919921875, 'score': 0.17919921875, 'examples_seen': 24241, 'step': 750, 'algorithm': 'quickselect'}
I0715 11:54:41.673269 140347114280448 run.py:723] (val) algo quickselect step 800: {'median': 0.155029296875, 'score': 0.155029296875, 'examples_seen': 25833, 'step': 800, 'algorithm': 'quickselect'}
I0715 11:54:50.578880 140347114280448 run.py:723] (val) algo quickselect step 850: {'median': 0.173583984375, 'score': 0.173583984375, 'examples_seen': 27431, 'step': 850, 'algorithm': 'quickselect'}
I0715 11:54:59.470349 140347114280448 run.py:723] (val) algo quickselect step 900: {'median': 0.219970703125, 'score': 0.219970703125, 'examples_seen': 29033, 'step': 900, 'algorithm': 'quickselect'}
I0715 11:55:08.421477 140347114280448 run.py:723] (val) algo quickselect step 950: {'median': 0.20556640625, 'score': 0.20556640625, 'examples_seen': 30646, 'step': 950, 'algorithm': 'quickselect'}
I0715 11:55:17.351552 140347114280448 run.py:723] (val) algo quickselect step 1000: {'median': 0.22119140625, 'score': 0.22119140625, 'examples_seen': 32349, 'step': 1000, 'algorithm': 'quickselect'}
I0715 11:55:26.220124 140347114280448 run.py:723] (val) algo quickselect step 1050: {'median': 0.19970703125, 'score': 0.19970703125, 'examples_seen': 33968, 'step': 1050, 'algorithm': 'quickselect'}
I0715 11:55:35.166057 140347114280448 run.py:723] (val) algo quickselect step 1100: {'median': 0.193603515625, 'score': 0.193603515625, 'examples_seen': 35594, 'step': 1100, 'algorithm': 'quickselect'}
I0715 11:55:44.005879 140347114280448 run.py:723] (val) algo quickselect step 1150: {'median': 0.201416015625, 'score': 0.201416015625, 'examples_seen': 37192, 'step': 1150, 'algorithm': 'quickselect'}
I0715 11:55:52.867954 140347114280448 run.py:723] (val) algo quickselect step 1200: {'median': 0.151611328125, 'score': 0.151611328125, 'examples_seen': 38766, 'step': 1200, 'algorithm': 'quickselect'}
I0715 11:56:01.747339 140347114280448 run.py:723] (val) algo quickselect step 1250: {'median': 0.197021484375, 'score': 0.197021484375, 'examples_seen': 40371, 'step': 1250, 'algorithm': 'quickselect'}
I0715 11:56:10.653585 140347114280448 run.py:723] (val) algo quickselect step 1300: {'median': 0.182373046875, 'score': 0.182373046875, 'examples_seen': 41953, 'step': 1300, 'algorithm': 'quickselect'}
I0715 11:56:19.599821 140347114280448 run.py:723] (val) algo quickselect step 1350: {'median': 0.17041015625, 'score': 0.17041015625, 'examples_seen': 43643, 'step': 1350, 'algorithm': 'quickselect'}
I0715 11:56:28.545088 140347114280448 run.py:723] (val) algo quickselect step 1400: {'median': 0.141357421875, 'score': 0.141357421875, 'examples_seen': 45300, 'step': 1400, 'algorithm': 'quickselect'}
I0715 11:56:37.421077 140347114280448 run.py:723] (val) algo quickselect step 1450: {'median': 0.16650390625, 'score': 0.16650390625, 'examples_seen': 46902, 'step': 1450, 'algorithm': 'quickselect'}
I0715 11:56:46.310534 140347114280448 run.py:723] (val) algo quickselect step 1500: {'median': 0.100341796875, 'score': 0.100341796875, 'examples_seen': 48509, 'step': 1500, 'algorithm': 'quickselect'}
I0715 11:56:55.248893 140347114280448 run.py:723] (val) algo quickselect step 1550: {'median': 0.11328125, 'score': 0.11328125, 'examples_seen': 50107, 'step': 1550, 'algorithm': 'quickselect'}
I0715 11:57:04.164597 140347114280448 run.py:723] (val) algo quickselect step 1600: {'median': 0.1357421875, 'score': 0.1357421875, 'examples_seen': 51716, 'step': 1600, 'algorithm': 'quickselect'}
I0715 11:57:13.034918 140347114280448 run.py:723] (val) algo quickselect step 1650: {'median': 0.12939453125, 'score': 0.12939453125, 'examples_seen': 53287, 'step': 1650, 'algorithm': 'quickselect'}
I0715 11:57:21.965127 140347114280448 run.py:723] (val) algo quickselect step 1700: {'median': 0.119140625, 'score': 0.119140625, 'examples_seen': 54980, 'step': 1700, 'algorithm': 'quickselect'}
I0715 11:57:30.903968 140347114280448 run.py:723] (val) algo quickselect step 1750: {'median': 0.080810546875, 'score': 0.080810546875, 'examples_seen': 56623, 'step': 1750, 'algorithm': 'quickselect'}
I0715 11:57:39.749848 140347114280448 run.py:723] (val) algo quickselect step 1800: {'median': 0.14990234375, 'score': 0.14990234375, 'examples_seen': 58234, 'step': 1800, 'algorithm': 'quickselect'}
I0715 11:57:48.572618 140347114280448 run.py:723] (val) algo quickselect step 1850: {'median': 0.12353515625, 'score': 0.12353515625, 'examples_seen': 59815, 'step': 1850, 'algorithm': 'quickselect'}
I0715 11:57:57.408800 140347114280448 run.py:723] (val) algo quickselect step 1900: {'median': 0.13818359375, 'score': 0.13818359375, 'examples_seen': 61409, 'step': 1900, 'algorithm': 'quickselect'}
I0715 11:58:06.387000 140347114280448 run.py:723] (val) algo quickselect step 1950: {'median': 0.160888671875, 'score': 0.160888671875, 'examples_seen': 62998, 'step': 1950, 'algorithm': 'quickselect'}
I0715 11:58:15.307360 140347114280448 run.py:723] (val) algo quickselect step 2000: {'median': 0.134521484375, 'score': 0.134521484375, 'examples_seen': 64577, 'step': 2000, 'algorithm': 'quickselect'}
I0715 11:58:24.261710 140347114280448 run.py:723] (val) algo quickselect step 2050: {'median': 0.224365234375, 'score': 0.224365234375, 'examples_seen': 66280, 'step': 2050, 'algorithm': 'quickselect'}
