I0715 07:40:45.679643 130963043796480 run.py:723] (val) algo bellman_ford step 0: {'pi': 0.3876953125, 'score': 0.3876953125, 'examples_seen': 159, 'step': 0, 'algorithm': 'bellman_ford'}
I0715 07:42:17.820700 130963043796480 run.py:723] (val) algo bellman_ford step 50: {'pi': 0.7431640625, 'score': 0.7431640625, 'examples_seen': 5709, 'step': 50, 'algorithm': 'bellman_ford'}
I0715 07:42:20.780009 130963043796480 run.py:723] (val) algo bellman_ford step 100: {'pi': 0.7685546875, 'score': 0.7685546875, 'examples_seen': 11237, 'step': 100, 'algorithm': 'bellman_ford'}
I0715 07:42:23.792150 130963043796480 run.py:723] (val) algo bellman_ford step 150: {'pi': 0.859375, 'score': 0.859375, 'examples_seen': 16757, 'step': 150, 'algorithm': 'bellman_ford'}
I0715 07:42:26.714979 130963043796480 run.py:723] (val) algo bellman_ford step 200: {'pi': 0.90625, 'score': 0.90625, 'examples_seen': 22307, 'step': 200, 'algorithm': 'bellman_ford'}
I0715 07:42:29.644694 130963043796480 run.py:723] (val) algo bellman_ford step 250: {'pi': 0.8740234375, 'score': 0.8740234375, 'examples_seen': 27783, 'step': 250, 'algorithm': 'bellman_ford'}
I0715 07:42:32.492907 130963043796480 run.py:723] (val) algo bellman_ford step 300: {'pi': 0.9130859375, 'score': 0.9130859375, 'examples_seen': 33428, 'step': 300, 'algorithm': 'bellman_ford'}
I0715 07:42:35.478267 130963043796480 run.py:723] (val) algo bellman_ford step 350: {'pi': 0.873046875, 'score': 0.873046875, 'examples_seen': 39018, 'step': 350, 'algorithm': 'bellman_ford'}
I0715 07:42:38.400872 130963043796480 run.py:723] (val) algo bellman_ford step 400: {'pi': 0.9140625, 'score': 0.9140625, 'examples_seen': 44533, 'step': 400, 'algorithm': 'bellman_ford'}
I0715 07:42:41.282526 130963043796480 run.py:723] (val) algo bellman_ford step 450: {'pi': 0.861328125, 'score': 0.861328125, 'examples_seen': 49952, 'step': 450, 'algorithm': 'bellman_ford'}
I0715 07:42:44.077014 130963043796480 run.py:723] (val) algo bellman_ford step 500: {'pi': 0.923828125, 'score': 0.923828125, 'examples_seen': 55377, 'step': 500, 'algorithm': 'bellman_ford'}
I0715 07:42:46.932878 130963043796480 run.py:723] (val) algo bellman_ford step 550: {'pi': 0.865234375, 'score': 0.865234375, 'examples_seen': 60807, 'step': 550, 'algorithm': 'bellman_ford'}
I0715 07:42:49.897221 130963043796480 run.py:723] (val) algo bellman_ford step 600: {'pi': 0.9150390625, 'score': 0.9150390625, 'examples_seen': 66310, 'step': 600, 'algorithm': 'bellman_ford'}
I0715 07:42:52.753016 130963043796480 run.py:723] (val) algo bellman_ford step 650: {'pi': 0.8837890625, 'score': 0.8837890625, 'examples_seen': 71917, 'step': 650, 'algorithm': 'bellman_ford'}
I0715 07:42:55.630570 130963043796480 run.py:723] (val) algo bellman_ford step 700: {'pi': 0.9365234375, 'score': 0.9365234375, 'examples_seen': 77495, 'step': 700, 'algorithm': 'bellman_ford'}
I0715 07:42:58.490099 130963043796480 run.py:723] (val) algo bellman_ford step 750: {'pi': 0.84765625, 'score': 0.84765625, 'examples_seen': 83095, 'step': 750, 'algorithm': 'bellman_ford'}
I0715 07:43:01.253490 130963043796480 run.py:723] (val) algo bellman_ford step 800: {'pi': 0.91796875, 'score': 0.91796875, 'examples_seen': 88565, 'step': 800, 'algorithm': 'bellman_ford'}
I0715 07:43:04.052024 130963043796480 run.py:723] (val) algo bellman_ford step 850: {'pi': 0.806640625, 'score': 0.806640625, 'examples_seen': 94046, 'step': 850, 'algorithm': 'bellman_ford'}
