I0715 09:49:23.435779 126481778218496 run.py:723] (val) algo insertion_sort step 0: {'pred': 0.251953125, 'score': 0.251953125, 'examples_seen': 80, 'step': 0, 'algorithm': 'insertion_sort'}
I0715 09:51:06.845270 126481778218496 run.py:723] (val) algo insertion_sort step 50: {'pred': 0.625, 'score': 0.625, 'examples_seen': 2640, 'step': 50, 'algorithm': 'insertion_sort'}
I0715 09:51:11.363515 126481778218496 run.py:723] (val) algo insertion_sort step 100: {'pred': 0.68359375, 'score': 0.68359375, 'examples_seen': 5200, 'step': 100, 'algorithm': 'insertion_sort'}
I0715 09:51:15.887834 126481778218496 run.py:723] (val) algo insertion_sort step 150: {'pred': 0.5849609375, 'score': 0.5849609375, 'examples_seen': 7744, 'step': 150, 'algorithm': 'insertion_sort'}
I0715 09:51:20.344092 126481778218496 run.py:723] (val) algo insertion_sort step 200: {'pred': 0.7109375, 'score': 0.7109375, 'examples_seen': 10288, 'step': 200, 'algorithm': 'insertion_sort'}
I0715 09:51:24.855668 126481778218496 run.py:723] (val) algo insertion_sort step 250: {'pred': 0.6025390625, 'score': 0.6025390625, 'examples_seen': 12816, 'step': 250, 'algorithm': 'insertion_sort'}
I0715 09:51:29.428742 126481778218496 run.py:723] (val) algo insertion_sort step 300: {'pred': 0.634765625, 'score': 0.634765625, 'examples_seen': 15472, 'step': 300, 'algorithm': 'insertion_sort'}
I0715 09:51:33.976575 126481778218496 run.py:723] (val) algo insertion_sort step 350: {'pred': 0.6025390625, 'score': 0.6025390625, 'examples_seen': 18080, 'step': 350, 'algorithm': 'insertion_sort'}
I0715 09:51:38.467237 126481778218496 run.py:723] (val) algo insertion_sort step 400: {'pred': 0.654296875, 'score': 0.654296875, 'examples_seen': 20640, 'step': 400, 'algorithm': 'insertion_sort'}
I0715 09:51:42.950080 126481778218496 run.py:723] (val) algo insertion_sort step 450: {'pred': 0.4541015625, 'score': 0.4541015625, 'examples_seen': 23216, 'step': 450, 'algorithm': 'insertion_sort'}
I0715 09:51:47.440363 126481778218496 run.py:723] (val) algo insertion_sort step 500: {'pred': 0.65625, 'score': 0.65625, 'examples_seen': 25744, 'step': 500, 'algorithm': 'insertion_sort'}
I0715 09:51:51.958322 126481778218496 run.py:723] (val) algo insertion_sort step 550: {'pred': 0.595703125, 'score': 0.595703125, 'examples_seen': 28288, 'step': 550, 'algorithm': 'insertion_sort'}
I0715 09:51:56.471760 126481778218496 run.py:723] (val) algo insertion_sort step 600: {'pred': 0.6689453125, 'score': 0.6689453125, 'examples_seen': 30832, 'step': 600, 'algorithm': 'insertion_sort'}
I0715 09:52:01.057601 126481778218496 run.py:723] (val) algo insertion_sort step 650: {'pred': 0.736328125, 'score': 0.736328125, 'examples_seen': 33456, 'step': 650, 'algorithm': 'insertion_sort'}
I0715 09:52:05.605486 126481778218496 run.py:723] (val) algo insertion_sort step 700: {'pred': 0.6923828125, 'score': 0.6923828125, 'examples_seen': 36080, 'step': 700, 'algorithm': 'insertion_sort'}
I0715 09:52:10.130192 126481778218496 run.py:723] (val) algo insertion_sort step 750: {'pred': 0.7060546875, 'score': 0.7060546875, 'examples_seen': 38640, 'step': 750, 'algorithm': 'insertion_sort'}
I0715 09:52:14.651486 126481778218496 run.py:723] (val) algo insertion_sort step 800: {'pred': 0.697265625, 'score': 0.697265625, 'examples_seen': 41216, 'step': 800, 'algorithm': 'insertion_sort'}
I0715 09:52:19.110849 126481778218496 run.py:723] (val) algo insertion_sort step 850: {'pred': 0.7119140625, 'score': 0.7119140625, 'examples_seen': 43760, 'step': 850, 'algorithm': 'insertion_sort'}
I0715 09:52:23.610540 126481778218496 run.py:723] (val) algo insertion_sort step 900: {'pred': 0.8193359375, 'score': 0.8193359375, 'examples_seen': 46320, 'step': 900, 'algorithm': 'insertion_sort'}
I0715 09:52:28.081675 126481778218496 run.py:723] (val) algo insertion_sort step 950: {'pred': 0.8623046875, 'score': 0.8623046875, 'examples_seen': 48832, 'step': 950, 'algorithm': 'insertion_sort'}
I0715 09:52:32.640120 126481778218496 run.py:723] (val) algo insertion_sort step 1000: {'pred': 0.81640625, 'score': 0.81640625, 'examples_seen': 51488, 'step': 1000, 'algorithm': 'insertion_sort'}
I0715 09:52:37.169042 126481778218496 run.py:723] (val) algo insertion_sort step 1050: {'pred': 0.861328125, 'score': 0.861328125, 'examples_seen': 54080, 'step': 1050, 'algorithm': 'insertion_sort'}
I0715 09:52:41.636224 126481778218496 run.py:723] (val) algo insertion_sort step 1100: {'pred': 0.8681640625, 'score': 0.8681640625, 'examples_seen': 56656, 'step': 1100, 'algorithm': 'insertion_sort'}
I0715 09:52:46.150005 126481778218496 run.py:723] (val) algo insertion_sort step 1150: {'pred': 0.833984375, 'score': 0.833984375, 'examples_seen': 59232, 'step': 1150, 'algorithm': 'insertion_sort'}
I0715 09:52:50.595666 126481778218496 run.py:723] (val) algo insertion_sort step 1200: {'pred': 0.8544921875, 'score': 0.8544921875, 'examples_seen': 61744, 'step': 1200, 'algorithm': 'insertion_sort'}
I0715 09:52:55.071992 126481778218496 run.py:723] (val) algo insertion_sort step 1250: {'pred': 0.8837890625, 'score': 0.8837890625, 'examples_seen': 64304, 'step': 1250, 'algorithm': 'insertion_sort'}
I0715 09:52:59.611315 126481778218496 run.py:723] (val) algo insertion_sort step 1300: {'pred': 0.87890625, 'score': 0.87890625, 'examples_seen': 66848, 'step': 1300, 'algorithm': 'insertion_sort'}
I0715 09:53:04.190646 126481778218496 run.py:723] (val) algo insertion_sort step 1350: {'pred': 0.9111328125, 'score': 0.9111328125, 'examples_seen': 69472, 'step': 1350, 'algorithm': 'insertion_sort'}
I0715 09:53:08.725914 126481778218496 run.py:723] (val) algo insertion_sort step 1400: {'pred': 0.818359375, 'score': 0.818359375, 'examples_seen': 72096, 'step': 1400, 'algorithm': 'insertion_sort'}
I0715 09:53:13.234956 126481778218496 run.py:723] (val) algo insertion_sort step 1450: {'pred': 0.888671875, 'score': 0.888671875, 'examples_seen': 74656, 'step': 1450, 'algorithm': 'insertion_sort'}
I0715 09:53:17.704170 126481778218496 run.py:723] (val) algo insertion_sort step 1500: {'pred': 0.8857421875, 'score': 0.8857421875, 'examples_seen': 77216, 'step': 1500, 'algorithm': 'insertion_sort'}
