I0715 11:37:38.895432 133586423690752 run.py:723] (val) algo optimal_bst step 0: {'root': 0.477238321799308, 'score': 0.477238321799308, 'examples_seen': 64, 'step': 0, 'algorithm': 'optimal_bst'}
I0715 11:39:18.687380 133586423690752 run.py:723] (val) algo optimal_bst step 50: {'root': 0.5916955017301038, 'score': 0.5916955017301038, 'examples_seen': 2080, 'step': 50, 'algorithm': 'optimal_bst'}
I0715 11:39:21.578707 133586423690752 run.py:723] (val) algo optimal_bst step 100: {'root': 0.5997512975778547, 'score': 0.5997512975778547, 'examples_seen': 4064, 'step': 100, 'algorithm': 'optimal_bst'}
I0715 11:39:24.515671 133586423690752 run.py:723] (val) algo optimal_bst step 150: {'root': 0.7566500865051903, 'score': 0.7566500865051903, 'examples_seen': 6016, 'step': 150, 'algorithm': 'optimal_bst'}
I0715 11:39:27.473518 133586423690752 run.py:723] (val) algo optimal_bst step 200: {'root': 0.8207720588235294, 'score': 0.8207720588235294, 'examples_seen': 8016, 'step': 200, 'algorithm': 'optimal_bst'}
I0715 11:39:30.511624 133586423690752 run.py:723] (val) algo optimal_bst step 250: {'root': 0.8422902249134948, 'score': 0.8422902249134948, 'examples_seen': 9952, 'step': 250, 'algorithm': 'optimal_bst'}
I0715 11:39:33.417998 133586423690752 run.py:723] (val) algo optimal_bst step 300: {'root': 0.8614294982698962, 'score': 0.8614294982698962, 'examples_seen': 12000, 'step': 300, 'algorithm': 'optimal_bst'}
I0715 11:39:36.284650 133586423690752 run.py:723] (val) algo optimal_bst step 350: {'root': 0.8349913494809689, 'score': 0.8349913494809689, 'examples_seen': 14032, 'step': 350, 'algorithm': 'optimal_bst'}
I0715 11:39:39.154843 133586423690752 run.py:723] (val) algo optimal_bst step 400: {'root': 0.8355320069204152, 'score': 0.8355320069204152, 'examples_seen': 16000, 'step': 400, 'algorithm': 'optimal_bst'}
I0715 11:39:42.016599 133586423690752 run.py:723] (val) algo optimal_bst step 450: {'root': 0.834234429065744, 'score': 0.834234429065744, 'examples_seen': 18000, 'step': 450, 'algorithm': 'optimal_bst'}
I0715 11:39:44.914315 133586423690752 run.py:723] (val) algo optimal_bst step 500: {'root': 0.8759191176470589, 'score': 0.8759191176470589, 'examples_seen': 19952, 'step': 500, 'algorithm': 'optimal_bst'}
I0715 11:39:47.865175 133586423690752 run.py:723] (val) algo optimal_bst step 550: {'root': 0.893760813148789, 'score': 0.893760813148789, 'examples_seen': 21920, 'step': 550, 'algorithm': 'optimal_bst'}
I0715 11:39:50.893194 133586423690752 run.py:723] (val) algo optimal_bst step 600: {'root': 0.8699178200692042, 'score': 0.8699178200692042, 'examples_seen': 23904, 'step': 600, 'algorithm': 'optimal_bst'}
I0715 11:39:53.789898 133586423690752 run.py:723] (val) algo optimal_bst step 650: {'root': 0.8885164359861591, 'score': 0.8885164359861591, 'examples_seen': 25920, 'step': 650, 'algorithm': 'optimal_bst'}
I0715 11:39:56.639044 133586423690752 run.py:723] (val) algo optimal_bst step 700: {'root': 0.8768923010380623, 'score': 0.8768923010380623, 'examples_seen': 27952, 'step': 700, 'algorithm': 'optimal_bst'}
I0715 11:39:59.474710 133586423690752 run.py:723] (val) algo optimal_bst step 750: {'root': 0.8706206747404844, 'score': 0.8706206747404844, 'examples_seen': 29936, 'step': 750, 'algorithm': 'optimal_bst'}
I0715 11:40:02.350352 133586423690752 run.py:723] (val) algo optimal_bst step 800: {'root': 0.8942474048442907, 'score': 0.8942474048442907, 'examples_seen': 31920, 'step': 800, 'algorithm': 'optimal_bst'}
I0715 11:40:05.270583 133586423690752 run.py:723] (val) algo optimal_bst step 850: {'root': 0.8979779411764706, 'score': 0.8979779411764706, 'examples_seen': 33904, 'step': 850, 'algorithm': 'optimal_bst'}
I0715 11:40:08.230168 133586423690752 run.py:723] (val) algo optimal_bst step 900: {'root': 0.8951665224913494, 'score': 0.8951665224913494, 'examples_seen': 35856, 'step': 900, 'algorithm': 'optimal_bst'}
I0715 11:40:11.236534 133586423690752 run.py:723] (val) algo optimal_bst step 950: {'root': 0.9008434256055363, 'score': 0.9008434256055363, 'examples_seen': 37808, 'step': 950, 'algorithm': 'optimal_bst'}
I0715 11:40:14.148876 133586423690752 run.py:723] (val) algo optimal_bst step 1000: {'root': 0.889003027681661, 'score': 0.889003027681661, 'examples_seen': 39872, 'step': 1000, 'algorithm': 'optimal_bst'}
I0715 11:40:17.024959 133586423690752 run.py:723] (val) algo optimal_bst step 1050: {'root': 0.8824610726643599, 'score': 0.8824610726643599, 'examples_seen': 41872, 'step': 1050, 'algorithm': 'optimal_bst'}
I0715 11:40:19.880609 133586423690752 run.py:723] (val) algo optimal_bst step 1100: {'root': 0.9009515570934256, 'score': 0.9009515570934256, 'examples_seen': 43872, 'step': 1100, 'algorithm': 'optimal_bst'}
I0715 11:40:22.770622 133586423690752 run.py:723] (val) algo optimal_bst step 1150: {'root': 0.9006271626297578, 'score': 0.9006271626297578, 'examples_seen': 45856, 'step': 1150, 'algorithm': 'optimal_bst'}
I0715 11:40:25.686690 133586423690752 run.py:723] (val) algo optimal_bst step 1200: {'root': 0.9005190311418685, 'score': 0.9005190311418685, 'examples_seen': 47808, 'step': 1200, 'algorithm': 'optimal_bst'}
I0715 11:40:28.627274 133586423690752 run.py:723] (val) algo optimal_bst step 1250: {'root': 0.9153871107266436, 'score': 0.9153871107266436, 'examples_seen': 49808, 'step': 1250, 'algorithm': 'optimal_bst'}
I0715 11:40:31.657833 133586423690752 run.py:723] (val) algo optimal_bst step 1300: {'root': 0.8966262975778547, 'score': 0.8966262975778547, 'examples_seen': 51760, 'step': 1300, 'algorithm': 'optimal_bst'}
I0715 11:40:34.557352 133586423690752 run.py:723] (val) algo optimal_bst step 1350: {'root': 0.9038170415224913, 'score': 0.9038170415224913, 'examples_seen': 53792, 'step': 1350, 'algorithm': 'optimal_bst'}
I0715 11:40:37.423042 133586423690752 run.py:723] (val) algo optimal_bst step 1400: {'root': 0.8691608996539792, 'score': 0.8691608996539792, 'examples_seen': 55824, 'step': 1400, 'algorithm': 'optimal_bst'}
I0715 11:40:40.295174 133586423690752 run.py:723] (val) algo optimal_bst step 1450: {'root': 0.8996539792387543, 'score': 0.8996539792387543, 'examples_seen': 57792, 'step': 1450, 'algorithm': 'optimal_bst'}
I0715 11:40:43.165656 133586423690752 run.py:723] (val) algo optimal_bst step 1500: {'root': 0.9127378892733564, 'score': 0.9127378892733564, 'examples_seen': 59792, 'step': 1500, 'algorithm': 'optimal_bst'}
I0715 11:40:46.071257 133586423690752 run.py:723] (val) algo optimal_bst step 1550: {'root': 0.903276384083045, 'score': 0.903276384083045, 'examples_seen': 61744, 'step': 1550, 'algorithm': 'optimal_bst'}
I0715 11:40:49.017633 133586423690752 run.py:723] (val) algo optimal_bst step 1600: {'root': 0.8768382352941176, 'score': 0.8768382352941176, 'examples_seen': 63712, 'step': 1600, 'algorithm': 'optimal_bst'}
I0715 11:40:52.031065 133586423690752 run.py:723] (val) algo optimal_bst step 1650: {'root': 0.9205774221453287, 'score': 0.9205774221453287, 'examples_seen': 65712, 'step': 1650, 'algorithm': 'optimal_bst'}
I0715 11:40:54.958041 133586423690752 run.py:723] (val) algo optimal_bst step 1700: {'root': 0.9125756920415224, 'score': 0.9125756920415224, 'examples_seen': 67712, 'step': 1700, 'algorithm': 'optimal_bst'}
I0715 11:40:57.835978 133586423690752 run.py:723] (val) algo optimal_bst step 1750: {'root': 0.925010813148789, 'score': 0.925010813148789, 'examples_seen': 69744, 'step': 1750, 'algorithm': 'optimal_bst'}
I0715 11:41:00.711147 133586423690752 run.py:723] (val) algo optimal_bst step 1800: {'root': 0.9097102076124568, 'score': 0.9097102076124568, 'examples_seen': 71728, 'step': 1800, 'algorithm': 'optimal_bst'}
I0715 11:41:03.587316 133586423690752 run.py:723] (val) algo optimal_bst step 1850: {'root': 0.9256596020761245, 'score': 0.9256596020761245, 'examples_seen': 73712, 'step': 1850, 'algorithm': 'optimal_bst'}
I0715 11:41:06.516070 133586423690752 run.py:723] (val) algo optimal_bst step 1900: {'root': 0.9137110726643599, 'score': 0.9137110726643599, 'examples_seen': 75712, 'step': 1900, 'algorithm': 'optimal_bst'}
I0715 11:41:09.457657 133586423690752 run.py:723] (val) algo optimal_bst step 1950: {'root': 0.9150086505190311, 'score': 0.9150086505190311, 'examples_seen': 77664, 'step': 1950, 'algorithm': 'optimal_bst'}
I0715 11:41:12.478698 133586423690752 run.py:723] (val) algo optimal_bst step 2000: {'root': 0.9213884083044983, 'score': 0.9213884083044983, 'examples_seen': 79632, 'step': 2000, 'algorithm': 'optimal_bst'}
I0715 11:41:15.372535 133586423690752 run.py:723] (val) algo optimal_bst step 2050: {'root': 0.9239294982698962, 'score': 0.9239294982698962, 'examples_seen': 81680, 'step': 2050, 'algorithm': 'optimal_bst'}
I0715 11:41:18.255005 133586423690752 run.py:723] (val) algo optimal_bst step 2100: {'root': 0.9016544117647058, 'score': 0.9016544117647058, 'examples_seen': 83680, 'step': 2100, 'algorithm': 'optimal_bst'}
I0715 11:41:21.129377 133586423690752 run.py:723] (val) algo optimal_bst step 2150: {'root': 0.9179282006920415, 'score': 0.9179282006920415, 'examples_seen': 85680, 'step': 2150, 'algorithm': 'optimal_bst'}
