I0716 00:21:16.146480 128008865113600 run.py:722] (val) algo mst_prim step 0: {'pi': 0.48828125, 'score': 0.48828125, 'examples_seen': 84, 'step': 0, 'algorithm': 'mst_prim'}
I0716 00:22:53.275789 128008865113600 run.py:722] (val) algo mst_prim step 50: {'pi': 0.5947265625, 'score': 0.5947265625, 'examples_seen': 2939, 'step': 50, 'algorithm': 'mst_prim'}
I0716 00:22:55.209895 128008865113600 run.py:722] (val) algo mst_prim step 100: {'pi': 0.7578125, 'score': 0.7578125, 'examples_seen': 5767, 'step': 100, 'algorithm': 'mst_prim'}
I0716 00:22:57.049278 128008865113600 run.py:722] (val) algo mst_prim step 150: {'pi': 0.7255859375, 'score': 0.7255859375, 'examples_seen': 8549, 'step': 150, 'algorithm': 'mst_prim'}
I0716 00:22:58.995319 128008865113600 run.py:722] (val) algo mst_prim step 200: {'pi': 0.7587890625, 'score': 0.7587890625, 'examples_seen': 11356, 'step': 200, 'algorithm': 'mst_prim'}
I0716 00:23:00.918537 128008865113600 run.py:722] (val) algo mst_prim step 250: {'pi': 0.736328125, 'score': 0.736328125, 'examples_seen': 14127, 'step': 250, 'algorithm': 'mst_prim'}
I0716 00:23:02.825905 128008865113600 run.py:722] (val) algo mst_prim step 300: {'pi': 0.728515625, 'score': 0.728515625, 'examples_seen': 17028, 'step': 300, 'algorithm': 'mst_prim'}
I0716 00:23:04.732645 128008865113600 run.py:722] (val) algo mst_prim step 350: {'pi': 0.7490234375, 'score': 0.7490234375, 'examples_seen': 19885, 'step': 350, 'algorithm': 'mst_prim'}
I0716 00:23:06.610289 128008865113600 run.py:722] (val) algo mst_prim step 400: {'pi': 0.67578125, 'score': 0.67578125, 'examples_seen': 22716, 'step': 400, 'algorithm': 'mst_prim'}
I0716 00:23:08.489339 128008865113600 run.py:722] (val) algo mst_prim step 450: {'pi': 0.83203125, 'score': 0.83203125, 'examples_seen': 25567, 'step': 450, 'algorithm': 'mst_prim'}
I0716 00:23:10.332416 128008865113600 run.py:722] (val) algo mst_prim step 500: {'pi': 0.87109375, 'score': 0.87109375, 'examples_seen': 28356, 'step': 500, 'algorithm': 'mst_prim'}
I0716 00:23:12.181500 128008865113600 run.py:722] (val) algo mst_prim step 550: {'pi': 0.8251953125, 'score': 0.8251953125, 'examples_seen': 31141, 'step': 550, 'algorithm': 'mst_prim'}
I0716 00:23:14.051248 128008865113600 run.py:722] (val) algo mst_prim step 600: {'pi': 0.8486328125, 'score': 0.8486328125, 'examples_seen': 33957, 'step': 600, 'algorithm': 'mst_prim'}
I0716 00:23:15.860730 128008865113600 run.py:722] (val) algo mst_prim step 650: {'pi': 0.833984375, 'score': 0.833984375, 'examples_seen': 36817, 'step': 650, 'algorithm': 'mst_prim'}
I0716 00:23:17.683470 128008865113600 run.py:722] (val) algo mst_prim step 700: {'pi': 0.77734375, 'score': 0.77734375, 'examples_seen': 39664, 'step': 700, 'algorithm': 'mst_prim'}
I0716 00:23:19.507780 128008865113600 run.py:722] (val) algo mst_prim step 750: {'pi': 0.791015625, 'score': 0.791015625, 'examples_seen': 42478, 'step': 750, 'algorithm': 'mst_prim'}
I0716 00:23:21.356092 128008865113600 run.py:722] (val) algo mst_prim step 800: {'pi': 0.8251953125, 'score': 0.8251953125, 'examples_seen': 45235, 'step': 800, 'algorithm': 'mst_prim'}
I0716 00:23:23.171027 128008865113600 run.py:722] (val) algo mst_prim step 850: {'pi': 0.818359375, 'score': 0.818359375, 'examples_seen': 48042, 'step': 850, 'algorithm': 'mst_prim'}
I0716 00:23:25.025474 128008865113600 run.py:722] (val) algo mst_prim step 900: {'pi': 0.837890625, 'score': 0.837890625, 'examples_seen': 50811, 'step': 900, 'algorithm': 'mst_prim'}
I0716 00:23:26.876793 128008865113600 run.py:722] (val) algo mst_prim step 950: {'pi': 0.8720703125, 'score': 0.8720703125, 'examples_seen': 53579, 'step': 950, 'algorithm': 'mst_prim'}
I0716 00:23:28.713370 128008865113600 run.py:722] (val) algo mst_prim step 1000: {'pi': 0.8291015625, 'score': 0.8291015625, 'examples_seen': 56461, 'step': 1000, 'algorithm': 'mst_prim'}
I0716 00:23:30.561402 128008865113600 run.py:722] (val) algo mst_prim step 1050: {'pi': 0.86328125, 'score': 0.86328125, 'examples_seen': 59277, 'step': 1050, 'algorithm': 'mst_prim'}
I0716 00:23:32.375633 128008865113600 run.py:722] (val) algo mst_prim step 1100: {'pi': 0.90234375, 'score': 0.90234375, 'examples_seen': 62110, 'step': 1100, 'algorithm': 'mst_prim'}
I0716 00:23:34.185454 128008865113600 run.py:722] (val) algo mst_prim step 1150: {'pi': 0.8359375, 'score': 0.8359375, 'examples_seen': 64932, 'step': 1150, 'algorithm': 'mst_prim'}
I0716 00:23:35.998260 128008865113600 run.py:722] (val) algo mst_prim step 1200: {'pi': 0.86328125, 'score': 0.86328125, 'examples_seen': 67725, 'step': 1200, 'algorithm': 'mst_prim'}
I0716 00:23:37.820856 128008865113600 run.py:722] (val) algo mst_prim step 1250: {'pi': 0.884765625, 'score': 0.884765625, 'examples_seen': 70522, 'step': 1250, 'algorithm': 'mst_prim'}
I0716 00:23:39.674791 128008865113600 run.py:722] (val) algo mst_prim step 1300: {'pi': 0.8818359375, 'score': 0.8818359375, 'examples_seen': 73301, 'step': 1300, 'algorithm': 'mst_prim'}
I0716 00:23:41.550755 128008865113600 run.py:722] (val) algo mst_prim step 1350: {'pi': 0.84765625, 'score': 0.84765625, 'examples_seen': 76206, 'step': 1350, 'algorithm': 'mst_prim'}
I0716 00:23:43.378791 128008865113600 run.py:722] (val) algo mst_prim step 1400: {'pi': 0.85546875, 'score': 0.85546875, 'examples_seen': 79065, 'step': 1400, 'algorithm': 'mst_prim'}
I0716 00:23:45.203584 128008865113600 run.py:722] (val) algo mst_prim step 1450: {'pi': 0.8955078125, 'score': 0.8955078125, 'examples_seen': 81899, 'step': 1450, 'algorithm': 'mst_prim'}
I0716 00:23:46.988169 128008865113600 run.py:722] (val) algo mst_prim step 1500: {'pi': 0.9228515625, 'score': 0.9228515625, 'examples_seen': 84668, 'step': 1500, 'algorithm': 'mst_prim'}
I0716 00:23:48.820442 128008865113600 run.py:722] (val) algo mst_prim step 1550: {'pi': 0.91796875, 'score': 0.91796875, 'examples_seen': 87452, 'step': 1550, 'algorithm': 'mst_prim'}
I0716 00:23:50.687045 128008865113600 run.py:722] (val) algo mst_prim step 1600: {'pi': 0.8818359375, 'score': 0.8818359375, 'examples_seen': 90243, 'step': 1600, 'algorithm': 'mst_prim'}
I0716 00:23:52.548331 128008865113600 run.py:722] (val) algo mst_prim step 1650: {'pi': 0.822265625, 'score': 0.822265625, 'examples_seen': 93035, 'step': 1650, 'algorithm': 'mst_prim'}
I0716 00:23:54.384067 128008865113600 run.py:722] (val) algo mst_prim step 1700: {'pi': 0.90234375, 'score': 0.90234375, 'examples_seen': 95876, 'step': 1700, 'algorithm': 'mst_prim'}
I0716 00:23:56.216921 128008865113600 run.py:722] (val) algo mst_prim step 1750: {'pi': 0.86328125, 'score': 0.86328125, 'examples_seen': 98698, 'step': 1750, 'algorithm': 'mst_prim'}
I0716 00:23:58.053591 128008865113600 run.py:722] (val) algo mst_prim step 1800: {'pi': 0.908203125, 'score': 0.908203125, 'examples_seen': 101533, 'step': 1800, 'algorithm': 'mst_prim'}
