I0715 23:29:37.217289 127998535931392 run.py:722] (val) algo lcs_length step 0: {'b': 0.162353515625, 'score': 0.162353515625, 'examples_seen': 256, 'step': 0, 'algorithm': 'lcs_length'}
I0715 23:30:47.186937 127998535931392 run.py:722] (val) algo lcs_length step 50: {'b': 0.63330078125, 'score': 0.63330078125, 'examples_seen': 6225, 'step': 50, 'algorithm': 'lcs_length'}
I0715 23:30:50.354404 127998535931392 run.py:722] (val) algo lcs_length step 100: {'b': 0.675537109375, 'score': 0.675537109375, 'examples_seen': 12119, 'step': 100, 'algorithm': 'lcs_length'}
I0715 23:30:53.509959 127998535931392 run.py:722] (val) algo lcs_length step 150: {'b': 0.681884765625, 'score': 0.681884765625, 'examples_seen': 17980, 'step': 150, 'algorithm': 'lcs_length'}
I0715 23:30:56.705393 127998535931392 run.py:722] (val) algo lcs_length step 200: {'b': 0.676025390625, 'score': 0.676025390625, 'examples_seen': 23849, 'step': 200, 'algorithm': 'lcs_length'}
I0715 23:30:59.917692 127998535931392 run.py:722] (val) algo lcs_length step 250: {'b': 0.6806640625, 'score': 0.6806640625, 'examples_seen': 29687, 'step': 250, 'algorithm': 'lcs_length'}
I0715 23:31:03.072199 127998535931392 run.py:722] (val) algo lcs_length step 300: {'b': 0.6806640625, 'score': 0.6806640625, 'examples_seen': 35746, 'step': 300, 'algorithm': 'lcs_length'}
I0715 23:31:06.276417 127998535931392 run.py:722] (val) algo lcs_length step 350: {'b': 0.692138671875, 'score': 0.692138671875, 'examples_seen': 41799, 'step': 350, 'algorithm': 'lcs_length'}
I0715 23:31:09.438631 127998535931392 run.py:722] (val) algo lcs_length step 400: {'b': 0.68896484375, 'score': 0.68896484375, 'examples_seen': 47745, 'step': 400, 'algorithm': 'lcs_length'}
I0715 23:31:12.581555 127998535931392 run.py:722] (val) algo lcs_length step 450: {'b': 0.70263671875, 'score': 0.70263671875, 'examples_seen': 53638, 'step': 450, 'algorithm': 'lcs_length'}
I0715 23:31:15.812800 127998535931392 run.py:722] (val) algo lcs_length step 500: {'b': 0.709716796875, 'score': 0.709716796875, 'examples_seen': 59512, 'step': 500, 'algorithm': 'lcs_length'}
I0715 23:31:18.978845 127998535931392 run.py:722] (val) algo lcs_length step 550: {'b': 0.73486328125, 'score': 0.73486328125, 'examples_seen': 65364, 'step': 550, 'algorithm': 'lcs_length'}
I0715 23:31:22.150751 127998535931392 run.py:722] (val) algo lcs_length step 600: {'b': 0.69140625, 'score': 0.69140625, 'examples_seen': 71216, 'step': 600, 'algorithm': 'lcs_length'}
I0715 23:31:25.303144 127998535931392 run.py:722] (val) algo lcs_length step 650: {'b': 0.805908203125, 'score': 0.805908203125, 'examples_seen': 77288, 'step': 650, 'algorithm': 'lcs_length'}
