I0715 22:36:36.870032 129017870476800 run.py:722] (val) algo heapsort step 0: {'pred': 0.1005859375, 'score': 0.1005859375, 'examples_seen': 16, 'step': 0, 'algorithm': 'heapsort'}
I0715 22:38:24.267736 129017870476800 run.py:722] (val) algo heapsort step 50: {'pred': 0.3203125, 'score': 0.3203125, 'examples_seen': 784, 'step': 50, 'algorithm': 'heapsort'}
I0715 22:38:27.409730 129017870476800 run.py:722] (val) algo heapsort step 100: {'pred': 0.3388671875, 'score': 0.3388671875, 'examples_seen': 1548, 'step': 100, 'algorithm': 'heapsort'}
I0715 22:38:30.594048 129017870476800 run.py:722] (val) algo heapsort step 150: {'pred': 0.3408203125, 'score': 0.3408203125, 'examples_seen': 2335, 'step': 150, 'algorithm': 'heapsort'}
I0715 22:38:33.729291 129017870476800 run.py:722] (val) algo heapsort step 200: {'pred': 0.32421875, 'score': 0.32421875, 'examples_seen': 3091, 'step': 200, 'algorithm': 'heapsort'}
I0715 22:38:36.872493 129017870476800 run.py:722] (val) algo heapsort step 250: {'pred': 0.3173828125, 'score': 0.3173828125, 'examples_seen': 3867, 'step': 250, 'algorithm': 'heapsort'}
I0715 22:38:40.011899 129017870476800 run.py:722] (val) algo heapsort step 300: {'pred': 0.353515625, 'score': 0.353515625, 'examples_seen': 4661, 'step': 300, 'algorithm': 'heapsort'}
I0715 22:38:43.206545 129017870476800 run.py:722] (val) algo heapsort step 350: {'pred': 0.3046875, 'score': 0.3046875, 'examples_seen': 5440, 'step': 350, 'algorithm': 'heapsort'}
I0715 22:38:46.343591 129017870476800 run.py:722] (val) algo heapsort step 400: {'pred': 0.435546875, 'score': 0.435546875, 'examples_seen': 6224, 'step': 400, 'algorithm': 'heapsort'}
I0715 22:38:49.488261 129017870476800 run.py:722] (val) algo heapsort step 450: {'pred': 0.373046875, 'score': 0.373046875, 'examples_seen': 6995, 'step': 450, 'algorithm': 'heapsort'}
I0715 22:38:52.938647 129017870476800 run.py:722] (val) algo heapsort step 500: {'pred': 0.4833984375, 'score': 0.4833984375, 'examples_seen': 7754, 'step': 500, 'algorithm': 'heapsort'}
I0715 22:38:56.118711 129017870476800 run.py:722] (val) algo heapsort step 550: {'pred': 0.412109375, 'score': 0.412109375, 'examples_seen': 8526, 'step': 550, 'algorithm': 'heapsort'}
I0715 22:38:59.273626 129017870476800 run.py:722] (val) algo heapsort step 600: {'pred': 0.435546875, 'score': 0.435546875, 'examples_seen': 9292, 'step': 600, 'algorithm': 'heapsort'}
I0715 22:39:02.441396 129017870476800 run.py:722] (val) algo heapsort step 650: {'pred': 0.443359375, 'score': 0.443359375, 'examples_seen': 10097, 'step': 650, 'algorithm': 'heapsort'}
I0715 22:39:05.590062 129017870476800 run.py:722] (val) algo heapsort step 700: {'pred': 0.4443359375, 'score': 0.4443359375, 'examples_seen': 10890, 'step': 700, 'algorithm': 'heapsort'}
I0715 22:39:08.766716 129017870476800 run.py:722] (val) algo heapsort step 750: {'pred': 0.4501953125, 'score': 0.4501953125, 'examples_seen': 11659, 'step': 750, 'algorithm': 'heapsort'}
I0715 22:39:11.907188 129017870476800 run.py:722] (val) algo heapsort step 800: {'pred': 0.4765625, 'score': 0.4765625, 'examples_seen': 12433, 'step': 800, 'algorithm': 'heapsort'}
I0715 22:39:15.010339 129017870476800 run.py:722] (val) algo heapsort step 850: {'pred': 0.4345703125, 'score': 0.4345703125, 'examples_seen': 13204, 'step': 850, 'algorithm': 'heapsort'}
I0715 22:39:18.139850 129017870476800 run.py:722] (val) algo heapsort step 900: {'pred': 0.42578125, 'score': 0.42578125, 'examples_seen': 13958, 'step': 900, 'algorithm': 'heapsort'}
I0715 22:39:21.335750 129017870476800 run.py:722] (val) algo heapsort step 950: {'pred': 0.5185546875, 'score': 0.5185546875, 'examples_seen': 14724, 'step': 950, 'algorithm': 'heapsort'}
I0715 22:39:24.559894 129017870476800 run.py:722] (val) algo heapsort step 1000: {'pred': 0.58984375, 'score': 0.58984375, 'examples_seen': 15534, 'step': 1000, 'algorithm': 'heapsort'}
I0715 22:39:27.744605 129017870476800 run.py:722] (val) algo heapsort step 1050: {'pred': 0.591796875, 'score': 0.591796875, 'examples_seen': 16334, 'step': 1050, 'algorithm': 'heapsort'}
I0715 22:39:30.913674 129017870476800 run.py:722] (val) algo heapsort step 1100: {'pred': 0.568359375, 'score': 0.568359375, 'examples_seen': 17112, 'step': 1100, 'algorithm': 'heapsort'}
I0715 22:39:34.018240 129017870476800 run.py:722] (val) algo heapsort step 1150: {'pred': 0.5673828125, 'score': 0.5673828125, 'examples_seen': 17875, 'step': 1150, 'algorithm': 'heapsort'}
I0715 22:39:37.187462 129017870476800 run.py:722] (val) algo heapsort step 1200: {'pred': 0.59375, 'score': 0.59375, 'examples_seen': 18637, 'step': 1200, 'algorithm': 'heapsort'}
I0715 22:39:40.376770 129017870476800 run.py:722] (val) algo heapsort step 1250: {'pred': 0.494140625, 'score': 0.494140625, 'examples_seen': 19405, 'step': 1250, 'algorithm': 'heapsort'}
I0715 22:39:43.502444 129017870476800 run.py:722] (val) algo heapsort step 1300: {'pred': 0.513671875, 'score': 0.513671875, 'examples_seen': 20168, 'step': 1300, 'algorithm': 'heapsort'}
I0715 22:39:46.697929 129017870476800 run.py:722] (val) algo heapsort step 1350: {'pred': 0.58984375, 'score': 0.58984375, 'examples_seen': 20979, 'step': 1350, 'algorithm': 'heapsort'}
I0715 22:39:49.929889 129017870476800 run.py:722] (val) algo heapsort step 1400: {'pred': 0.546875, 'score': 0.546875, 'examples_seen': 21765, 'step': 1400, 'algorithm': 'heapsort'}
I0715 22:39:53.086354 129017870476800 run.py:722] (val) algo heapsort step 1450: {'pred': 0.609375, 'score': 0.609375, 'examples_seen': 22539, 'step': 1450, 'algorithm': 'heapsort'}
I0715 22:39:56.249459 129017870476800 run.py:722] (val) algo heapsort step 1500: {'pred': 0.5205078125, 'score': 0.5205078125, 'examples_seen': 23308, 'step': 1500, 'algorithm': 'heapsort'}
I0715 22:39:59.376785 129017870476800 run.py:722] (val) algo heapsort step 1550: {'pred': 0.548828125, 'score': 0.548828125, 'examples_seen': 24080, 'step': 1550, 'algorithm': 'heapsort'}
I0715 22:40:02.516916 129017870476800 run.py:722] (val) algo heapsort step 1600: {'pred': 0.615234375, 'score': 0.615234375, 'examples_seen': 24844, 'step': 1600, 'algorithm': 'heapsort'}
I0715 22:40:05.733300 129017870476800 run.py:722] (val) algo heapsort step 1650: {'pred': 0.5751953125, 'score': 0.5751953125, 'examples_seen': 25612, 'step': 1650, 'algorithm': 'heapsort'}
I0715 22:40:08.937029 129017870476800 run.py:722] (val) algo heapsort step 1700: {'pred': 0.51171875, 'score': 0.51171875, 'examples_seen': 26424, 'step': 1700, 'algorithm': 'heapsort'}
