I0715 20:52:41.173191 136992243320320 run.py:722] (val) algo bellman_ford step 0: {'pi': 0.3876953125, 'score': 0.3876953125, 'examples_seen': 159, 'step': 0, 'algorithm': 'bellman_ford'}
I0715 20:54:13.761260 136992243320320 run.py:722] (val) algo bellman_ford step 50: {'pi': 0.73046875, 'score': 0.73046875, 'examples_seen': 5709, 'step': 50, 'algorithm': 'bellman_ford'}
I0715 20:54:16.752310 136992243320320 run.py:722] (val) algo bellman_ford step 100: {'pi': 0.794921875, 'score': 0.794921875, 'examples_seen': 11237, 'step': 100, 'algorithm': 'bellman_ford'}
I0715 20:54:19.769368 136992243320320 run.py:722] (val) algo bellman_ford step 150: {'pi': 0.8193359375, 'score': 0.8193359375, 'examples_seen': 16757, 'step': 150, 'algorithm': 'bellman_ford'}
I0715 20:54:22.721022 136992243320320 run.py:722] (val) algo bellman_ford step 200: {'pi': 0.859375, 'score': 0.859375, 'examples_seen': 22307, 'step': 200, 'algorithm': 'bellman_ford'}
I0715 20:54:25.677192 136992243320320 run.py:722] (val) algo bellman_ford step 250: {'pi': 0.884765625, 'score': 0.884765625, 'examples_seen': 27783, 'step': 250, 'algorithm': 'bellman_ford'}
I0715 20:54:28.580061 136992243320320 run.py:722] (val) algo bellman_ford step 300: {'pi': 0.90625, 'score': 0.90625, 'examples_seen': 33428, 'step': 300, 'algorithm': 'bellman_ford'}
I0715 20:54:31.603469 136992243320320 run.py:722] (val) algo bellman_ford step 350: {'pi': 0.8271484375, 'score': 0.8271484375, 'examples_seen': 39018, 'step': 350, 'algorithm': 'bellman_ford'}
I0715 20:54:34.556340 136992243320320 run.py:722] (val) algo bellman_ford step 400: {'pi': 0.8876953125, 'score': 0.8876953125, 'examples_seen': 44533, 'step': 400, 'algorithm': 'bellman_ford'}
I0715 20:54:37.468741 136992243320320 run.py:722] (val) algo bellman_ford step 450: {'pi': 0.8916015625, 'score': 0.8916015625, 'examples_seen': 49952, 'step': 450, 'algorithm': 'bellman_ford'}
I0715 20:54:40.319097 136992243320320 run.py:722] (val) algo bellman_ford step 500: {'pi': 0.908203125, 'score': 0.908203125, 'examples_seen': 55377, 'step': 500, 'algorithm': 'bellman_ford'}
