I0715 23:58:27.821570 132821147629056 run.py:722] (val) algo minimum step 0: {'min': 0.123046875, 'score': 0.123046875, 'examples_seen': 80, 'step': 0, 'algorithm': 'minimum'}
I0715 23:59:32.427624 132821147629056 run.py:722] (val) algo minimum step 50: {'min': 0.69775390625, 'score': 0.69775390625, 'examples_seen': 2640, 'step': 50, 'algorithm': 'minimum'}
I0715 23:59:34.162227 132821147629056 run.py:722] (val) algo minimum step 100: {'min': 0.5634765625, 'score': 0.5634765625, 'examples_seen': 5200, 'step': 100, 'algorithm': 'minimum'}
I0715 23:59:35.885226 132821147629056 run.py:722] (val) algo minimum step 150: {'min': 0.888671875, 'score': 0.888671875, 'examples_seen': 7744, 'step': 150, 'algorithm': 'minimum'}
I0715 23:59:37.627919 132821147629056 run.py:722] (val) algo minimum step 200: {'min': 0.8994140625, 'score': 0.8994140625, 'examples_seen': 10288, 'step': 200, 'algorithm': 'minimum'}
I0715 23:59:39.383134 132821147629056 run.py:722] (val) algo minimum step 250: {'min': 0.88037109375, 'score': 0.88037109375, 'examples_seen': 12816, 'step': 250, 'algorithm': 'minimum'}
I0715 23:59:41.158137 132821147629056 run.py:722] (val) algo minimum step 300: {'min': 0.875, 'score': 0.875, 'examples_seen': 15472, 'step': 300, 'algorithm': 'minimum'}
I0715 23:59:42.894185 132821147629056 run.py:722] (val) algo minimum step 350: {'min': 0.81884765625, 'score': 0.81884765625, 'examples_seen': 18080, 'step': 350, 'algorithm': 'minimum'}
I0715 23:59:44.616821 132821147629056 run.py:722] (val) algo minimum step 400: {'min': 0.820068359375, 'score': 0.820068359375, 'examples_seen': 20640, 'step': 400, 'algorithm': 'minimum'}
I0715 23:59:46.329749 132821147629056 run.py:722] (val) algo minimum step 450: {'min': 0.857666015625, 'score': 0.857666015625, 'examples_seen': 23216, 'step': 450, 'algorithm': 'minimum'}
I0715 23:59:48.059046 132821147629056 run.py:722] (val) algo minimum step 500: {'min': 0.947265625, 'score': 0.947265625, 'examples_seen': 25744, 'step': 500, 'algorithm': 'minimum'}
I0715 23:59:49.797787 132821147629056 run.py:722] (val) algo minimum step 550: {'min': 0.85791015625, 'score': 0.85791015625, 'examples_seen': 28288, 'step': 550, 'algorithm': 'minimum'}
I0715 23:59:51.545686 132821147629056 run.py:722] (val) algo minimum step 600: {'min': 0.9599609375, 'score': 0.9599609375, 'examples_seen': 30832, 'step': 600, 'algorithm': 'minimum'}
I0715 23:59:53.297144 132821147629056 run.py:722] (val) algo minimum step 650: {'min': 0.90283203125, 'score': 0.90283203125, 'examples_seen': 33456, 'step': 650, 'algorithm': 'minimum'}
I0715 23:59:55.032594 132821147629056 run.py:722] (val) algo minimum step 700: {'min': 0.85986328125, 'score': 0.85986328125, 'examples_seen': 36080, 'step': 700, 'algorithm': 'minimum'}
I0715 23:59:56.761975 132821147629056 run.py:722] (val) algo minimum step 750: {'min': 0.904296875, 'score': 0.904296875, 'examples_seen': 38640, 'step': 750, 'algorithm': 'minimum'}
I0715 23:59:58.496001 132821147629056 run.py:722] (val) algo minimum step 800: {'min': 0.895751953125, 'score': 0.895751953125, 'examples_seen': 41216, 'step': 800, 'algorithm': 'minimum'}
I0716 00:00:00.219640 132821147629056 run.py:722] (val) algo minimum step 850: {'min': 0.914794921875, 'score': 0.914794921875, 'examples_seen': 43760, 'step': 850, 'algorithm': 'minimum'}
I0716 00:00:01.957482 132821147629056 run.py:722] (val) algo minimum step 900: {'min': 0.96240234375, 'score': 0.96240234375, 'examples_seen': 46320, 'step': 900, 'algorithm': 'minimum'}
I0716 00:00:03.709511 132821147629056 run.py:722] (val) algo minimum step 950: {'min': 0.910400390625, 'score': 0.910400390625, 'examples_seen': 48832, 'step': 950, 'algorithm': 'minimum'}
I0716 00:00:05.452578 132821147629056 run.py:722] (val) algo minimum step 1000: {'min': 0.855224609375, 'score': 0.855224609375, 'examples_seen': 51488, 'step': 1000, 'algorithm': 'minimum'}
I0716 00:00:07.189644 132821147629056 run.py:722] (val) algo minimum step 1050: {'min': 0.958251953125, 'score': 0.958251953125, 'examples_seen': 54080, 'step': 1050, 'algorithm': 'minimum'}
I0716 00:00:08.920431 132821147629056 run.py:722] (val) algo minimum step 1100: {'min': 0.89306640625, 'score': 0.89306640625, 'examples_seen': 56656, 'step': 1100, 'algorithm': 'minimum'}
I0716 00:00:10.656735 132821147629056 run.py:722] (val) algo minimum step 1150: {'min': 0.96728515625, 'score': 0.96728515625, 'examples_seen': 59232, 'step': 1150, 'algorithm': 'minimum'}
I0716 00:00:12.389882 132821147629056 run.py:722] (val) algo minimum step 1200: {'min': 0.92138671875, 'score': 0.92138671875, 'examples_seen': 61744, 'step': 1200, 'algorithm': 'minimum'}
I0716 00:00:14.120648 132821147629056 run.py:722] (val) algo minimum step 1250: {'min': 0.936767578125, 'score': 0.936767578125, 'examples_seen': 64304, 'step': 1250, 'algorithm': 'minimum'}
I0716 00:00:15.850055 132821147629056 run.py:722] (val) algo minimum step 1300: {'min': 0.956787109375, 'score': 0.956787109375, 'examples_seen': 66848, 'step': 1300, 'algorithm': 'minimum'}
I0716 00:00:17.589944 132821147629056 run.py:722] (val) algo minimum step 1350: {'min': 0.947265625, 'score': 0.947265625, 'examples_seen': 69472, 'step': 1350, 'algorithm': 'minimum'}
I0716 00:00:19.335162 132821147629056 run.py:722] (val) algo minimum step 1400: {'min': 0.938720703125, 'score': 0.938720703125, 'examples_seen': 72096, 'step': 1400, 'algorithm': 'minimum'}
I0716 00:00:21.060006 132821147629056 run.py:722] (val) algo minimum step 1450: {'min': 0.965576171875, 'score': 0.965576171875, 'examples_seen': 74656, 'step': 1450, 'algorithm': 'minimum'}
I0716 00:00:22.785773 132821147629056 run.py:722] (val) algo minimum step 1500: {'min': 0.97705078125, 'score': 0.97705078125, 'examples_seen': 77216, 'step': 1500, 'algorithm': 'minimum'}
I0716 00:00:24.525892 132821147629056 run.py:722] (val) algo minimum step 1550: {'min': 0.9619140625, 'score': 0.9619140625, 'examples_seen': 79760, 'step': 1550, 'algorithm': 'minimum'}
I0716 00:00:26.256197 132821147629056 run.py:722] (val) algo minimum step 1600: {'min': 0.97705078125, 'score': 0.97705078125, 'examples_seen': 82304, 'step': 1600, 'algorithm': 'minimum'}
I0716 00:00:27.977514 132821147629056 run.py:722] (val) algo minimum step 1650: {'min': 0.9775390625, 'score': 0.9775390625, 'examples_seen': 84832, 'step': 1650, 'algorithm': 'minimum'}
