I0716 01:51:28.190580 123750057129472 run.py:722] (val) algo topological_sort step 0: {'topo': 0.1552734375, 'topo_head': 0.09375, 'score': 0.12451171875, 'examples_seen': 19, 'step': 0, 'algorithm': 'topological_sort'}
I0716 01:53:09.016711 123750057129472 run.py:722] (val) algo topological_sort step 50: {'topo': 0.1435546875, 'topo_head': 0.875, 'score': 0.50927734375, 'examples_seen': 987, 'step': 50, 'algorithm': 'topological_sort'}
I0716 01:53:10.368545 123750057129472 run.py:722] (val) algo topological_sort step 100: {'topo': 0.3193359375, 'topo_head': 0.984375, 'score': 0.65185546875, 'examples_seen': 1935, 'step': 100, 'algorithm': 'topological_sort'}
I0716 01:53:11.708454 123750057129472 run.py:722] (val) algo topological_sort step 150: {'topo': 0.3779296875, 'topo_head': 0.9375, 'score': 0.65771484375, 'examples_seen': 2878, 'step': 150, 'algorithm': 'topological_sort'}
I0716 01:53:13.062995 123750057129472 run.py:722] (val) algo topological_sort step 200: {'topo': 0.3681640625, 'topo_head': 0.96875, 'score': 0.66845703125, 'examples_seen': 3826, 'step': 200, 'algorithm': 'topological_sort'}
I0716 01:53:14.437959 123750057129472 run.py:722] (val) algo topological_sort step 250: {'topo': 0.3876953125, 'topo_head': 0.90625, 'score': 0.64697265625, 'examples_seen': 4762, 'step': 250, 'algorithm': 'topological_sort'}
I0716 01:53:15.801685 123750057129472 run.py:722] (val) algo topological_sort step 300: {'topo': 0.4619140625, 'topo_head': 0.84375, 'score': 0.65283203125, 'examples_seen': 5743, 'step': 300, 'algorithm': 'topological_sort'}
I0716 01:53:17.134815 123750057129472 run.py:722] (val) algo topological_sort step 350: {'topo': 0.43359375, 'topo_head': 0.90625, 'score': 0.669921875, 'examples_seen': 6705, 'step': 350, 'algorithm': 'topological_sort'}
I0716 01:53:18.468319 123750057129472 run.py:722] (val) algo topological_sort step 400: {'topo': 0.4482421875, 'topo_head': 0.9375, 'score': 0.69287109375, 'examples_seen': 7662, 'step': 400, 'algorithm': 'topological_sort'}
I0716 01:53:19.804752 123750057129472 run.py:722] (val) algo topological_sort step 450: {'topo': 0.34765625, 'topo_head': 0.84375, 'score': 0.595703125, 'examples_seen': 8603, 'step': 450, 'algorithm': 'topological_sort'}
I0716 01:53:21.136580 123750057129472 run.py:722] (val) algo topological_sort step 500: {'topo': 0.3349609375, 'topo_head': 0.953125, 'score': 0.64404296875, 'examples_seen': 9550, 'step': 500, 'algorithm': 'topological_sort'}
I0716 01:53:22.468036 123750057129472 run.py:722] (val) algo topological_sort step 550: {'topo': 0.40625, 'topo_head': 0.859375, 'score': 0.6328125, 'examples_seen': 10489, 'step': 550, 'algorithm': 'topological_sort'}
I0716 01:53:23.852839 123750057129472 run.py:722] (val) algo topological_sort step 600: {'topo': 0.4921875, 'topo_head': 0.984375, 'score': 0.73828125, 'examples_seen': 11426, 'step': 600, 'algorithm': 'topological_sort'}
I0716 01:53:25.257747 123750057129472 run.py:722] (val) algo topological_sort step 650: {'topo': 0.3310546875, 'topo_head': 0.90625, 'score': 0.61865234375, 'examples_seen': 12410, 'step': 650, 'algorithm': 'topological_sort'}
I0716 01:53:26.612895 123750057129472 run.py:722] (val) algo topological_sort step 700: {'topo': 0.4013671875, 'topo_head': 0.84375, 'score': 0.62255859375, 'examples_seen': 13378, 'step': 700, 'algorithm': 'topological_sort'}
I0716 01:53:27.908802 123750057129472 run.py:722] (val) algo topological_sort step 750: {'topo': 0.4990234375, 'topo_head': 0.890625, 'score': 0.69482421875, 'examples_seen': 14331, 'step': 750, 'algorithm': 'topological_sort'}
I0716 01:53:29.232380 123750057129472 run.py:722] (val) algo topological_sort step 800: {'topo': 0.4345703125, 'topo_head': 0.90625, 'score': 0.67041015625, 'examples_seen': 15276, 'step': 800, 'algorithm': 'topological_sort'}
I0716 01:53:30.566067 123750057129472 run.py:722] (val) algo topological_sort step 850: {'topo': 0.4013671875, 'topo_head': 0.875, 'score': 0.63818359375, 'examples_seen': 16220, 'step': 850, 'algorithm': 'topological_sort'}
I0716 01:53:31.949223 123750057129472 run.py:722] (val) algo topological_sort step 900: {'topo': 0.482421875, 'topo_head': 0.984375, 'score': 0.7333984375, 'examples_seen': 17169, 'step': 900, 'algorithm': 'topological_sort'}
I0716 01:53:33.299586 123750057129472 run.py:722] (val) algo topological_sort step 950: {'topo': 0.5380859375, 'topo_head': 0.90625, 'score': 0.72216796875, 'examples_seen': 18108, 'step': 950, 'algorithm': 'topological_sort'}
I0716 01:53:34.649399 123750057129472 run.py:722] (val) algo topological_sort step 1000: {'topo': 0.4892578125, 'topo_head': 0.90625, 'score': 0.69775390625, 'examples_seen': 19087, 'step': 1000, 'algorithm': 'topological_sort'}
I0716 01:53:35.971768 123750057129472 run.py:722] (val) algo topological_sort step 1050: {'topo': 0.40625, 'topo_head': 0.90625, 'score': 0.65625, 'examples_seen': 20043, 'step': 1050, 'algorithm': 'topological_sort'}
I0716 01:53:37.321976 123750057129472 run.py:722] (val) algo topological_sort step 1100: {'topo': 0.4921875, 'topo_head': 0.96875, 'score': 0.73046875, 'examples_seen': 21003, 'step': 1100, 'algorithm': 'topological_sort'}
I0716 01:53:38.692676 123750057129472 run.py:722] (val) algo topological_sort step 1150: {'topo': 0.4990234375, 'topo_head': 1.0, 'score': 0.74951171875, 'examples_seen': 21957, 'step': 1150, 'algorithm': 'topological_sort'}
I0716 01:53:40.039578 123750057129472 run.py:722] (val) algo topological_sort step 1200: {'topo': 0.4931640625, 'topo_head': 0.953125, 'score': 0.72314453125, 'examples_seen': 22902, 'step': 1200, 'algorithm': 'topological_sort'}
I0716 01:53:41.392324 123750057129472 run.py:722] (val) algo topological_sort step 1250: {'topo': 0.521484375, 'topo_head': 0.984375, 'score': 0.7529296875, 'examples_seen': 23842, 'step': 1250, 'algorithm': 'topological_sort'}
I0716 01:53:42.785464 123750057129472 run.py:722] (val) algo topological_sort step 1300: {'topo': 0.56640625, 'topo_head': 0.96875, 'score': 0.767578125, 'examples_seen': 24780, 'step': 1300, 'algorithm': 'topological_sort'}
I0716 01:53:44.195075 123750057129472 run.py:722] (val) algo topological_sort step 1350: {'topo': 0.4150390625, 'topo_head': 0.921875, 'score': 0.66845703125, 'examples_seen': 25755, 'step': 1350, 'algorithm': 'topological_sort'}
I0716 01:53:45.529046 123750057129472 run.py:722] (val) algo topological_sort step 1400: {'topo': 0.4501953125, 'topo_head': 1.0, 'score': 0.72509765625, 'examples_seen': 26726, 'step': 1400, 'algorithm': 'topological_sort'}
