I0715 21:35:50.119848 129309696415232 run.py:722] (val) algo bubble_sort step 0: {'pred': 0.16796875, 'score': 0.16796875, 'examples_seen': 64, 'step': 0, 'algorithm': 'bubble_sort'}
I0715 21:37:33.382229 129309696415232 run.py:722] (val) algo bubble_sort step 50: {'pred': 0.39453125, 'score': 0.39453125, 'examples_seen': 1744, 'step': 50, 'algorithm': 'bubble_sort'}
I0715 21:37:37.148000 129309696415232 run.py:722] (val) algo bubble_sort step 100: {'pred': 0.4931640625, 'score': 0.4931640625, 'examples_seen': 3408, 'step': 100, 'algorithm': 'bubble_sort'}
I0715 21:37:40.883374 129309696415232 run.py:722] (val) algo bubble_sort step 150: {'pred': 0.4365234375, 'score': 0.4365234375, 'examples_seen': 5056, 'step': 150, 'algorithm': 'bubble_sort'}
I0715 21:37:44.665350 129309696415232 run.py:722] (val) algo bubble_sort step 200: {'pred': 0.423828125, 'score': 0.423828125, 'examples_seen': 6720, 'step': 200, 'algorithm': 'bubble_sort'}
I0715 21:37:48.387440 129309696415232 run.py:722] (val) algo bubble_sort step 250: {'pred': 0.4833984375, 'score': 0.4833984375, 'examples_seen': 8368, 'step': 250, 'algorithm': 'bubble_sort'}
I0715 21:37:52.296226 129309696415232 run.py:722] (val) algo bubble_sort step 300: {'pred': 0.4453125, 'score': 0.4453125, 'examples_seen': 10176, 'step': 300, 'algorithm': 'bubble_sort'}
I0715 21:37:56.115919 129309696415232 run.py:722] (val) algo bubble_sort step 350: {'pred': 0.4736328125, 'score': 0.4736328125, 'examples_seen': 11904, 'step': 350, 'algorithm': 'bubble_sort'}
I0715 21:37:59.836572 129309696415232 run.py:722] (val) algo bubble_sort step 400: {'pred': 0.5029296875, 'score': 0.5029296875, 'examples_seen': 13568, 'step': 400, 'algorithm': 'bubble_sort'}
I0715 21:38:03.633583 129309696415232 run.py:722] (val) algo bubble_sort step 450: {'pred': 0.51171875, 'score': 0.51171875, 'examples_seen': 15264, 'step': 450, 'algorithm': 'bubble_sort'}
I0715 21:38:07.386752 129309696415232 run.py:722] (val) algo bubble_sort step 500: {'pred': 0.6806640625, 'score': 0.6806640625, 'examples_seen': 16912, 'step': 500, 'algorithm': 'bubble_sort'}
I0715 21:38:11.112205 129309696415232 run.py:722] (val) algo bubble_sort step 550: {'pred': 0.68359375, 'score': 0.68359375, 'examples_seen': 18576, 'step': 550, 'algorithm': 'bubble_sort'}
I0715 21:38:14.963166 129309696415232 run.py:722] (val) algo bubble_sort step 600: {'pred': 0.6826171875, 'score': 0.6826171875, 'examples_seen': 20224, 'step': 600, 'algorithm': 'bubble_sort'}
I0715 21:38:18.853083 129309696415232 run.py:722] (val) algo bubble_sort step 650: {'pred': 0.669921875, 'score': 0.669921875, 'examples_seen': 22016, 'step': 650, 'algorithm': 'bubble_sort'}
I0715 21:38:22.656263 129309696415232 run.py:722] (val) algo bubble_sort step 700: {'pred': 0.65625, 'score': 0.65625, 'examples_seen': 23728, 'step': 700, 'algorithm': 'bubble_sort'}
I0715 21:38:26.410566 129309696415232 run.py:722] (val) algo bubble_sort step 750: {'pred': 0.6328125, 'score': 0.6328125, 'examples_seen': 25408, 'step': 750, 'algorithm': 'bubble_sort'}
I0715 21:38:30.160591 129309696415232 run.py:722] (val) algo bubble_sort step 800: {'pred': 0.6748046875, 'score': 0.6748046875, 'examples_seen': 27088, 'step': 800, 'algorithm': 'bubble_sort'}
I0715 21:38:33.887580 129309696415232 run.py:722] (val) algo bubble_sort step 850: {'pred': 0.7548828125, 'score': 0.7548828125, 'examples_seen': 28752, 'step': 850, 'algorithm': 'bubble_sort'}
I0715 21:38:37.707639 129309696415232 run.py:722] (val) algo bubble_sort step 900: {'pred': 0.6142578125, 'score': 0.6142578125, 'examples_seen': 30432, 'step': 900, 'algorithm': 'bubble_sort'}
I0715 21:38:41.457745 129309696415232 run.py:722] (val) algo bubble_sort step 950: {'pred': 0.783203125, 'score': 0.783203125, 'examples_seen': 32080, 'step': 950, 'algorithm': 'bubble_sort'}
I0715 21:38:45.355161 129309696415232 run.py:722] (val) algo bubble_sort step 1000: {'pred': 0.783203125, 'score': 0.783203125, 'examples_seen': 33872, 'step': 1000, 'algorithm': 'bubble_sort'}
I0715 21:38:49.125861 129309696415232 run.py:722] (val) algo bubble_sort step 1050: {'pred': 0.6982421875, 'score': 0.6982421875, 'examples_seen': 35568, 'step': 1050, 'algorithm': 'bubble_sort'}
I0715 21:38:52.894758 129309696415232 run.py:722] (val) algo bubble_sort step 1100: {'pred': 0.736328125, 'score': 0.736328125, 'examples_seen': 37264, 'step': 1100, 'algorithm': 'bubble_sort'}
I0715 21:38:56.655189 129309696415232 run.py:722] (val) algo bubble_sort step 1150: {'pred': 0.7275390625, 'score': 0.7275390625, 'examples_seen': 38928, 'step': 1150, 'algorithm': 'bubble_sort'}
I0715 21:39:00.437548 129309696415232 run.py:722] (val) algo bubble_sort step 1200: {'pred': 0.6845703125, 'score': 0.6845703125, 'examples_seen': 40576, 'step': 1200, 'algorithm': 'bubble_sort'}
I0715 21:39:04.195699 129309696415232 run.py:722] (val) algo bubble_sort step 1250: {'pred': 0.7470703125, 'score': 0.7470703125, 'examples_seen': 42240, 'step': 1250, 'algorithm': 'bubble_sort'}
