I0716 00:38:54.210824 133954050594304 run.py:722] (val) algo optimal_bst step 0: {'root': 0.477238321799308, 'score': 0.477238321799308, 'examples_seen': 64, 'step': 0, 'algorithm': 'optimal_bst'}
I0716 00:40:34.134645 133954050594304 run.py:722] (val) algo optimal_bst step 50: {'root': 0.5916955017301038, 'score': 0.5916955017301038, 'examples_seen': 2080, 'step': 50, 'algorithm': 'optimal_bst'}
I0716 00:40:37.005919 133954050594304 run.py:722] (val) algo optimal_bst step 100: {'root': 0.5997512975778547, 'score': 0.5997512975778547, 'examples_seen': 4064, 'step': 100, 'algorithm': 'optimal_bst'}
I0716 00:40:39.934818 133954050594304 run.py:722] (val) algo optimal_bst step 150: {'root': 0.7566500865051903, 'score': 0.7566500865051903, 'examples_seen': 6016, 'step': 150, 'algorithm': 'optimal_bst'}
I0716 00:40:42.886010 133954050594304 run.py:722] (val) algo optimal_bst step 200: {'root': 0.8207720588235294, 'score': 0.8207720588235294, 'examples_seen': 8016, 'step': 200, 'algorithm': 'optimal_bst'}
I0716 00:40:45.909281 133954050594304 run.py:722] (val) algo optimal_bst step 250: {'root': 0.8422902249134948, 'score': 0.8422902249134948, 'examples_seen': 9952, 'step': 250, 'algorithm': 'optimal_bst'}
I0716 00:40:48.811995 133954050594304 run.py:722] (val) algo optimal_bst step 300: {'root': 0.8614294982698962, 'score': 0.8614294982698962, 'examples_seen': 12000, 'step': 300, 'algorithm': 'optimal_bst'}
I0716 00:40:51.688876 133954050594304 run.py:722] (val) algo optimal_bst step 350: {'root': 0.8349913494809689, 'score': 0.8349913494809689, 'examples_seen': 14032, 'step': 350, 'algorithm': 'optimal_bst'}
I0716 00:40:54.544763 133954050594304 run.py:722] (val) algo optimal_bst step 400: {'root': 0.8355320069204152, 'score': 0.8355320069204152, 'examples_seen': 16000, 'step': 400, 'algorithm': 'optimal_bst'}
I0716 00:40:57.394540 133954050594304 run.py:722] (val) algo optimal_bst step 450: {'root': 0.834234429065744, 'score': 0.834234429065744, 'examples_seen': 18000, 'step': 450, 'algorithm': 'optimal_bst'}
I0716 00:41:00.282478 133954050594304 run.py:722] (val) algo optimal_bst step 500: {'root': 0.8759191176470589, 'score': 0.8759191176470589, 'examples_seen': 19952, 'step': 500, 'algorithm': 'optimal_bst'}
I0716 00:41:03.223991 133954050594304 run.py:722] (val) algo optimal_bst step 550: {'root': 0.893760813148789, 'score': 0.893760813148789, 'examples_seen': 21920, 'step': 550, 'algorithm': 'optimal_bst'}
I0716 00:41:06.240375 133954050594304 run.py:722] (val) algo optimal_bst step 600: {'root': 0.8699178200692042, 'score': 0.8699178200692042, 'examples_seen': 23904, 'step': 600, 'algorithm': 'optimal_bst'}
I0716 00:41:09.129312 133954050594304 run.py:722] (val) algo optimal_bst step 650: {'root': 0.8885164359861591, 'score': 0.8885164359861591, 'examples_seen': 25920, 'step': 650, 'algorithm': 'optimal_bst'}
