{'in_hull': 0.43545279383429675, 'score': 0.43545279383429675, 'examples_seen': 48, 'step': 0, 'algorithm': 'graham_scan'}
{'in_hull': 0.7360406091370559, 'score': 0.7360406091370559, 'examples_seen': 1549, 'step': 50, 'algorithm': 'graham_scan'}
{'in_hull': 0.7733333333333332, 'score': 0.7733333333333332, 'examples_seen': 3035, 'step': 100, 'algorithm': 'graham_scan'}
{'in_hull': 0.8589473684210527, 'score': 0.8589473684210527, 'examples_seen': 4498, 'step': 150, 'algorithm': 'graham_scan'}
{'in_hull': 0.8612021857923498, 'score': 0.8612021857923498, 'examples_seen': 5976, 'step': 200, 'algorithm': 'graham_scan'}
{'in_hull': 0.8840262582056894, 'score': 0.8840262582056894, 'examples_seen': 7443, 'step': 250, 'algorithm': 'graham_scan'}
{'in_hull': 0.9126819126819127, 'score': 0.9126819126819127, 'examples_seen': 8960, 'step': 300, 'algorithm': 'graham_scan'}
{'in_hull': 0.9023255813953488, 'score': 0.9023255813953488, 'examples_seen': 10476, 'step': 350, 'algorithm': 'graham_scan'}
{'in_hull': 0.9279475982532751, 'score': 0.9279475982532751, 'examples_seen': 11956, 'step': 400, 'algorithm': 'graham_scan'}
{'in_hull': 0.9386056191467221, 'score': 0.9386056191467221, 'examples_seen': 13446, 'step': 450, 'algorithm': 'graham_scan'}
{'in_hull': 0.9220917822838848, 'score': 0.9220917822838848, 'examples_seen': 14906, 'step': 500, 'algorithm': 'graham_scan'}
{'in_hull': 0.9211045364891519, 'score': 0.9211045364891519, 'examples_seen': 16387, 'step': 550, 'algorithm': 'graham_scan'}
{'in_hull': 0.9479392624728851, 'score': 0.9479392624728851, 'examples_seen': 17849, 'step': 600, 'algorithm': 'graham_scan'}
{'in_hull': 0.9439153439153439, 'score': 0.9439153439153439, 'examples_seen': 19364, 'step': 650, 'algorithm': 'graham_scan'}
{'in_hull': 0.9224318658280923, 'score': 0.9224318658280923, 'examples_seen': 20869, 'step': 700, 'algorithm': 'graham_scan'}
