I0716 10:48:11.247673 137961844098560 run.py:722] (val) algo optimal_bst step 0: {'root': 0.5055147058823529, 'score': 0.5055147058823529, 'examples_seen': 64, 'step': 0, 'algorithm': 'optimal_bst'}
I0716 10:49:51.498093 137961844098560 run.py:722] (val) algo optimal_bst step 50: {'root': 0.6066176470588235, 'score': 0.6066176470588235, 'examples_seen': 2080, 'step': 50, 'algorithm': 'optimal_bst'}
I0716 10:49:54.469129 137961844098560 run.py:722] (val) algo optimal_bst step 100: {'root': 0.6773356401384083, 'score': 0.6773356401384083, 'examples_seen': 4064, 'step': 100, 'algorithm': 'optimal_bst'}
I0716 10:49:57.484036 137961844098560 run.py:722] (val) algo optimal_bst step 150: {'root': 0.7880082179930796, 'score': 0.7880082179930796, 'examples_seen': 6016, 'step': 150, 'algorithm': 'optimal_bst'}
I0716 10:50:00.524936 137961844098560 run.py:722] (val) algo optimal_bst step 200: {'root': 0.7787089100346021, 'score': 0.7787089100346021, 'examples_seen': 8016, 'step': 200, 'algorithm': 'optimal_bst'}
I0716 10:50:03.621313 137961844098560 run.py:722] (val) algo optimal_bst step 250: {'root': 0.7827638408304498, 'score': 0.7827638408304498, 'examples_seen': 9952, 'step': 250, 'algorithm': 'optimal_bst'}
I0716 10:50:06.593855 137961844098560 run.py:722] (val) algo optimal_bst step 300: {'root': 0.7648140138408305, 'score': 0.7648140138408305, 'examples_seen': 12000, 'step': 300, 'algorithm': 'optimal_bst'}
I0716 10:50:09.533462 137961844098560 run.py:722] (val) algo optimal_bst step 350: {'root': 0.8754865916955017, 'score': 0.8754865916955017, 'examples_seen': 14032, 'step': 350, 'algorithm': 'optimal_bst'}
I0716 10:50:12.498664 137961844098560 run.py:722] (val) algo optimal_bst step 400: {'root': 0.8841911764705882, 'score': 0.8841911764705882, 'examples_seen': 16000, 'step': 400, 'algorithm': 'optimal_bst'}
I0716 10:50:15.460242 137961844098560 run.py:722] (val) algo optimal_bst step 450: {'root': 0.8872188581314879, 'score': 0.8872188581314879, 'examples_seen': 18000, 'step': 450, 'algorithm': 'optimal_bst'}
I0716 10:50:18.464389 137961844098560 run.py:722] (val) algo optimal_bst step 500: {'root': 0.9039251730103807, 'score': 0.9039251730103807, 'examples_seen': 19952, 'step': 500, 'algorithm': 'optimal_bst'}
I0716 10:50:21.498511 137961844098560 run.py:722] (val) algo optimal_bst step 550: {'root': 0.8878135813148789, 'score': 0.8878135813148789, 'examples_seen': 21920, 'step': 550, 'algorithm': 'optimal_bst'}
I0716 10:50:24.593986 137961844098560 run.py:722] (val) algo optimal_bst step 600: {'root': 0.9052768166089965, 'score': 0.9052768166089965, 'examples_seen': 23904, 'step': 600, 'algorithm': 'optimal_bst'}
I0716 10:50:27.592694 137961844098560 run.py:722] (val) algo optimal_bst step 650: {'root': 0.8726751730103807, 'score': 0.8726751730103807, 'examples_seen': 25920, 'step': 650, 'algorithm': 'optimal_bst'}
I0716 10:50:30.548414 137961844098560 run.py:722] (val) algo optimal_bst step 700: {'root': 0.8713235294117647, 'score': 0.8713235294117647, 'examples_seen': 27952, 'step': 700, 'algorithm': 'optimal_bst'}
I0716 10:50:33.488290 137961844098560 run.py:722] (val) algo optimal_bst step 750: {'root': 0.9021410034602076, 'score': 0.9021410034602076, 'examples_seen': 29936, 'step': 750, 'algorithm': 'optimal_bst'}
I0716 10:50:36.442063 137961844098560 run.py:722] (val) algo optimal_bst step 800: {'root': 0.929768598615917, 'score': 0.929768598615917, 'examples_seen': 31920, 'step': 800, 'algorithm': 'optimal_bst'}
I0716 10:50:39.432017 137961844098560 run.py:722] (val) algo optimal_bst step 850: {'root': 0.8921929065743944, 'score': 0.8921929065743944, 'examples_seen': 33904, 'step': 850, 'algorithm': 'optimal_bst'}
I0716 10:50:42.451015 137961844098560 run.py:722] (val) algo optimal_bst step 900: {'root': 0.920685553633218, 'score': 0.920685553633218, 'examples_seen': 35856, 'step': 900, 'algorithm': 'optimal_bst'}
I0716 10:50:45.547764 137961844098560 run.py:722] (val) algo optimal_bst step 950: {'root': 0.9297145328719724, 'score': 0.9297145328719724, 'examples_seen': 37808, 'step': 950, 'algorithm': 'optimal_bst'}
I0716 10:50:48.518475 137961844098560 run.py:722] (val) algo optimal_bst step 1000: {'root': 0.8847318339100346, 'score': 0.8847318339100346, 'examples_seen': 39872, 'step': 1000, 'algorithm': 'optimal_bst'}
I0716 10:50:51.474333 137961844098560 run.py:722] (val) algo optimal_bst step 1050: {'root': 0.9154411764705882, 'score': 0.9154411764705882, 'examples_seen': 41872, 'step': 1050, 'algorithm': 'optimal_bst'}
I0716 10:50:54.422151 137961844098560 run.py:722] (val) algo optimal_bst step 1100: {'root': 0.889273356401384, 'score': 0.889273356401384, 'examples_seen': 43872, 'step': 1100, 'algorithm': 'optimal_bst'}
I0716 10:50:57.368256 137961844098560 run.py:722] (val) algo optimal_bst step 1150: {'root': 0.8650519031141869, 'score': 0.8650519031141869, 'examples_seen': 45856, 'step': 1150, 'algorithm': 'optimal_bst'}
I0716 10:51:00.363650 137961844098560 run.py:722] (val) algo optimal_bst step 1200: {'root': 0.9255514705882353, 'score': 0.9255514705882353, 'examples_seen': 47808, 'step': 1200, 'algorithm': 'optimal_bst'}
I0716 10:51:03.387737 137961844098560 run.py:722] (val) algo optimal_bst step 1250: {'root': 0.9157115051903114, 'score': 0.9157115051903114, 'examples_seen': 49808, 'step': 1250, 'algorithm': 'optimal_bst'}
I0716 10:51:06.488640 137961844098560 run.py:722] (val) algo optimal_bst step 1300: {'root': 0.9297145328719724, 'score': 0.9297145328719724, 'examples_seen': 51760, 'step': 1300, 'algorithm': 'optimal_bst'}
I0716 10:51:09.472373 137961844098560 run.py:722] (val) algo optimal_bst step 1350: {'root': 0.9322556228373703, 'score': 0.9322556228373703, 'examples_seen': 53792, 'step': 1350, 'algorithm': 'optimal_bst'}
I0716 10:51:12.444948 137961844098560 run.py:722] (val) algo optimal_bst step 1400: {'root': 0.9045739619377162, 'score': 0.9045739619377162, 'examples_seen': 55824, 'step': 1400, 'algorithm': 'optimal_bst'}
