{'median': 0.029052734375, 'score': 0.029052734375, 'examples_seen': 46, 'step': 0, 'algorithm': 'quickselect'}
{'median': 0.060791015625, 'score': 0.060791015625, 'examples_seen': 1653, 'step': 50, 'algorithm': 'quickselect'}
{'median': 0.08447265625, 'score': 0.08447265625, 'examples_seen': 3277, 'step': 100, 'algorithm': 'quickselect'}
{'median': 0.125, 'score': 0.125, 'examples_seen': 4881, 'step': 150, 'algorithm': 'quickselect'}
{'median': 0.17919921875, 'score': 0.17919921875, 'examples_seen': 6472, 'step': 200, 'algorithm': 'quickselect'}
{'median': 0.200927734375, 'score': 0.200927734375, 'examples_seen': 8061, 'step': 250, 'algorithm': 'quickselect'}
{'median': 0.205322265625, 'score': 0.205322265625, 'examples_seen': 9734, 'step': 300, 'algorithm': 'quickselect'}
{'median': 0.223388671875, 'score': 0.223388671875, 'examples_seen': 11367, 'step': 350, 'algorithm': 'quickselect'}
{'median': 0.16943359375, 'score': 0.16943359375, 'examples_seen': 12963, 'step': 400, 'algorithm': 'quickselect'}
{'median': 0.162353515625, 'score': 0.162353515625, 'examples_seen': 14543, 'step': 450, 'algorithm': 'quickselect'}
{'median': 0.22021484375, 'score': 0.22021484375, 'examples_seen': 16145, 'step': 500, 'algorithm': 'quickselect'}
{'median': 0.210205078125, 'score': 0.210205078125, 'examples_seen': 17728, 'step': 550, 'algorithm': 'quickselect'}
{'median': 0.16845703125, 'score': 0.16845703125, 'examples_seen': 19323, 'step': 600, 'algorithm': 'quickselect'}
{'median': 0.16748046875, 'score': 0.16748046875, 'examples_seen': 21004, 'step': 650, 'algorithm': 'quickselect'}
{'median': 0.212890625, 'score': 0.212890625, 'examples_seen': 22632, 'step': 700, 'algorithm': 'quickselect'}
{'median': 0.190185546875, 'score': 0.190185546875, 'examples_seen': 24241, 'step': 750, 'algorithm': 'quickselect'}
{'median': 0.193603515625, 'score': 0.193603515625, 'examples_seen': 25833, 'step': 800, 'algorithm': 'quickselect'}
{'median': 0.151611328125, 'score': 0.151611328125, 'examples_seen': 27431, 'step': 850, 'algorithm': 'quickselect'}
{'median': 0.234130859375, 'score': 0.234130859375, 'examples_seen': 29033, 'step': 900, 'algorithm': 'quickselect'}
{'median': 0.24267578125, 'score': 0.24267578125, 'examples_seen': 30646, 'step': 950, 'algorithm': 'quickselect'}
{'median': 0.232421875, 'score': 0.232421875, 'examples_seen': 32349, 'step': 1000, 'algorithm': 'quickselect'}
{'median': 0.15673828125, 'score': 0.15673828125, 'examples_seen': 33968, 'step': 1050, 'algorithm': 'quickselect'}
{'median': 0.168701171875, 'score': 0.168701171875, 'examples_seen': 35594, 'step': 1100, 'algorithm': 'quickselect'}
{'median': 0.150634765625, 'score': 0.150634765625, 'examples_seen': 37192, 'step': 1150, 'algorithm': 'quickselect'}
{'median': 0.1796875, 'score': 0.1796875, 'examples_seen': 38766, 'step': 1200, 'algorithm': 'quickselect'}
{'median': 0.23095703125, 'score': 0.23095703125, 'examples_seen': 40371, 'step': 1250, 'algorithm': 'quickselect'}
{'median': 0.171875, 'score': 0.171875, 'examples_seen': 41953, 'step': 1300, 'algorithm': 'quickselect'}
{'median': 0.144775390625, 'score': 0.144775390625, 'examples_seen': 43643, 'step': 1350, 'algorithm': 'quickselect'}
{'median': 0.18115234375, 'score': 0.18115234375, 'examples_seen': 45300, 'step': 1400, 'algorithm': 'quickselect'}
{'median': 0.138916015625, 'score': 0.138916015625, 'examples_seen': 46902, 'step': 1450, 'algorithm': 'quickselect'}
{'median': 0.1728515625, 'score': 0.1728515625, 'examples_seen': 48509, 'step': 1500, 'algorithm': 'quickselect'}
{'median': 0.159912109375, 'score': 0.159912109375, 'examples_seen': 50107, 'step': 1550, 'algorithm': 'quickselect'}
