{'pred': 0.08203125, 'score': 0.08203125, 'examples_seen': 55, 'step': 0, 'algorithm': 'quicksort'}
{'pred': 0.240234375, 'score': 0.240234375, 'examples_seen': 1782, 'step': 50, 'algorithm': 'quicksort'}
{'pred': 0.3369140625, 'score': 0.3369140625, 'examples_seen': 3499, 'step': 100, 'algorithm': 'quicksort'}
{'pred': 0.236328125, 'score': 0.236328125, 'examples_seen': 5209, 'step': 150, 'algorithm': 'quicksort'}
{'pred': 0.291015625, 'score': 0.291015625, 'examples_seen': 6915, 'step': 200, 'algorithm': 'quicksort'}
{'pred': 0.2890625, 'score': 0.2890625, 'examples_seen': 8625, 'step': 250, 'algorithm': 'quicksort'}
{'pred': 0.33203125, 'score': 0.33203125, 'examples_seen': 10448, 'step': 300, 'algorithm': 'quicksort'}
{'pred': 0.3095703125, 'score': 0.3095703125, 'examples_seen': 12202, 'step': 350, 'algorithm': 'quicksort'}
{'pred': 0.359375, 'score': 0.359375, 'examples_seen': 13931, 'step': 400, 'algorithm': 'quicksort'}
{'pred': 0.392578125, 'score': 0.392578125, 'examples_seen': 15630, 'step': 450, 'algorithm': 'quicksort'}
{'pred': 0.41015625, 'score': 0.41015625, 'examples_seen': 17352, 'step': 500, 'algorithm': 'quicksort'}
{'pred': 0.2900390625, 'score': 0.2900390625, 'examples_seen': 19054, 'step': 550, 'algorithm': 'quicksort'}
{'pred': 0.396484375, 'score': 0.396484375, 'examples_seen': 20764, 'step': 600, 'algorithm': 'quicksort'}
{'pred': 0.345703125, 'score': 0.345703125, 'examples_seen': 22594, 'step': 650, 'algorithm': 'quicksort'}
{'pred': 0.3671875, 'score': 0.3671875, 'examples_seen': 24344, 'step': 700, 'algorithm': 'quicksort'}
{'pred': 0.35546875, 'score': 0.35546875, 'examples_seen': 26065, 'step': 750, 'algorithm': 'quicksort'}
{'pred': 0.4462890625, 'score': 0.4462890625, 'examples_seen': 27785, 'step': 800, 'algorithm': 'quicksort'}
{'pred': 0.341796875, 'score': 0.341796875, 'examples_seen': 29491, 'step': 850, 'algorithm': 'quicksort'}
{'pred': 0.4208984375, 'score': 0.4208984375, 'examples_seen': 31189, 'step': 900, 'algorithm': 'quicksort'}
{'pred': 0.42578125, 'score': 0.42578125, 'examples_seen': 32894, 'step': 950, 'algorithm': 'quicksort'}
{'pred': 0.3388671875, 'score': 0.3388671875, 'examples_seen': 34734, 'step': 1000, 'algorithm': 'quicksort'}
{'pred': 0.44140625, 'score': 0.44140625, 'examples_seen': 36497, 'step': 1050, 'algorithm': 'quicksort'}
{'pred': 0.423828125, 'score': 0.423828125, 'examples_seen': 38217, 'step': 1100, 'algorithm': 'quicksort'}
{'pred': 0.3681640625, 'score': 0.3681640625, 'examples_seen': 39941, 'step': 1150, 'algorithm': 'quicksort'}
{'pred': 0.4697265625, 'score': 0.4697265625, 'examples_seen': 41647, 'step': 1200, 'algorithm': 'quicksort'}
{'pred': 0.408203125, 'score': 0.408203125, 'examples_seen': 43355, 'step': 1250, 'algorithm': 'quicksort'}
{'pred': 0.4580078125, 'score': 0.4580078125, 'examples_seen': 45058, 'step': 1300, 'algorithm': 'quicksort'}
{'pred': 0.396484375, 'score': 0.396484375, 'examples_seen': 46905, 'step': 1350, 'algorithm': 'quicksort'}
{'pred': 0.4404296875, 'score': 0.4404296875, 'examples_seen': 48665, 'step': 1400, 'algorithm': 'quicksort'}
{'pred': 0.458984375, 'score': 0.458984375, 'examples_seen': 50388, 'step': 1450, 'algorithm': 'quicksort'}
{'pred': 0.38671875, 'score': 0.38671875, 'examples_seen': 52101, 'step': 1500, 'algorithm': 'quicksort'}
{'pred': 0.4716796875, 'score': 0.4716796875, 'examples_seen': 53806, 'step': 1550, 'algorithm': 'quicksort'}
{'pred': 0.4296875, 'score': 0.4296875, 'examples_seen': 55518, 'step': 1600, 'algorithm': 'quicksort'}
{'pred': 0.4365234375, 'score': 0.4365234375, 'examples_seen': 57231, 'step': 1650, 'algorithm': 'quicksort'}
{'pred': 0.5234375, 'score': 0.5234375, 'examples_seen': 59052, 'step': 1700, 'algorithm': 'quicksort'}
{'pred': 0.5341796875, 'score': 0.5341796875, 'examples_seen': 60828, 'step': 1750, 'algorithm': 'quicksort'}
{'pred': 0.5283203125, 'score': 0.5283203125, 'examples_seen': 62558, 'step': 1800, 'algorithm': 'quicksort'}
{'pred': 0.529296875, 'score': 0.529296875, 'examples_seen': 64269, 'step': 1850, 'algorithm': 'quicksort'}
{'pred': 0.4990234375, 'score': 0.4990234375, 'examples_seen': 65981, 'step': 1900, 'algorithm': 'quicksort'}
{'pred': 0.4912109375, 'score': 0.4912109375, 'examples_seen': 67690, 'step': 1950, 'algorithm': 'quicksort'}
{'pred': 0.546875, 'score': 0.546875, 'examples_seen': 69400, 'step': 2000, 'algorithm': 'quicksort'}
{'pred': 0.4052734375, 'score': 0.4052734375, 'examples_seen': 71223, 'step': 2050, 'algorithm': 'quicksort'}
{'pred': 0.5732421875, 'score': 0.5732421875, 'examples_seen': 72989, 'step': 2100, 'algorithm': 'quicksort'}
{'pred': 0.5390625, 'score': 0.5390625, 'examples_seen': 74713, 'step': 2150, 'algorithm': 'quicksort'}
{'pred': 0.5224609375, 'score': 0.5224609375, 'examples_seen': 76426, 'step': 2200, 'algorithm': 'quicksort'}
{'pred': 0.5380859375, 'score': 0.5380859375, 'examples_seen': 78141, 'step': 2250, 'algorithm': 'quicksort'}
{'pred': 0.5283203125, 'score': 0.5283203125, 'examples_seen': 79856, 'step': 2300, 'algorithm': 'quicksort'}
{'pred': 0.4482421875, 'score': 0.4482421875, 'examples_seen': 81561, 'step': 2350, 'algorithm': 'quicksort'}
{'pred': 0.46484375, 'score': 0.46484375, 'examples_seen': 83384, 'step': 2400, 'algorithm': 'quicksort'}
{'pred': 0.53125, 'score': 0.53125, 'examples_seen': 85132, 'step': 2450, 'algorithm': 'quicksort'}
{'pred': 0.6025390625, 'score': 0.6025390625, 'examples_seen': 86862, 'step': 2500, 'algorithm': 'quicksort'}
{'pred': 0.4912109375, 'score': 0.4912109375, 'examples_seen': 88565, 'step': 2550, 'algorithm': 'quicksort'}
{'pred': 0.498046875, 'score': 0.498046875, 'examples_seen': 90271, 'step': 2600, 'algorithm': 'quicksort'}
{'pred': 0.52734375, 'score': 0.52734375, 'examples_seen': 91972, 'step': 2650, 'algorithm': 'quicksort'}
