I0716 07:47:10.125961 136751140242944 run.py:722] (val) algo dag_shortest_paths step 0: {'pi': 0.7294921875, 'score': 0.7294921875, 'examples_seen': 41, 'step': 0, 'algorithm': 'dag_shortest_paths'}
I0716 07:49:05.983041 136751140242944 run.py:722] (val) algo dag_shortest_paths step 50: {'pi': 0.9365234375, 'score': 0.9365234375, 'examples_seen': 1530, 'step': 50, 'algorithm': 'dag_shortest_paths'}
I0716 07:49:08.044661 136751140242944 run.py:722] (val) algo dag_shortest_paths step 100: {'pi': 0.9248046875, 'score': 0.9248046875, 'examples_seen': 2997, 'step': 100, 'algorithm': 'dag_shortest_paths'}
I0716 07:49:10.071452 136751140242944 run.py:722] (val) algo dag_shortest_paths step 150: {'pi': 0.91015625, 'score': 0.91015625, 'examples_seen': 4450, 'step': 150, 'algorithm': 'dag_shortest_paths'}
I0716 07:49:12.152369 136751140242944 run.py:722] (val) algo dag_shortest_paths step 200: {'pi': 0.9365234375, 'score': 0.9365234375, 'examples_seen': 5904, 'step': 200, 'algorithm': 'dag_shortest_paths'}
I0716 07:49:14.096467 136751140242944 run.py:722] (val) algo dag_shortest_paths step 250: {'pi': 0.947265625, 'score': 0.947265625, 'examples_seen': 7402, 'step': 250, 'algorithm': 'dag_shortest_paths'}
I0716 07:49:16.081129 136751140242944 run.py:722] (val) algo dag_shortest_paths step 300: {'pi': 0.9482421875, 'score': 0.9482421875, 'examples_seen': 8928, 'step': 300, 'algorithm': 'dag_shortest_paths'}
I0716 07:49:18.202480 136751140242944 run.py:722] (val) algo dag_shortest_paths step 350: {'pi': 0.9033203125, 'score': 0.9033203125, 'examples_seen': 10426, 'step': 350, 'algorithm': 'dag_shortest_paths'}
I0716 07:49:20.183727 136751140242944 run.py:722] (val) algo dag_shortest_paths step 400: {'pi': 0.888671875, 'score': 0.888671875, 'examples_seen': 11895, 'step': 400, 'algorithm': 'dag_shortest_paths'}
I0716 07:49:22.207081 136751140242944 run.py:722] (val) algo dag_shortest_paths step 450: {'pi': 0.9404296875, 'score': 0.9404296875, 'examples_seen': 13359, 'step': 450, 'algorithm': 'dag_shortest_paths'}
I0716 07:49:24.130779 136751140242944 run.py:722] (val) algo dag_shortest_paths step 500: {'pi': 0.912109375, 'score': 0.912109375, 'examples_seen': 14816, 'step': 500, 'algorithm': 'dag_shortest_paths'}
I0716 07:49:26.148416 136751140242944 run.py:722] (val) algo dag_shortest_paths step 550: {'pi': 0.9580078125, 'score': 0.9580078125, 'examples_seen': 16276, 'step': 550, 'algorithm': 'dag_shortest_paths'}
I0716 07:49:28.274384 136751140242944 run.py:722] (val) algo dag_shortest_paths step 600: {'pi': 0.9580078125, 'score': 0.9580078125, 'examples_seen': 17743, 'step': 600, 'algorithm': 'dag_shortest_paths'}
I0716 07:49:30.302575 136751140242944 run.py:722] (val) algo dag_shortest_paths step 650: {'pi': 0.96484375, 'score': 0.96484375, 'examples_seen': 19222, 'step': 650, 'algorithm': 'dag_shortest_paths'}
I0716 07:49:32.323679 136751140242944 run.py:722] (val) algo dag_shortest_paths step 700: {'pi': 0.9697265625, 'score': 0.9697265625, 'examples_seen': 20708, 'step': 700, 'algorithm': 'dag_shortest_paths'}
I0716 07:49:34.340063 136751140242944 run.py:722] (val) algo dag_shortest_paths step 750: {'pi': 0.92578125, 'score': 0.92578125, 'examples_seen': 22198, 'step': 750, 'algorithm': 'dag_shortest_paths'}
I0716 07:49:36.295584 136751140242944 run.py:722] (val) algo dag_shortest_paths step 800: {'pi': 0.9755859375, 'score': 0.9755859375, 'examples_seen': 23647, 'step': 800, 'algorithm': 'dag_shortest_paths'}
I0716 07:49:38.259913 136751140242944 run.py:722] (val) algo dag_shortest_paths step 850: {'pi': 0.943359375, 'score': 0.943359375, 'examples_seen': 25116, 'step': 850, 'algorithm': 'dag_shortest_paths'}
I0716 07:49:40.183627 136751140242944 run.py:722] (val) algo dag_shortest_paths step 900: {'pi': 0.96875, 'score': 0.96875, 'examples_seen': 26586, 'step': 900, 'algorithm': 'dag_shortest_paths'}
I0716 07:49:42.236109 136751140242944 run.py:722] (val) algo dag_shortest_paths step 950: {'pi': 0.96875, 'score': 0.96875, 'examples_seen': 28056, 'step': 950, 'algorithm': 'dag_shortest_paths'}
I0716 07:49:44.189252 136751140242944 run.py:722] (val) algo dag_shortest_paths step 1000: {'pi': 0.958984375, 'score': 0.958984375, 'examples_seen': 29563, 'step': 1000, 'algorithm': 'dag_shortest_paths'}
I0716 07:49:46.178449 136751140242944 run.py:722] (val) algo dag_shortest_paths step 1050: {'pi': 0.9453125, 'score': 0.9453125, 'examples_seen': 31078, 'step': 1050, 'algorithm': 'dag_shortest_paths'}
I0716 07:49:48.177996 136751140242944 run.py:722] (val) algo dag_shortest_paths step 1100: {'pi': 0.9599609375, 'score': 0.9599609375, 'examples_seen': 32547, 'step': 1100, 'algorithm': 'dag_shortest_paths'}
I0716 07:49:50.193191 136751140242944 run.py:722] (val) algo dag_shortest_paths step 1150: {'pi': 0.966796875, 'score': 0.966796875, 'examples_seen': 34033, 'step': 1150, 'algorithm': 'dag_shortest_paths'}
I0716 07:49:52.166217 136751140242944 run.py:722] (val) algo dag_shortest_paths step 1200: {'pi': 0.9365234375, 'score': 0.9365234375, 'examples_seen': 35502, 'step': 1200, 'algorithm': 'dag_shortest_paths'}
I0716 07:49:54.115994 136751140242944 run.py:722] (val) algo dag_shortest_paths step 1250: {'pi': 0.9638671875, 'score': 0.9638671875, 'examples_seen': 36947, 'step': 1250, 'algorithm': 'dag_shortest_paths'}
I0716 07:49:56.153391 136751140242944 run.py:722] (val) algo dag_shortest_paths step 1300: {'pi': 0.947265625, 'score': 0.947265625, 'examples_seen': 38406, 'step': 1300, 'algorithm': 'dag_shortest_paths'}
I0716 07:49:58.226591 136751140242944 run.py:722] (val) algo dag_shortest_paths step 1350: {'pi': 0.974609375, 'score': 0.974609375, 'examples_seen': 39939, 'step': 1350, 'algorithm': 'dag_shortest_paths'}
I0716 07:50:00.205919 136751140242944 run.py:722] (val) algo dag_shortest_paths step 1400: {'pi': 0.947265625, 'score': 0.947265625, 'examples_seen': 41394, 'step': 1400, 'algorithm': 'dag_shortest_paths'}
I0716 07:50:02.108130 136751140242944 run.py:722] (val) algo dag_shortest_paths step 1450: {'pi': 0.984375, 'score': 0.984375, 'examples_seen': 42874, 'step': 1450, 'algorithm': 'dag_shortest_paths'}
I0716 07:50:04.059978 136751140242944 run.py:722] (val) algo dag_shortest_paths step 1500: {'pi': 0.9384765625, 'score': 0.9384765625, 'examples_seen': 44362, 'step': 1500, 'algorithm': 'dag_shortest_paths'}
I0716 07:50:06.118913 136751140242944 run.py:722] (val) algo dag_shortest_paths step 1550: {'pi': 0.955078125, 'score': 0.955078125, 'examples_seen': 45830, 'step': 1550, 'algorithm': 'dag_shortest_paths'}
I0716 07:50:08.122752 136751140242944 run.py:722] (val) algo dag_shortest_paths step 1600: {'pi': 0.9619140625, 'score': 0.9619140625, 'examples_seen': 47284, 'step': 1600, 'algorithm': 'dag_shortest_paths'}
I0716 07:50:10.193060 136751140242944 run.py:722] (val) algo dag_shortest_paths step 1650: {'pi': 0.9619140625, 'score': 0.9619140625, 'examples_seen': 48732, 'step': 1650, 'algorithm': 'dag_shortest_paths'}
I0716 07:50:12.149204 136751140242944 run.py:722] (val) algo dag_shortest_paths step 1700: {'pi': 0.97265625, 'score': 0.97265625, 'examples_seen': 50202, 'step': 1700, 'algorithm': 'dag_shortest_paths'}
I0716 07:50:14.061308 136751140242944 run.py:722] (val) algo dag_shortest_paths step 1750: {'pi': 0.962890625, 'score': 0.962890625, 'examples_seen': 51700, 'step': 1750, 'algorithm': 'dag_shortest_paths'}
I0716 07:50:16.101109 136751140242944 run.py:722] (val) algo dag_shortest_paths step 1800: {'pi': 0.9619140625, 'score': 0.9619140625, 'examples_seen': 53184, 'step': 1800, 'algorithm': 'dag_shortest_paths'}
I0716 07:50:18.017739 136751140242944 run.py:722] (val) algo dag_shortest_paths step 1850: {'pi': 0.982421875, 'score': 0.982421875, 'examples_seen': 54647, 'step': 1850, 'algorithm': 'dag_shortest_paths'}
I0716 07:50:20.037005 136751140242944 run.py:722] (val) algo dag_shortest_paths step 1900: {'pi': 0.97265625, 'score': 0.97265625, 'examples_seen': 56137, 'step': 1900, 'algorithm': 'dag_shortest_paths'}
I0716 07:50:21.997941 136751140242944 run.py:722] (val) algo dag_shortest_paths step 1950: {'pi': 0.9716796875, 'score': 0.9716796875, 'examples_seen': 57579, 'step': 1950, 'algorithm': 'dag_shortest_paths'}
I0716 07:50:24.085608 136751140242944 run.py:722] (val) algo dag_shortest_paths step 2000: {'pi': 0.9716796875, 'score': 0.9716796875, 'examples_seen': 59052, 'step': 2000, 'algorithm': 'dag_shortest_paths'}
I0716 07:50:26.150357 136751140242944 run.py:722] (val) algo dag_shortest_paths step 2050: {'pi': 0.9677734375, 'score': 0.9677734375, 'examples_seen': 60546, 'step': 2050, 'algorithm': 'dag_shortest_paths'}
I0716 07:50:28.118273 136751140242944 run.py:722] (val) algo dag_shortest_paths step 2100: {'pi': 0.9814453125, 'score': 0.9814453125, 'examples_seen': 62078, 'step': 2100, 'algorithm': 'dag_shortest_paths'}
I0716 07:50:30.154562 136751140242944 run.py:722] (val) algo dag_shortest_paths step 2150: {'pi': 0.9443359375, 'score': 0.9443359375, 'examples_seen': 63592, 'step': 2150, 'algorithm': 'dag_shortest_paths'}
I0716 07:50:32.154405 136751140242944 run.py:722] (val) algo dag_shortest_paths step 2200: {'pi': 0.951171875, 'score': 0.951171875, 'examples_seen': 65104, 'step': 2200, 'algorithm': 'dag_shortest_paths'}
I0716 07:50:34.088129 136751140242944 run.py:722] (val) algo dag_shortest_paths step 2250: {'pi': 0.9609375, 'score': 0.9609375, 'examples_seen': 66566, 'step': 2250, 'algorithm': 'dag_shortest_paths'}
I0716 07:50:36.084758 136751140242944 run.py:722] (val) algo dag_shortest_paths step 2300: {'pi': 0.9677734375, 'score': 0.9677734375, 'examples_seen': 68031, 'step': 2300, 'algorithm': 'dag_shortest_paths'}
I0716 07:50:38.148654 136751140242944 run.py:722] (val) algo dag_shortest_paths step 2350: {'pi': 0.970703125, 'score': 0.970703125, 'examples_seen': 69496, 'step': 2350, 'algorithm': 'dag_shortest_paths'}
I0716 07:50:40.205106 136751140242944 run.py:722] (val) algo dag_shortest_paths step 2400: {'pi': 0.9599609375, 'score': 0.9599609375, 'examples_seen': 71015, 'step': 2400, 'algorithm': 'dag_shortest_paths'}
I0716 07:50:42.290059 136751140242944 run.py:722] (val) algo dag_shortest_paths step 2450: {'pi': 0.9765625, 'score': 0.9765625, 'examples_seen': 72509, 'step': 2450, 'algorithm': 'dag_shortest_paths'}
I0716 07:50:44.125726 136751140242944 run.py:722] (val) algo dag_shortest_paths step 2500: {'pi': 0.9697265625, 'score': 0.9697265625, 'examples_seen': 73971, 'step': 2500, 'algorithm': 'dag_shortest_paths'}
I0716 07:50:46.165592 136751140242944 run.py:722] (val) algo dag_shortest_paths step 2550: {'pi': 0.9658203125, 'score': 0.9658203125, 'examples_seen': 75467, 'step': 2550, 'algorithm': 'dag_shortest_paths'}
I0716 07:50:48.112195 136751140242944 run.py:722] (val) algo dag_shortest_paths step 2600: {'pi': 0.94921875, 'score': 0.94921875, 'examples_seen': 76917, 'step': 2600, 'algorithm': 'dag_shortest_paths'}
I0716 07:50:50.168843 136751140242944 run.py:722] (val) algo dag_shortest_paths step 2650: {'pi': 0.9599609375, 'score': 0.9599609375, 'examples_seen': 78404, 'step': 2650, 'algorithm': 'dag_shortest_paths'}
I0716 07:50:52.181294 136751140242944 run.py:722] (val) algo dag_shortest_paths step 2700: {'pi': 0.9697265625, 'score': 0.9697265625, 'examples_seen': 79832, 'step': 2700, 'algorithm': 'dag_shortest_paths'}
I0716 07:50:54.231852 136751140242944 run.py:722] (val) algo dag_shortest_paths step 2750: {'pi': 0.9541015625, 'score': 0.9541015625, 'examples_seen': 81327, 'step': 2750, 'algorithm': 'dag_shortest_paths'}
I0716 07:50:56.214499 136751140242944 run.py:722] (val) algo dag_shortest_paths step 2800: {'pi': 0.9697265625, 'score': 0.9697265625, 'examples_seen': 82863, 'step': 2800, 'algorithm': 'dag_shortest_paths'}
I0716 07:50:58.217766 136751140242944 run.py:722] (val) algo dag_shortest_paths step 2850: {'pi': 0.9384765625, 'score': 0.9384765625, 'examples_seen': 84372, 'step': 2850, 'algorithm': 'dag_shortest_paths'}
I0716 07:51:00.207596 136751140242944 run.py:722] (val) algo dag_shortest_paths step 2900: {'pi': 0.970703125, 'score': 0.970703125, 'examples_seen': 85879, 'step': 2900, 'algorithm': 'dag_shortest_paths'}
I0716 07:51:02.114930 136751140242944 run.py:722] (val) algo dag_shortest_paths step 2950: {'pi': 0.9619140625, 'score': 0.9619140625, 'examples_seen': 87331, 'step': 2950, 'algorithm': 'dag_shortest_paths'}
I0716 07:51:04.051383 136751140242944 run.py:722] (val) algo dag_shortest_paths step 3000: {'pi': 0.95703125, 'score': 0.95703125, 'examples_seen': 88769, 'step': 3000, 'algorithm': 'dag_shortest_paths'}
