{'selected': 0.0, 'score': 0.0, 'examples_seen': 64, 'step': 0, 'algorithm': 'task_scheduling'}
{'selected': 0.8346055979643766, 'score': 0.8346055979643766, 'examples_seen': 2080, 'step': 50, 'algorithm': 'task_scheduling'}
{'selected': 0.889700511322133, 'score': 0.889700511322133, 'examples_seen': 4064, 'step': 100, 'algorithm': 'task_scheduling'}
{'selected': 0.875, 'score': 0.875, 'examples_seen': 6016, 'step': 150, 'algorithm': 'task_scheduling'}
{'selected': 0.902158273381295, 'score': 0.902158273381295, 'examples_seen': 8016, 'step': 200, 'algorithm': 'task_scheduling'}
{'selected': 0.9097633136094674, 'score': 0.9097633136094674, 'examples_seen': 9952, 'step': 250, 'algorithm': 'task_scheduling'}
{'selected': 0.8995756718528995, 'score': 0.8995756718528995, 'examples_seen': 12000, 'step': 300, 'algorithm': 'task_scheduling'}
{'selected': 0.9338028169014083, 'score': 0.9338028169014083, 'examples_seen': 14032, 'step': 350, 'algorithm': 'task_scheduling'}
{'selected': 0.9115853658536585, 'score': 0.9115853658536585, 'examples_seen': 16000, 'step': 400, 'algorithm': 'task_scheduling'}
{'selected': 0.9031273836765826, 'score': 0.9031273836765826, 'examples_seen': 18000, 'step': 450, 'algorithm': 'task_scheduling'}
{'selected': 0.9200316706254948, 'score': 0.9200316706254948, 'examples_seen': 19952, 'step': 500, 'algorithm': 'task_scheduling'}
{'selected': 0.9207920792079207, 'score': 0.9207920792079207, 'examples_seen': 21920, 'step': 550, 'algorithm': 'task_scheduling'}
{'selected': 0.9098532494758911, 'score': 0.9098532494758911, 'examples_seen': 23904, 'step': 600, 'algorithm': 'task_scheduling'}
{'selected': 0.9212827988338192, 'score': 0.9212827988338192, 'examples_seen': 25920, 'step': 650, 'algorithm': 'task_scheduling'}
{'selected': 0.9422092172640819, 'score': 0.9422092172640819, 'examples_seen': 27952, 'step': 700, 'algorithm': 'task_scheduling'}
