I0716 08:24:20.907296 129472666056192 run.py:722] (val) algo floyd_warshall step 0: {'Pi': 0.0855712890625, 'score': 0.0855712890625, 'examples_seen': 80, 'step': 0, 'algorithm': 'floyd_warshall'}
I0716 08:25:57.808756 129472666056192 run.py:722] (val) algo floyd_warshall step 50: {'Pi': 0.2899169921875, 'score': 0.2899169921875, 'examples_seen': 2640, 'step': 50, 'algorithm': 'floyd_warshall'}
I0716 08:26:00.178786 129472666056192 run.py:722] (val) algo floyd_warshall step 100: {'Pi': 0.24169921875, 'score': 0.24169921875, 'examples_seen': 5200, 'step': 100, 'algorithm': 'floyd_warshall'}
I0716 08:26:02.526883 129472666056192 run.py:722] (val) algo floyd_warshall step 150: {'Pi': 0.2890625, 'score': 0.2890625, 'examples_seen': 7744, 'step': 150, 'algorithm': 'floyd_warshall'}
I0716 08:26:04.874454 129472666056192 run.py:722] (val) algo floyd_warshall step 200: {'Pi': 0.36260986328125, 'score': 0.36260986328125, 'examples_seen': 10288, 'step': 200, 'algorithm': 'floyd_warshall'}
I0716 08:26:07.384657 129472666056192 run.py:722] (val) algo floyd_warshall step 250: {'Pi': 0.443359375, 'score': 0.443359375, 'examples_seen': 12816, 'step': 250, 'algorithm': 'floyd_warshall'}
I0716 08:26:09.798683 129472666056192 run.py:722] (val) algo floyd_warshall step 300: {'Pi': 0.45526123046875, 'score': 0.45526123046875, 'examples_seen': 15472, 'step': 300, 'algorithm': 'floyd_warshall'}
I0716 08:26:12.174386 129472666056192 run.py:722] (val) algo floyd_warshall step 350: {'Pi': 0.4483642578125, 'score': 0.4483642578125, 'examples_seen': 18080, 'step': 350, 'algorithm': 'floyd_warshall'}
I0716 08:26:14.483323 129472666056192 run.py:722] (val) algo floyd_warshall step 400: {'Pi': 0.35772705078125, 'score': 0.35772705078125, 'examples_seen': 20640, 'step': 400, 'algorithm': 'floyd_warshall'}
I0716 08:26:16.780790 129472666056192 run.py:722] (val) algo floyd_warshall step 450: {'Pi': 0.54718017578125, 'score': 0.54718017578125, 'examples_seen': 23216, 'step': 450, 'algorithm': 'floyd_warshall'}
I0716 08:26:19.182920 129472666056192 run.py:722] (val) algo floyd_warshall step 500: {'Pi': 0.4447021484375, 'score': 0.4447021484375, 'examples_seen': 25744, 'step': 500, 'algorithm': 'floyd_warshall'}
I0716 08:26:21.579632 129472666056192 run.py:722] (val) algo floyd_warshall step 550: {'Pi': 0.56201171875, 'score': 0.56201171875, 'examples_seen': 28288, 'step': 550, 'algorithm': 'floyd_warshall'}
I0716 08:26:24.047748 129472666056192 run.py:722] (val) algo floyd_warshall step 600: {'Pi': 0.53582763671875, 'score': 0.53582763671875, 'examples_seen': 30832, 'step': 600, 'algorithm': 'floyd_warshall'}
I0716 08:26:26.436758 129472666056192 run.py:722] (val) algo floyd_warshall step 650: {'Pi': 0.4869384765625, 'score': 0.4869384765625, 'examples_seen': 33456, 'step': 650, 'algorithm': 'floyd_warshall'}
I0716 08:26:28.823962 129472666056192 run.py:722] (val) algo floyd_warshall step 700: {'Pi': 0.573974609375, 'score': 0.573974609375, 'examples_seen': 36080, 'step': 700, 'algorithm': 'floyd_warshall'}
I0716 08:26:31.196250 129472666056192 run.py:722] (val) algo floyd_warshall step 750: {'Pi': 0.61126708984375, 'score': 0.61126708984375, 'examples_seen': 38640, 'step': 750, 'algorithm': 'floyd_warshall'}
I0716 08:26:33.546209 129472666056192 run.py:722] (val) algo floyd_warshall step 800: {'Pi': 0.5584716796875, 'score': 0.5584716796875, 'examples_seen': 41216, 'step': 800, 'algorithm': 'floyd_warshall'}
I0716 08:26:35.882930 129472666056192 run.py:722] (val) algo floyd_warshall step 850: {'Pi': 0.5499267578125, 'score': 0.5499267578125, 'examples_seen': 43760, 'step': 850, 'algorithm': 'floyd_warshall'}
I0716 08:26:38.267056 129472666056192 run.py:722] (val) algo floyd_warshall step 900: {'Pi': 0.582275390625, 'score': 0.582275390625, 'examples_seen': 46320, 'step': 900, 'algorithm': 'floyd_warshall'}
I0716 08:26:40.737852 129472666056192 run.py:722] (val) algo floyd_warshall step 950: {'Pi': 0.60101318359375, 'score': 0.60101318359375, 'examples_seen': 48832, 'step': 950, 'algorithm': 'floyd_warshall'}
I0716 08:26:43.116415 129472666056192 run.py:722] (val) algo floyd_warshall step 1000: {'Pi': 0.6007080078125, 'score': 0.6007080078125, 'examples_seen': 51488, 'step': 1000, 'algorithm': 'floyd_warshall'}
I0716 08:26:45.438764 129472666056192 run.py:722] (val) algo floyd_warshall step 1050: {'Pi': 0.6065673828125, 'score': 0.6065673828125, 'examples_seen': 54080, 'step': 1050, 'algorithm': 'floyd_warshall'}
I0716 08:26:47.784997 129472666056192 run.py:722] (val) algo floyd_warshall step 1100: {'Pi': 0.59661865234375, 'score': 0.59661865234375, 'examples_seen': 56656, 'step': 1100, 'algorithm': 'floyd_warshall'}
I0716 08:26:50.132251 129472666056192 run.py:722] (val) algo floyd_warshall step 1150: {'Pi': 0.62103271484375, 'score': 0.62103271484375, 'examples_seen': 59232, 'step': 1150, 'algorithm': 'floyd_warshall'}
